neuron_id,is_candidate,n_prompts,d_elogu_slope_per_sigma,d_elogu_slope_p,d_elogu_mean_ablation,d_elogu_mean_ablation_p,d_kl_slope_per_sigma,d_kl_slope_p,d_kl_mean_ablation,d_kl_mean_ablation_p,d_entropy_slope_per_sigma,d_entropy_slope_p,d_entropy_mean_ablation,d_entropy_mean_ablation_p,freq_corr,abs_freq_corr_pctile
L29_N9228,True,120,-0.0019036263227462768,0.09778044391121776,0.00041838884353637693,0.8940211957608478,-0.002920505404472351,0.014197160567886422,-0.0018509904543558757,0.5340931813637273,0.004824134707450867,0.0001999600079984003,0.001432432730992635,0.48370325934813035,0.1920320093631744,96.9
L30_N10312,True,120,-0.0006465325752894084,0.28214357128574286,0.0020079175631205243,0.47190561887622473,0.0005076060692469279,0.33293341331733656,-0.000939329465230306,0.6356728654269146,0.00013895506660143535,0.6772645470905819,-0.0010685473680496216,0.5188962207558488,-0.0975942462682724,76.5
L30_N11103,True,120,0.001961455742518107,0.003599280143971206,0.0012525240580240884,0.5594881023795241,-0.001279451449712117,0.051989602079584085,-0.0005026181538899739,0.764247150569886,-0.0006819769740104675,0.11137772445510898,-0.0007499188184738159,0.5802839432113577,-0.0203724056482315,22.2
L30_N13098,True,120,-0.0005852033694585163,0.40431913617276544,0.001245280106862386,0.6490701859628074,0.0005626132090886433,0.44211157768446313,-0.0005416353543599447,0.8104379124175165,2.259736259778345e-05,0.9610077984403119,-0.0007035990556081136,0.5746850629874025,-0.1432649195194244,91.9
L30_N13513,True,120,0.0014229933420817052,0.03259348130373925,0.0015181859334309896,0.45350929814037194,-0.0010931084553400673,0.08418316336732654,0.0009926358858744304,0.5652869426114777,-0.0003298987944920857,0.3827234553089382,-0.002510868509610494,0.06598680263947211,-0.0205170717090368,22.4
L30_N13647,True,120,-0.002462276816368103,0.0001999600079984003,0.0011760870615641276,0.6016796640671865,0.0021515369415283205,0.0001999600079984003,-0.0005330840746561686,0.7790441911617676,0.00031070982416470853,0.3713257348530294,-0.0006429960330327351,0.6904619076184763,0.198332741856575,97.4
L30_N1424,False,120,-0.00034060478210449217,0.5250949810037993,0.001221458117167155,0.6434713057388523,2.4891893068949267e-05,0.9536092781443711,0.0003704071044921875,0.849630073985203,0.0003156950076421101,0.27334533093381325,-0.0015918542941411337,0.16076784643071385,,
L30_N1457,True,120,0.013094618916511536,0.0001999600079984003,-0.004616216818491618,0.13777244551089782,-0.000507919987042745,0.6476704659068186,-0.002023641268412272,0.4091181763647271,-0.012586669127146403,0.0001999600079984003,0.006639837225278219,0.001999600079984003,0.4548135995864868,100.0
L30_N1777,True,120,-0.007733996709187826,0.0001999600079984003,0.0009397268295288086,0.7780443911217756,0.0064120769500732415,0.0001999600079984003,-5.773703257242838e-05,0.9854029194161168,0.0013219565153121948,0.05858828234353129,-0.000882047414779663,0.6190761847630474,-0.4895664751529693,100.0
L30_N3533,True,120,0.001782484849294027,0.04299140171965607,-0.0027097344398498537,0.3011397720455909,-0.0010359535614649453,0.26094781043791243,0.0014740904172261557,0.508498300339932,-0.0007465270658334097,0.16916616676664667,0.001235725482304891,0.4247150569886023,0.0559592209756374,54.3
