pair,alpha,layer,rankunknown,rankI,ranknot
11,3.0,25,55792,140590,586
11,3.0,26,68805,132018,91
12,-3.0,20,144376,151456,151947
12,-3.0,21,137926,151477,151632
12,-3.0,22,139872,151785,151541
12,-3.0,23,133469,151837,151290
12,-3.0,24,129406,151620,147705
12,-3.0,25,127872,149123,145869
12,-3.0,26,130940,147420,145371
12,0.0,20,147661,151670,150623
12,0.0,21,137337,151537,149699
12,0.0,22,135475,151581,149889
12,0.0,23,130497,151472,147080
12,0.0,24,115915,151280,133997
12,0.0,25,114622,137687,116794
12,0.0,26,132257,140168,135510
12,3.0,20,133654,150989,85313
12,3.0,21,76690,151592,60262
12,3.0,22,94311,150718,50092
12,3.0,23,91189,150370,33218
12,3.0,24,66385,147275,6081
12,3.0,25,77630,136539,2745
12,3.0,26,101837,128208,519
13,-3.0,20,145339,151103,151935
13,-3.0,21,137280,150622,151596
13,-3.0,22,136120,151075,151343
13,-3.0,23,124588,151466,150233
13,-3.0,24,86627,150908,138609
13,-3.0,25,74720,150133,141515
13,-3.0,26,82133,149120,139493
13,0.0,20,146436,151133,148428
13,0.0,21,131031,150687,146435
13,0.0,22,124381,151086,147507
13,0.0,23,96948,150781,130385
13,0.0,24,45382,147337,65163
13,0.0,25,23374,115468,18413
13,0.0,26,27234,114720,18573
13,3.0,20,123728,149938,30309
13,3.0,21,57781,151145,19582
13,3.0,22,78667,150423,8272
13,3.0,23,84893,148841,6382
13,3.0,24,65946,144378,1075
13,3.0,25,47028,131784,384
13,3.0,26,67534,128810,95
14,-3.0,20,137316,151392,151806
14,-3.0,21,118756,151305,150993
14,-3.0,22,124401,151264,150115
14,-3.0,23,114943,151555,146280
14,-3.0,24,65864,150082,111264
14,-3.0,25,55645,147537,120742
14,-3.0,26,98490,149389,132098
14,0.0,20,145084,151573,147377
14,0.0,21,122186,151286,143991
14,0.0,22,113459,151023,145050
14,0.0,23,51977,150526,118285
14,0.0,24,9887,142981,63421
14,0.0,25,4537,56151,11988
14,0.0,26,12835,82232,21434
14,3.0,20,111946,150702,33660
14,3.0,21,38837,151012,18171
14,3.0,22,91665,150108,18082
14,3.0,23,72286,148839,7746
14,3.0,24,34677,140478,852
14,3.0,25,17459,125564,104
14,3.0,26,31258,119492,28
15,-3.0,20,142985,151227,151906
15,-3.0,21,134340,151026,151395
15,-3.0,22,133431,151578,151222
15,-3.0,23,118688,151701,150190
15,-3.0,24,72947,151240,133344
15,-3.0,25,63360,150648,135294
15,-3.0,26,75665,150905,134486
15,0.0,20,145953,151523,148705
15,0.0,21,132159,151276,146644
15,0.0,22,121879,151660,148004
15,0.0,23,95558,151594,139969
15,0.0,24,45313,150882,87651
15,0.0,25,21347,133642,30895
15,0.0,26,25156,135045,29164
15,3.0,20,128802,150743,51797
15,3.0,21,76198,151455,31153
15,3.0,22,95840,150775,12641
15,3.0,23,96211,149697,8922
15,3.0,24,74229,145599,1467
15,3.0,25,43081,124559,150
15,3.0,26,57287,123095,21
16,-3.0,20,144887,151167,151932
16,-3.0,21,136424,151146,151525
16,-3.0,22,135811,151519,151471
16,-3.0,23,131606,151696,150520
16,-3.0,24,127493,151593,143850
16,-3.0,25,121340,150104,144105
16,-3.0,26,123694,150269,140484
16,0.0,20,147754,151613,149774
16,0.0,21,136412,151249,148673
16,0.0,22,131697,150808,150255
16,0.0,23,133739,151027,148006
16,0.0,24,118849,150762,137622
16,0.0,25,113007,131558,123751
16,0.0,26,124633,142299,134330
16,3.0,20,125551,150857,57170
16,3.0,21,52436,151456,33700
16,3.0,22,75488,150491,24170
16,3.0,23,89237,149608,17883
16,3.0,24,76563,147617,4504
16,3.0,25,67118,128860,1720
16,3.0,26,81918,124968,219
17,-3.0,20,137424,150835,151810
17,-3.0,21,126196,151160,151322
17,-3.0,22,112406,151550,150061
17,-3.0,23,85989,151639,147088
17,-3.0,24,32133,150825,115097
17,-3.0,25,44544,148066,90691
17,-3.0,26,73912,146038,82387
17,0.0,20,139120,150987,140302
17,0.0,21,112782,151319,137843
17,0.0,22,59436,151405,124555
17,0.0,23,10869,150322,71030
17,0.0,24,1236,145621,8766
17,0.0,25,1768,121345,732
17,0.0,26,6047,139189,686
17,3.0,20,106138,150668,4057
17,3.0,21,69550,150994,2931
17,3.0,22,104410,149121,2207
17,3.0,23,85498,147050,1038
17,3.0,24,58529,142459,191
17,3.0,25,69157,147138,48
17,3.0,26,81621,141067,6
18,-3.0,20,139368,151362,151943
18,-3.0,21,124924,151200,151517
18,-3.0,22,127460,151592,151300
18,-3.0,23,119884,151728,150298
18,-3.0,24,110242,151569,142023
18,-3.0,25,99637,151286,141949
18,-3.0,26,103205,150919,140605
18,0.0,20,141759,151661,150232
18,0.0,21,124851,151356,148605
18,0.0,22,110181,151444,148210
18,0.0,23,91191,151513,144389
18,0.0,24,54666,150983,130944
18,0.0,25,30220,142481,105495
18,0.0,26,52850,141895,119607
18,3.0,20,118980,150996,67644
18,3.0,21,31575,151580,45852
18,3.0,22,43431,150845,14942
18,3.0,23,54718,150505,11244
18,3.0,24,26174,146337,1892
18,3.0,25,19694,134257,623
18,3.0,26,27861,130517,100
19,-3.0,20,145478,150804,151884
19,-3.0,21,140086,150034,151382
19,-3.0,22,140364,150717,151113
19,-3.0,23,139582,151406,149848
19,-3.0,24,118424,151059,135864
19,-3.0,25,105303,150909,140218
19,-3.0,26,118831,150982,139647
19,0.0,20,149045,150965,149225
19,0.0,21,138148,150011,146320
19,0.0,22,131946,150858,146817
19,0.0,23,127863,151033,136873
19,0.0,24,85063,149432,91097
19,0.0,25,76443,140286,53828
19,0.0,26,96519,145415,80355
19,3.0,20,128275,148462,47344
19,3.0,21,67928,149379,24883
19,3.0,22,85316,147720,18727
19,3.0,23,96957,146125,15998
19,3.0,24,72598,141350,2181
19,3.0,25,52244,134291,595
19,3.0,26,69825,136428,149
20,-3.0,20,142568,151160,151910
20,-3.0,21,129829,150812,151457
20,-3.0,22,121439,151583,151074
20,-3.0,23,102967,151647,149387
20,-3.0,24,34361,150341,117672
20,-3.0,25,43805,150725,133031
20,-3.0,26,65617,150771,136743
20,0.0,20,146051,151379,149341
20,0.0,21,127230,150681,147029
20,0.0,22,97810,151627,147258
20,0.0,23,69971,151359,139072
20,0.0,24,14467,148175,69484
20,0.0,25,11336,131702,32281
20,0.0,26,18533,130900,49096
20,3.0,20,122439,150321,45887
20,3.0,21,48533,150856,26495
20,3.0,22,65588,150539,20336
20,3.0,23,66475,149050,12830
20,3.0,24,28973,144881,1400
20,3.0,25,16021,136979,401
20,3.0,26,21575,129641,75
