pair,layer,positions,rec
9,12,last,-0.020450272928687188
9,12,all,-0.6605541734215369
9,13,last,0.01910030307808155
9,13,all,-0.05482586296083097
9,14,last,0.07611011004275074
9,14,all,0.433404229147312
9,15,last,-0.07231285018164443
9,15,all,-0.1814850697369336
9,16,last,0.15086730536309897
9,16,all,0.2076311986081791
9,17,last,-0.0969276457185186
9,17,all,-0.1981906166094425
9,18,last,0.03178742006280904
9,18,all,0.02672691174814969
9,19,last,-0.13620018520874166
9,19,all,-0.11953898065869133
9,20,last,-0.03111118272076502
9,20,all,-0.047123432304268756
9,21,last,0.13930888665499866
9,21,all,0.2337744164567289
9,22,last,-0.14115515202612933
9,22,all,-0.16145499954946846
9,23,last,0.11725355704971506
9,23,all,0.10664924295469887
9,24,last,0.013011662166203013
9,24,all,0.016542258808737755
9,25,last,-0.14497360142453264
9,25,all,-0.1413761189581978
9,26,last,-0.13099053775457656
9,26,all,-0.13728755373290932
9,27,last,-0.10537495969418285
9,27,all,-0.10980587472813248
9,28,last,-0.02139621990840298
9,28,all,0.03122478030410168
9,29,last,-0.17249048349446747
9,29,all,-0.15119506620918027
9,30,last,-0.3994797122366058
9,30,all,-0.40948828215202565
9,31,last,-0.09964789488039792
9,31,all,-0.09964789488039792
10,0,last,-0.0028096081894570628
10,0,all,0.10165302287210737
10,1,last,-0.0001645723446807785
10,1,all,-0.017405968171057145
10,2,last,-0.005490853781782435
10,2,all,-0.20057862793411513
10,3,last,-0.007987027331079134
10,3,all,-0.3298941736600334
10,4,last,-0.00015997428149994186
10,4,all,-0.38334244324601036
10,5,last,-0.08648075547710748
10,5,all,0.08963655950688838
10,6,last,-0.0028393040141666327
10,6,all,-0.4895266657968664
10,7,last,-0.08344852439531159
10,7,all,0.1281641140710504
10,8,last,0.10749907703460942
10,8,all,-0.3148826468903969
10,9,last,-0.018771018177868026
10,9,all,-0.7556326752930164
10,10,last,0.014576243455183923
10,10,all,-0.567423986831147
10,11,last,-0.015325727753660298
10,11,all,0.7942464435418191
10,12,last,-0.00198253157480407
10,12,all,-0.9059058098252564
10,13,last,0.16433439491117022
10,13,all,0.6606225126154569
10,14,last,-0.19253814811855877
10,14,all,0.3030723300244521
10,15,last,-0.06098890161658322
10,15,all,-0.5205107145409341
10,16,last,-0.5251233382551768
10,16,all,-1.0
10,17,last,-0.17596557889902825
10,17,all,-0.3721676170288504
10,18,last,-0.44360159391860166
10,18,all,-0.6808639530813633
10,19,last,0.1697183437239982
10,19,all,0.26917636618515367
10,20,last,-0.05473496093274777
10,20,all,-0.1556858212399482
10,21,last,1.0957556236707526
10,21,all,1.3536004463186662
10,22,last,0.03959449680808202
10,22,all,0.20767612162566823
10,23,last,0.07101287093677298
10,23,all,-0.0355955229425152
10,24,last,-0.020823095458282252
10,24,all,-0.09977797102415535
10,25,last,-0.2680506070497122
10,25,all,-0.26309925934781453
10,26,last,0.05847548533035839
10,26,all,-0.022152510475441648
10,27,last,-0.05332412188009439
10,27,all,-0.1389055728334166
10,28,last,-0.3888007274135952
10,28,all,-0.29174787516794903
10,29,last,-0.4464746170627611
10,29,all,-0.5259644006453381
10,30,last,-0.25266127275538364
10,30,all,-0.3139139882469673
10,31,last,-0.2863961127973869
10,31,all,-0.2863961127973869
11,0,last,-0.023589211415106403
11,0,all,-0.021416306156011016
11,1,last,-0.0
11,1,all,-0.016463646886526156
11,2,last,1.6814324459293361e-06
11,2,all,-0.021231546402540664
11,3,last,-0.010386307126296446
11,3,all,0.027709907801124523
11,4,last,-0.0002597813128960824
11,4,all,-0.02179556808035902
11,5,last,0.00027189751728586735
11,5,all,-0.004028217601492004
11,6,last,0.023918821628404023
11,6,all,0.07012641503667451
11,7,last,0.0013013792592538377
11,7,all,0.03676264118221713
11,8,last,0.011319007594832543
11,8,all,0.004676657078875106
11,9,last,-0.0009552514448697369
11,9,all,-0.048244451000932005
11,10,last,0.017071484715729612
11,10,all,0.0012881750691637456
11,11,last,0.057774513381086676
11,11,all,0.4155282709622452
11,12,last,-0.013276293869685226
11,12,all,0.060975070588017696
11,13,last,0.12238063733608877
11,13,all,0.3108066306200519
11,14,last,0.10526929278061153
11,14,all,0.3653287838387043
11,15,last,-0.022716251252296267
11,15,all,0.07841379993149647
11,16,last,0.0847326972441421
11,16,all,0.33228255344705027
11,17,last,-0.14949823583118696
11,17,all,-0.17761040161805233
11,18,last,0.022732027044950722
11,18,all,-0.01414173704038415
11,19,last,-0.19754986609368724
11,19,all,-0.18975464636656791
11,20,last,0.014189311687824856
11,20,all,-0.007558088298347834
11,21,last,0.32420025385673623
11,21,all,0.48980478272579386
11,22,last,-0.05022428825211833
11,22,all,-0.03877215077068456
11,23,last,0.06685513875922353
11,23,all,0.039492001673124194
11,24,last,0.02443299377959012
11,24,all,0.05427129833388837
11,25,last,-0.13799367722055655
11,25,all,-0.1382133514242277
11,26,last,0.011267773359127167
11,26,all,-0.0069490635756531355
11,27,last,-0.00424606201103079
11,27,all,0.0046528697551547525
11,28,last,-0.029079088351065686
11,28,all,0.006044996912593306
11,29,last,-0.056902641203976846
11,29,all,-0.06328436969081523
11,30,last,-0.19192221060495268
11,30,all,-0.19673639896712572
11,31,last,0.047037083596963805
11,31,all,0.047037083596963805
12,0,last,0.0017639801279339775
12,0,all,-0.01842701761885482
12,1,last,2.5732751683938406e-07
12,1,all,0.023308005958264256
12,2,last,0.002832506908857836
12,2,all,0.02717558707085683
12,3,last,-0.0010710485905888842
12,3,all,-0.04618087108555311
12,4,last,0.0012191663092816338
12,4,all,-0.06011247991623063
12,5,last,-0.000359692403038091
12,5,all,-0.0725037262311076
12,6,last,0.0020038093736282833
12,6,all,-0.04220269060622297
12,7,last,0.000481253921993016
12,7,all,-0.05804752952460131
12,8,last,0.0034504017422925647
12,8,all,-0.020653981415086217
12,9,last,0.004444303543333002
12,9,all,-0.028766797503984844
12,10,last,0.007342531899991616
12,10,all,-0.077552028921966
12,11,last,0.02065269477750202
12,11,all,0.1755484717293042
12,12,last,0.0008030162490489818
12,12,all,-0.1626774639920319
12,13,last,0.018491400963568033
12,13,all,-0.09738817202303328
12,14,last,0.09929080021704031
12,14,all,0.06652734611801626
12,15,last,-0.09989495376107582
12,15,all,-0.2132274989860009
12,16,last,-0.04410670836882094
12,16,all,0.12271408890284861
12,17,last,-0.071535402785241
12,17,all,-0.12695731672452332
12,18,last,-0.07648561222668022
12,18,all,-0.059664112450889685
12,19,last,0.0770105088955292
12,19,all,0.1923232922935401
12,20,last,-0.1901399197786613
12,20,all,-0.21635480029814996
12,21,last,0.3440957307769526
12,21,all,0.45377000509148224
12,22,last,0.020638232971055645
12,22,all,0.04507436276314376
12,23,last,0.07359891214277602
12,23,all,0.00432994719484958
12,24,last,-0.052376391311984856
12,24,all,-0.026057138751666133
12,25,last,-0.12578338859270205
12,25,all,-0.09707191650483768
12,26,last,0.04629563915806348
12,26,all,0.04811175384090911
12,27,last,0.004570085233564092
12,27,all,-0.02198271778103806
12,28,last,-0.125789255660086
12,28,all,-0.11697748656994823
12,29,last,-0.17100978045279452
12,29,all,-0.14595055781143154
12,30,last,-0.3382425590789239
12,30,all,-0.3491399676930449
12,31,last,-0.381009054274542
12,31,all,-0.381009054274542
13,0,last,-0.07580981295806889
13,0,all,-0.13918233230699845
13,1,last,-0.07851839770806121
13,1,all,0.008076697340906434
13,2,last,-0.007714480425408648
13,2,all,0.06463545328342718
13,3,last,-0.07994249565202985
13,3,all,-0.010646314322253067
13,4,last,-0.07851502001923996
13,4,all,0.08954848181733813
13,5,last,-0.07937182708356354
