kind,layer,index,drop_recovery,marginal
neuron,20,4057,0.7082219318168431,-0.0020523084513370815
neuron,18,9919,0.7083550792875413,-0.0021854559220352288
neuron,21,3205,0.708495205897456,-0.0023255825319499213
neuron,18,8841,0.7085042770275978,-0.0023346536620917346
neuron,15,9747,0.7085333754738806,-0.002363752108374584
neuron,17,12183,0.7087057345326414,-0.0025361111671353687
neuron,26,14158,0.708880705683131,-0.0027110823176249577
neuron,16,12481,0.708955171021056,-0.002785547655549947
neuron,22,4697,0.7089677434220861,-0.002798120056580089
neuron,20,10194,0.709208332928375,-0.003038709562869002
neuron,18,2383,0.7099168396981212,-0.003747216332615211
neuron,17,2671,0.7099290339902525,-0.0037594106247464953
neuron,18,12426,0.710035536706712,-0.0038659133412060065
neuron,17,5027,0.7102099880273314,-0.004040364661825335
neuron,15,9277,0.7103146376178217,-0.004145014252315615
neuron,25,5853,0.7106433100952068,-0.004473686729700721
neuron,26,6522,0.7107197055078751,-0.004550082142369072
neuron,20,6183,0.710866781948021,-0.00469715858251496
neuron,25,4758,0.71096991479399,-0.004800291428483927
neuron,21,31,0.7109759299409503,-0.00480630657544423
neuron,15,8624,0.7110736784932717,-0.004904055127765705
neuron,19,5117,0.7115380586517714,-0.005368435286265405
neuron,24,5214,0.7116416098256744,-0.005471986460168332
neuron,17,2810,0.7117051132145032,-0.00553548984899721
neuron,17,11366,0.7118639459338474,-0.005694322568341348
neuron,22,12476,0.7121133384228264,-0.005943715057320387
neuron,13,4772,0.7128492425463547,-0.006679619180848695
neuron,18,5927,0.7131039517119997,-0.006934328346493657
neuron,15,9732,0.7131497093887087,-0.0069800860232026585
neuron,26,1779,0.7131859453726002,-0.007016322007094122
head,13,0,0.713614173267196,-0.0074445499016899674
neuron,14,13899,0.7137837217656614,-0.007614098400155367
neuron,19,5071,0.7141798053597048,-0.008010181994198784
neuron,20,11293,0.7152886727932493,-0.00911904942774322
neuron,18,2351,0.7157217002205419,-0.009552076855035896
neuron,19,6904,0.7169559259822732,-0.010786302616767163
neuron,17,10608,0.717741379476824,-0.011571756111317999
neuron,19,7631,0.7193813253960778,-0.01321170203057176
neuron,21,9243,0.7215641757248191,-0.015394552359313085
neuron,25,1472,0.7215839325305455,-0.015414309165039497
neuron,18,6394,0.7220803245639236,-0.01591070119841753
neuron,18,12564,0.7336081904452021,-0.027438567079696052
head,11,11,0.7361566191850685,-0.029986995819562434
head,15,7,0.7515259748680299,-0.04535635150252382
head,15,4,0.7530816652919364,-0.04691204192643039
head,13,16,0.7709003845530735,-0.06473076118756749
neuron,20,12826,0.772786099445052,-0.06661647607954602
head,12,11,0.8236146132742774,-0.11744498990877139
