rand,layer,norm,cos_real,max_abs_proj_err,span_frac_real
5,20,1.0,-0.01084674708545208,1.2223608791828156e-08,0.002720230957493186
5,21,1.0,0.008946406655013561,1.4901161193847656e-08,0.005908937659114599
6,11,1.0,0.019919725134968758,1.5832483768463135e-08,0.000865537382196635
6,12,1.0,0.0017256850842386484,1.1874362826347351e-08,0.0017479246016591787
6,13,1.0,0.006018279120326042,2.0489096641540527e-08,0.0032908765133470297
6,14,1.0,0.016177188605070114,1.1175870895385742e-08,0.002810368314385414
6,15,1.0,0.0010482990182936192,8.381903171539307e-09,0.0024019363336265087
6,16,1.0,0.016938237473368645,1.4901161193847656e-08,0.0017825771356001496
6,17,1.0,-0.0015218611806631088,1.7695128917694092e-08,0.0026782569475471973
6,18,1.0,0.009176066145300865,2.514570951461792e-08,0.0020649658981710672
6,19,1.0,-0.004866948351264,1.6763806343078613e-08,0.00228034402243793
6,20,0.9999998807907104,0.029298096895217896,9.080395102500916e-09,0.002720230957493186
6,21,1.0,0.014303892850875854,1.862645149230957e-08,0.005908937659114599
7,11,1.0,-0.002555089071393013,1.30385160446167e-08,0.000865537382196635
7,12,1.0,-0.009755710139870644,1.1175870895385742e-08,0.0017479246016591787
7,13,1.0,-0.009044349193572998,1.955777406692505e-08,0.0032908765133470297
7,14,1.0,0.0010873526334762573,1.4901161193847656e-08,0.002810368314385414
7,15,1.0,0.0041213203221559525,1.0244548320770264e-08,0.0024019363336265087
7,16,1.0,-0.019535358995199203,2.421438694000244e-08,0.0017825771356001496
7,17,1.0,0.005900174379348755,9.313225746154785e-09,0.0026782569475471973
7,18,0.9999999403953552,-0.007992979139089584,1.30385160446167e-08,0.0020649658981710672
7,19,0.9999999403953552,-0.02684587426483631,1.862645149230957e-08,0.00228034402243793
7,20,1.0000001192092896,0.0003318004310131073,5.587935447692871e-09,0.002720230957493186
7,21,1.0,-0.005677657201886177,1.0244548320770264e-08,0.005908937659114599
8,11,1.0,0.004829759709537029,1.6763806343078613e-08,0.000865537382196635
8,12,1.0,-0.01848442479968071,1.1175870895385742e-08,0.0017479246016591787
8,13,1.0,-0.01677856221795082,2.2351741790771484e-08,0.0032908765133470297
8,14,0.9999999403953552,-0.010183720849454403,2.60770320892334e-08,0.002810368314385414
8,15,1.0,-0.02644733525812626,1.6763806343078613e-08,0.0024019363336265087
8,16,0.9999999403953552,-0.0026524262502789497,1.1175870895385742e-08,0.0017825771356001496
8,17,1.0,-0.004557856824249029,9.313225746154785e-09,0.0026782569475471973
8,18,1.0,-0.02270178124308586,2.1420419216156006e-08,0.0020649658981710672
8,19,1.0,-0.005205716472119093,5.587935447692871e-09,0.00228034402243793
8,20,1.0,-0.009593429043889046,1.4901161193847656e-08,0.002720230957493186
8,21,1.0,0.021239371970295906,1.3969838619232178e-08,0.005908937659114599
9,11,1.0000001192092896,0.021502269431948662,1.955777406692505e-08,0.000865537382196635
9,12,1.0,0.011262889951467514,2.3865140974521637e-08,0.0017479246016591787
9,13,1.0,0.004137739073485136,2.2351741790771484e-08,0.0032908765133470297
9,14,1.0,0.014073988422751427,6.05359673500061e-09,0.002810368314385414
9,15,1.0,-0.014968293718993664,8.381903171539307e-09,0.0024019363336265087
9,16,1.0,0.010022218339145184,2.60770320892334e-08,0.0017825771356001496
9,17,1.0,-0.012371924705803394,5.587935447692871e-09,0.0026782569475471973
9,18,1.0,-0.00903407298028469,1.4901161193847656e-08,0.0020649658981710672
9,19,0.9999999403953552,0.004526651464402676,1.862645149230957e-08,0.00228034402243793
9,20,1.0,0.011690294370055199,1.0244548320770264e-08,0.002720230957493186
9,21,1.0,-0.02851727418601513,2.60770320892334e-08,0.005908937659114599
