neuron_id,layer,neuron_idx,kind,matched_to,w_norm,logit_var,nullfrac_k16,nullfrac_k64,nullfrac_k256,nullfrac_bottom10pct,w_norm_pctile_random,w_norm_pctile_matched,logit_var_pctile_random,logit_var_pctile_matched,nullfrac_bottom10pct_pctile_random,nullfrac_bottom10pct_pctile_matched,nullfrac_k16_pctile_random,nullfrac_k16_pctile_matched,nullfrac_k64_pctile_random,nullfrac_k64_pctile_matched,nullfrac_k256_pctile_random,nullfrac_k256_pctile_matched
L23_N11955,23,11955,random,,1.8281168937683105,0.0001857787137851119,0.0010717891855165362,0.011375664733350277,0.06098310649394989,0.3088527321815491,33.900000000000006,,28.599999999999998,,73.3,,1.0999999999999999,,26.5,,73.5,
L29_N8785,29,8785,random,,1.997867226600647,0.00018922329763881862,0.002532733604311943,0.009371034801006317,0.0475894995033741,0.27910375595092773,80.0,,63.800000000000004,,17.0,,27.1,,7.6,,19.900000000000002,
L23_N6201,23,6201,random,,1.8416407108306885,0.0001915665779961273,0.002112151123583317,0.015507790260016918,0.04969560354948044,0.28234997391700745,43.0,,81.69999999999999,,22.2,,15.2,,72.2,,28.1,
L23_N9044,23,9044,random,,1.838610053062439,0.0001879863120848313,0.0038764411583542824,0.014002268202602863,0.05576210096478462,0.29341429471969604,41.199999999999996,,50.4,,44.1,,66.60000000000001,,59.3,,56.10000000000001,
L26_N13588,26,13588,random,,1.860946536064148,0.0001899883063742891,0.0035441261716187,0.012657246552407742,0.05473683401942253,0.290036678314209,55.00000000000001,,71.39999999999999,,37.6,,57.8,,44.0,,51.9,
L31_N10133,31,10133,random,,1.4173787832260132,0.00013162243703845888,0.005843779072165489,0.018671004101634026,0.17506147921085358,0.6538304090499878,4.5,,0.8,,98.0,,88.2,,85.7,,94.19999999999999,
L26_N9459,26,9459,random,,1.8627173900604248,0.00018780115351546556,0.002996481489390135,0.01251385360956192,0.0581669881939888,0.30136990547180176,55.400000000000006,,48.199999999999996,,61.7,,41.8,,42.3,,65.7,
L24_N11543,24,11543,random,,1.8141742944717407,0.00018981836910825223,0.0025677497033029795,0.009363102726638317,0.0519297756254673,0.2930351197719574,23.599999999999998,,69.5,,43.7,,28.1,,7.5,,39.0,
L23_N750,23,750,random,,1.7678223848342896,0.00018935854313895106,0.004177187569439411,0.01383205782622099,0.06421665847301483,0.3029574453830719,17.2,,64.8,,65.4,,73.2,,57.3,,79.7,
L31_N3733,31,3733,random,,2.150007963180542,0.00018948037177324295,0.0020248128566890955,0.008879313245415688,0.05460864305496216,0.29920101165771484,93.60000000000001,,65.9,,56.89999999999999,,12.5,,5.1,,51.1,
L26_N1307,26,1307,random,,1.8593677282333374,0.00019999723008368164,0.003312460146844387,0.015698375180363655,0.06828412413597107,0.3359582722187042,54.1,,95.3,,83.39999999999999,,51.800000000000004,,73.3,,83.0,
L24_N14196,24,14196,random,,1.8333048820495605,0.0001888674305519089,0.003189893439412117,0.014318842440843582,0.049315519630908966,0.28765207529067993,38.2,,60.099999999999994,,33.0,,48.8,,62.3,,26.5,
L23_N6227,23,6227,random,,1.8614522218704224,0.00019089592387899756,0.0020570214837789536,0.008664406836032867,0.04434383660554886,0.2796757221221924,55.2,,78.5,,18.2,,13.200000000000001,,3.8,,10.6,
L26_N7428,26,7428,random,,1.86505925655365,0.00018860059208236635,0.0070691765286028385,0.015324510633945465,0.057911455631256104,0.302359938621521,56.49999999999999,,57.3,,63.9,,91.9,,70.3,,64.7,
L31_N13666,31,13666,random,,2.1101481914520264,0.0001818084274418652,0.003328834194689989,0.009752443991601467,0.05265618860721588,0.2896445095539093,91.9,,15.5,,37.1,,52.400000000000006,,10.299999999999999,,42.1,
L26_N2664,26,2664,random,,1.7487406730651855,0.00019181423704139888,0.004452369641512632,0.014622372575104237,0.0642726793885231,0.30769434571266174,15.8,,82.69999999999999,,71.7,,76.2,,64.7,,79.9,
L26_N5820,26,5820,random,,1.758095145225525,0.00018819767865352333,0.004987367894500494,0.013278334401547909,0.047510165721178055,0.27476614713668823,16.5,,52.800000000000004,,11.799999999999999,,82.89999999999999,,51.1,,19.1,
L24_N10980,24,10980,random,,1.82980477809906,0.00019400895689614117,0.003400286892428994,0.016616228967905045,0.05758415907621384,0.304548442363739,35.199999999999996,,88.9,,67.80000000000001,,54.6,,79.80000000000001,,63.3,
L26_N11498,26,11498,random,,1.8918079137802124,0.00018746797286439687,0.002938047284260392,0.014888434670865536,0.058826982975006104,0.3012028634548187,63.0,,46.0,,61.199999999999996,,39.800000000000004,,66.9,,67.60000000000001,
L31_N10617,31,10617,random,,1.9510287046432495,0.0001935467153089121,0.003032207954674959,0.022346895188093185,0.06711439788341522,0.31658944487571716,70.0,,87.9,,78.2,,43.3,,88.9,,82.5,
L23_N9980,23,9980,random,,1.8385170698165894,0.00018729646399151534,0.002654398325830698,0.013829044066369534,0.055572472512722015,0.29540055990219116,41.0,,44.5,,48.699999999999996,,31.0,,57.199999999999996,,55.1,
L31_N2803,31,2803,random,,2.1370928287506104,0.00018494647520128638,0.0027719123754650354,0.013458632864058018,0.0527736134827137,0.28694799542427063,93.10000000000001,,22.8,,30.7,,34.4,,53.300000000000004,,43.0,
L30_N11946,30,11946,random,,2.0319063663482666,0.0001848668762249872,0.0025517817120999098,0.009883441962301731,0.04820086061954498,0.29027876257896423,85.3,,22.5,,38.1,,27.6,,11.600000000000001,,21.9,
L24_N2677,24,2677,random,,1.839308261871338,0.00018653635925147682,0.001934660947881639,0.012431140057742596,0.05569763109087944,0.29860273003578186,41.699999999999996,,36.1,,55.1,,11.4,,41.6,,55.900000000000006,
L29_N6216,29,6216,random,,1.753598928451538,0.00017251026292797178,0.018370695412158966,0.05288517847657204,0.162315234541893,0.4836009740829468,16.1,,9.2,,93.4,,97.5,,95.8,,93.60000000000001,
L26_N10485,26,10485,random,,1.726813554763794,0.00019245552539359778,0.0032488983124494553,0.009813583455979824,0.03609222546219826,0.24130608141422272,14.399999999999999,,85.0,,1.0999999999999999,,49.7,,11.1,,1.4000000000000001,
L31_N9125,31,9125,random,,1.2953062057495117,0.00024474624660797417,0.018925989046692848,0.08851682394742966,0.2229316383600235,0.5400723218917847,2.3,,99.4,,95.7,,97.7,,97.1,,95.7,
L24_N11216,24,11216,random,,1.8202760219573975,0.0001891204883577302,0.0025109739508479834,0.015897613018751144,0.04962742328643799,0.29411178827285767,27.400000000000002,,62.7,,45.800000000000004,,26.3,,74.2,,27.500000000000004,
L26_N13809,26,13809,random,,1.8439381122589111,0.0001865598460426554,0.004743334837257862,0.0183254424482584,0.054892439395189285,0.2921154499053955,44.4,,36.5,,41.5,,79.60000000000001,,85.0,,52.300000000000004,
L23_N3752,23,3752,random,,1.73842191696167,0.00018507528875488788,0.004594206344336271,0.017161665484309196,0.06329818814992905,0.31858837604522705,15.299999999999999,,24.099999999999998,,79.0,,78.10000000000001,,81.8,,77.9,
L23_N13189,23,13189,random,,1.8318814039230347,0.0001875551388366148,0.0029087834991514683,0.01231284812092781,0.05457214638590813,0.29507341980934143,36.9,,46.300000000000004,,47.8,,39.0,,40.300000000000004,,50.9,
