neuron_id,layer,neuron_idx,kind,matched_to,w_norm,logit_var,nullfrac_k16,nullfrac_k64,nullfrac_k256,nullfrac_bottom10pct,w_norm_pctile_random,w_norm_pctile_matched,logit_var_pctile_random,logit_var_pctile_matched,nullfrac_bottom10pct_pctile_random,nullfrac_bottom10pct_pctile_matched,nullfrac_k16_pctile_random,nullfrac_k16_pctile_matched,nullfrac_k64_pctile_random,nullfrac_k64_pctile_matched,nullfrac_k256_pctile_random,nullfrac_k256_pctile_matched
L24_N4293,24,4293,random,,4.016145706176758,0.00012483457976486534,0.007185014430433512,0.02109178900718689,0.06465265899896622,0.2939222455024719,80.80000000000001,,52.6,,5.0,,31.900000000000002,,13.600000000000001,,7.1,
L18_N14356,18,14356,random,,3.7299070358276367,0.00012616810272447765,0.010409670881927013,0.03361337259411812,0.09611961245536804,0.3529298007488251,34.699999999999996,,64.0,,42.699999999999996,,61.7,,60.8,,46.0,
L19_N3978,19,3978,random,,3.960113763809204,0.00012536272697616369,0.004412837326526642,0.02814575657248497,0.1121818870306015,0.38278234004974365,72.6,,56.8,,71.2,,6.800000000000001,,38.7,,69.6,
L16_N7841,16,7841,random,,3.8490214347839355,0.00013206819130573422,0.009396721608936787,0.02630101889371872,0.09317270666360855,0.3497474789619446,55.2,,89.1,,38.800000000000004,,53.6,,30.7,,39.4,
L17_N10182,17,10182,random,,3.955146312713623,0.00012610165867954493,0.011421458795666695,0.036072444170713425,0.10322012007236481,0.36276620626449585,72.0,,63.5,,54.7,,67.2,,67.2,,58.4,
L24_N448,24,448,random,,3.9972004890441895,0.00012647693802136928,0.006936189252883196,0.0239851213991642,0.0672469288110733,0.3039216697216034,78.0,,65.9,,8.0,,28.299999999999997,,23.200000000000003,,8.4,
L24_N13369,24,13369,random,,3.861691951751709,0.00012903740571346134,0.004822288174182177,0.015123439952731133,0.04990958794951439,0.2784583866596222,57.49999999999999,,81.6,,1.7999999999999998,,9.8,,1.7999999999999998,,0.2,
L16_N7362,16,7362,random,,3.615809917449951,0.00012948684161528945,0.018801629543304443,0.04152974858880043,0.10749313980340958,0.36641430854797363,22.6,,83.6,,58.8,,90.10000000000001,,78.3,,64.2,
L16_N15120,16,15120,random,,3.7754628658294678,0.0001408967364113778,0.017458204180002213,0.06066742166876793,0.12488777190446854,0.3930152952671051,42.9,,97.8,,78.3,,87.9,,92.60000000000001,,80.4,
L16_N5045,16,5045,random,,3.8238604068756104,0.00011918386735487729,0.01835598051548004,0.058139096945524216,0.12994739413261414,0.3942834138870239,50.6,,10.100000000000001,,79.2,,89.8,,91.0,,83.2,
L19_N9563,19,9563,random,,3.4416420459747314,0.0001376551517751068,0.007044084835797548,0.03842258080840111,0.09377529472112656,0.3489982783794403,10.100000000000001,,96.3,,37.8,,30.2,,72.89999999999999,,40.699999999999996,
L24_N8959,24,8959,random,,3.938504934310913,0.00011901974357897416,0.014212282374501228,0.036165397614240646,0.11172492057085037,0.3908473551273346,69.6,,9.9,,76.7,,79.7,,67.30000000000001,,69.1,
L19_N15810,19,15810,random,,3.3970048427581787,0.0001264884922420606,0.008626032620668411,0.02558465674519539,0.08485676348209381,0.32754451036453247,7.5,,66.2,,18.4,,46.0,,28.000000000000004,,25.8,
