prompt_id,orig_entropy,frozen_norm_ablated_entropy,shift_under_frozen_norm
lok_0050,0.799883246421814,0.8019617795944214,0.002078533172607422
lok_0051,0.1253710836172104,0.1266797035932541,0.0013086199760437012
lok_0052,0.5288046598434448,0.5643295049667358,0.035524845123291016
lok_0053,0.4256819784641266,0.4305640459060669,0.004882067441940308
lok_0054,0.22609999775886536,0.2283446192741394,0.002244621515274048
lok_0055,0.5141301155090332,0.5331828594207764,0.019052743911743164
lok_0056,0.5485038757324219,0.5723809599876404,0.023877084255218506
lok_0057,0.21846818923950195,0.21856215596199036,9.396672248840332e-05
lok_0058,0.2907663881778717,0.28143712878227234,-0.009329259395599365
lok_0059,0.751311719417572,0.7271981835365295,-0.02411353588104248
lok_0060,0.22262826561927795,0.22536900639533997,0.0027407407760620117
lok_0061,0.637378454208374,0.6513981223106384,0.014019668102264404
lok_0062,0.5287905335426331,0.5360552668571472,0.00726473331451416
lok_0063,0.20108412206172943,0.18291553854942322,-0.018168583512306213
lok_0064,0.13090014457702637,0.11814248561859131,-0.012757658958435059
lok_0065,1.702068567276001,1.639440894126892,-0.06262767314910889
lok_0066,0.48573434352874756,0.4521898627281189,-0.03354448080062866
lok_0067,0.10822445154190063,0.09984596073627472,-0.008378490805625916
lok_0068,0.2022930532693863,0.2024240493774414,0.00013099610805511475
lok_0069,0.41458413004875183,0.4133976101875305,-0.0011865198612213135
lok_0070,0.5489623546600342,0.5233761072158813,-0.025586247444152832
lok_0071,2.08018159866333,2.0925464630126953,0.012364864349365234
lok_0072,0.17314720153808594,0.1765642762184143,0.003417074680328369
lok_0073,1.6169490814208984,1.6319165229797363,0.01496744155883789
lok_0074,0.3025710880756378,0.3033974766731262,0.0008263885974884033
lok_0075,0.601728081703186,0.6018054485321045,7.736682891845703e-05
lok_0076,0.27730950713157654,0.2824537456035614,0.005144238471984863
lok_0077,0.2108146995306015,0.21131451427936554,0.0004998147487640381
lok_0078,0.5799957513809204,0.5994344353675842,0.01943868398666382
lok_0079,0.306663453578949,0.2910328507423401,-0.015630602836608887
lok_0080,0.827601432800293,0.8480420112609863,0.02044057846069336
lok_0081,0.2727290093898773,0.24903222918510437,-0.02369678020477295
lok_0082,0.42320287227630615,0.4358559846878052,0.012653112411499023
lok_0083,0.2901107668876648,0.3052330017089844,0.01512223482131958
