neuron_id,layer,neuron_idx,category,prompt_id,split,is_control,sigma_multiplier,clamp_value,baseline_mean,baseline_sigma,orig_activation,orig_entropy,clamped_entropy,entropy_shift,orig_top1_prob,clamped_top1_prob,precision
L31_N2477,31,2477,contradictory_context,cc_ctrl_0070,working,True,-1.0,-0.6868993733519557,1.711566162109375,2.3984655354613307,-3.65625,2.4771032333374023,2.506397247314453,0.02929401397705078,0.2921444773674011,0.27668997645378113,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0070,working,True,0.0,1.711566162109375,1.711566162109375,2.3984655354613307,-3.65625,2.4771032333374023,2.5104126930236816,0.0333094596862793,0.2921444773674011,0.28808069229125977,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0070,working,True,1.0,4.110031697570705,1.711566162109375,2.3984655354613307,-3.65625,2.4771032333374023,2.536648750305176,0.05954551696777344,0.2921444773674011,0.27427512407302856,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0070,working,True,2.0,6.5084972330320365,1.711566162109375,2.3984655354613307,-3.65625,2.4771032333374023,2.528357982635498,0.0512547492980957,0.2921444773674011,0.28690990805625916,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0071,working,True,-2.0,-3.085364908813286,1.711566162109375,2.3984655354613307,-0.19140625,2.291775703430176,2.3312385082244873,0.03946280479431152,0.5765274167060852,0.569122850894928,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0071,working,True,-1.0,-0.6868993733519557,1.711566162109375,2.3984655354613307,-0.19140625,2.291775703430176,2.2894673347473145,-0.002308368682861328,0.5765274167060852,0.576836347579956,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0071,working,True,0.0,1.711566162109375,1.711566162109375,2.3984655354613307,-0.19140625,2.291775703430176,2.3039371967315674,0.012161493301391602,0.5765274167060852,0.5729835033416748,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0071,working,True,1.0,4.110031697570705,1.711566162109375,2.3984655354613307,-0.19140625,2.291775703430176,2.309502601623535,0.017726898193359375,0.5765274167060852,0.5722394585609436,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0071,working,True,2.0,6.5084972330320365,1.711566162109375,2.3984655354613307,-0.19140625,2.291775703430176,2.366715431213379,0.07493972778320312,0.5765274167060852,0.5607195496559143,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0072,working,True,-2.0,-3.085364908813286,1.711566162109375,2.3984655354613307,-3.421875,0.6947396993637085,0.6954972147941589,0.0007575154304504395,0.8689076900482178,0.8688336610794067,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0072,working,True,-1.0,-0.6868993733519557,1.711566162109375,2.3984655354613307,-3.421875,0.6947396993637085,0.7257680892944336,0.031028389930725098,0.8689076900482178,0.8634489178657532,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0072,working,True,0.0,1.711566162109375,1.711566162109375,2.3984655354613307,-3.421875,0.6947396993637085,0.7045139074325562,0.009774208068847656,0.8689076900482178,0.8677607178688049,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0072,working,True,1.0,4.110031697570705,1.711566162109375,2.3984655354613307,-3.421875,0.6947396993637085,0.7257538437843323,0.03101414442062378,0.8689076900482178,0.8646026253700256,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0072,working,True,2.0,6.5084972330320365,1.711566162109375,2.3984655354613307,-3.421875,0.6947396993637085,0.7478092908859253,0.0530695915222168,0.8689076900482178,0.8614993691444397,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0073,working,True,-2.0,-3.085364908813286,1.711566162109375,2.3984655354613307,-3.265625,1.1606802940368652,1.159867286682129,-0.0008130073547363281,0.6156044602394104,0.615702211856842,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0073,working,True,-1.0,-0.6868993733519557,1.711566162109375,2.3984655354613307,-3.265625,1.1606802940368652,1.1540395021438599,-0.006640791893005371,0.6156044602394104,0.6377785205841064,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0073,working,True,0.0,1.711566162109375,1.711566162109375,2.3984655354613307,-3.265625,1.1606802940368652,1.1506632566452026,-0.010017037391662598,0.6156044602394104,0.6382360458374023,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0073,working,True,1.0,4.110031697570705,1.711566162109375,2.3984655354613307,-3.265625,1.1606802940368652,1.1965044736862183,0.03582417964935303,0.6156044602394104,0.6101217865943909,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0073,working,True,2.0,6.5084972330320365,1.711566162109375,2.3984655354613307,-3.265625,1.1606802940368652,1.1813483238220215,0.02066802978515625,0.6156044602394104,0.6331465244293213,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0074,working,True,-2.0,-3.085364908813286,1.711566162109375,2.3984655354613307,-2.609375,0.9345754384994507,0.9319762587547302,-0.002599179744720459,0.8289369940757751,0.8292981386184692,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0074,working,True,-1.0,-0.6868993733519557,1.711566162109375,2.3984655354613307,-2.609375,0.9345754384994507,0.8702237606048584,-0.06435167789459229,0.8289369940757751,0.8433255553245544,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0074,working,True,0.0,1.711566162109375,1.711566162109375,2.3984655354613307,-2.609375,0.9345754384994507,0.8885447978973389,-0.046030640602111816,0.8289369940757751,0.8382074236869812,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0074,working,True,1.0,4.110031697570705,1.711566162109375,2.3984655354613307,-2.609375,0.9345754384994507,0.9048357009887695,-0.029739737510681152,0.8289369940757751,0.8338890671730042,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0074,working,True,2.0,6.5084972330320365,1.711566162109375,2.3984655354613307,-2.609375,0.9345754384994507,0.9016079902648926,-0.032967448234558105,0.8289369940757751,0.834649384021759,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0075,working,True,-2.0,-3.085364908813286,1.711566162109375,2.3984655354613307,-2.125,1.6903769969940186,1.6971946954727173,0.0068176984786987305,0.4730002284049988,0.47206005454063416,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0075,working,True,-1.0,-0.6868993733519557,1.711566162109375,2.3984655354613307,-2.125,1.6903769969940186,1.6815106868743896,-0.008866310119628906,0.4730002284049988,0.47415152192115784,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0075,working,True,0.0,1.711566162109375,1.711566162109375,2.3984655354613307,-2.125,1.6903769969940186,1.7526271343231201,0.06225013732910156,0.4730002284049988,0.4667040705680847,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0075,working,True,1.0,4.110031697570705,1.711566162109375,2.3984655354613307,-2.125,1.6903769969940186,1.7285406589508057,0.03816366195678711,0.4730002284049988,0.46998873353004456,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0075,working,True,2.0,6.5084972330320365,1.711566162109375,2.3984655354613307,-2.125,1.6903769969940186,1.7660839557647705,0.07570695877075195,0.4730002284049988,0.44078436493873596,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0076,working,True,-2.0,-3.085364908813286,1.711566162109375,2.3984655354613307,-4.46875,2.7481014728546143,2.7465896606445312,-0.0015118122100830078,0.27477961778640747,0.2749384045600891,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0076,working,True,-1.0,-0.6868993733519557,1.711566162109375,2.3984655354613307,-4.46875,2.7481014728546143,2.7449283599853516,-0.0031731128692626953,0.27477961778640747,0.27516892552375793,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0076,working,True,0.0,1.711566162109375,1.711566162109375,2.3984655354613307,-4.46875,2.7481014728546143,2.7614686489105225,0.013367176055908203,0.27477961778640747,0.2844395339488983,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0076,working,True,1.0,4.110031697570705,1.711566162109375,2.3984655354613307,-4.46875,2.7481014728546143,2.763827323913574,0.01572585105895996,0.27477961778640747,0.2902761995792389,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0076,working,True,2.0,6.5084972330320365,1.711566162109375,2.3984655354613307,-4.46875,2.7481014728546143,2.8248424530029297,0.07674098014831543,0.27477961778640747,0.27633199095726013,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0077,working,True,-2.0,-3.085364908813286,1.711566162109375,2.3984655354613307,-2.046875,0.38036683201789856,0.40595701336860657,0.025590181350708008,0.918994665145874,0.9106416702270508,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0077,working,True,-1.0,-0.6868993733519557,1.711566162109375,2.3984655354613307,-2.046875,0.38036683201789856,0.40940940380096436,0.029042571783065796,0.918994665145874,0.9102644920349121,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0077,working,True,0.0,1.711566162109375,1.711566162109375,2.3984655354613307,-2.046875,0.38036683201789856,0.4073578119277954,0.02699097990989685,0.918994665145874,0.9105100035667419,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0077,working,True,1.0,4.110031697570705,1.711566162109375,2.3984655354613307,-2.046875,0.38036683201789856,0.3838618993759155,0.0034950673580169678,0.918994665145874,0.9178169965744019,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0077,working,True,2.0,6.5084972330320365,1.711566162109375,2.3984655354613307,-2.046875,0.38036683201789856,0.3875711262226105,0.007204294204711914,0.918994665145874,0.9173712730407715,bf16
L31_N2477,31,2477,contradictory_context,cc_ctrl_0078,working,True,-2.0,-3.085364908813286,1.711566162109375,2.3984655354613307,-3.140625,1.537447214126587,1.537400722503662,-4.649162292480469e-05,0.5314092040061951,0.5314121842384338,bf16
