Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy

Weight-space freq_corr vs causal slope [raw d_elogu] across 55 candidates: Pearson r=0.308 (p=0.022), Spearman rho=0.206 (p=0.13); sign agreement among FREQ-NEURON-LIKE 0.67
Weight-space freq_corr vs causal slope [d_elogu BEYOND temperature-matched baseline] across 55 candidates: Pearson r=0.306 (p=0.023), Spearman rho=0.213 (p=0.12); sign agreement among FREQ-NEURON-LIKE 0.67
|causal elogu slope| per sigma: FREQ-NEURON-LIKE (n=9) 0.0016 | other candidates (n=37) 0.0008 | random controls (n=10) 0.0007
sign agreement (weight score vs causal slope) among FREQ-NEURON-LIKE: 0.67

 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_beyond_temp_slope_per_sigma  d_elogu_beyond_temp_slope_p  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
L22_N11087         False        NaN                   NaN                            0.0001123                       0.7083               -1.521e-06            0.997             0.0003228        0.6699                 -0.0003214               0.001183                   0.5397
L30_N13513          True   -0.02052                  22.4                           -0.0001094                       0.6447               -7.181e-05            0.795             0.0002289        0.6321                  -0.000157               0.001197                   0.4147
 L30_N1424         False        NaN                   NaN                           -9.385e-05                       0.7884               -6.584e-05           0.8652             8.097e-05         0.893                 -1.517e-05               0.001535                   0.1764
L30_N13098          True    -0.1433                  91.9                           -8.966e-05                        0.771               -0.0001116            0.759             0.0004328        0.5879                 -0.0003211               0.001562                   0.2665
L29_N10877          True    0.07306                  65.5                            6.509e-05                       0.9272               -0.0003053           0.7243              0.002831        0.0172                  -0.002525               0.001632                   0.3271
L23_N12855          True     0.0126                  14.9                           -4.233e-05                       0.9142               -0.0001401           0.7822             0.0001229        0.8886                  1.721e-05              -0.002122                   0.3337
 L30_N6621          True   -0.06205                  58.9                            2.608e-05                       0.9528                0.0002321           0.6935            -0.0003167        0.7259                  8.451e-05               0.002264                  0.04159
 L20_N1399          True    0.04082                  41.3                            2.286e-05                       0.9652                -3.38e-05           0.9688              0.000765        0.4533                 -0.0007312              -0.001149                   0.6415
 L31_N2477          True     0.4238                  99.9                            1.968e-05                       0.9788                3.121e-05           0.9646             -0.001684        0.1514                   0.001653               -0.00206                   0.1692
 L30_N3533          True    0.05596                  54.3                           -1.899e-05                       0.9544               -1.437e-05           0.9776            -0.0007155        0.3765                  0.0007299               0.000431                   0.6979
L30_N11103          True   -0.02037                  22.2                           -1.402e-05                        0.962                1.263e-05           0.9722            -0.0004458        0.4861                  0.0004332              0.0004113                   0.7598
