neuron_id,layer,neuron_idx,kind,sets,freq_corr,freq_slope,direct_logit_std,abs_freq_corr_pctile
L30_N11103,30,11103,candidate,candidate_neurons_bf16,-0.020372405648231506,-0.00026338305906392634,0.017926283180713654,22.2
L30_N13098,30,13098,candidate,candidate_neurons|candidate_neurons_bf16,-0.14326491951942444,-0.002467768033966422,0.02388411946594715,91.9
L30_N13513,30,13513,candidate,candidates_old15,-0.020517071709036827,-0.0002462230622768402,0.016640182584524155,22.400000000000002
L30_N13647,30,13647,candidate,candidate_neurons,0.198332741856575,0.0025069238618016243,0.017526350915431976,97.39999999999999
L31_N368,31,368,candidate,candidate_neurons_bf16,0.0062993853352963924,7.560425001429394e-05,0.016641514375805855,8.1
L31_N377,31,377,candidate,candidate_neurons_bf16,0.035173553973436356,0.0004029487317893654,0.015884673222899437,35.9
L31_N2477,31,2477,candidate,candidates_old15,0.42382311820983887,0.005115865729749203,0.016737062484025955,99.9
L31_N3330,31,3330,candidate,candidate_neurons,-0.46584832668304443,-0.00870997179299593,0.025924893096089363,100.0
L31_N4425,31,4425,candidate,candidate_neurons_bf16,-0.006453047972172499,-8.490547770634294e-05,0.018243812024593353,8.200000000000001
L31_N5966,31,5966,candidate,candidate_neurons_bf16,-0.4046629071235657,-0.0036397858057171106,0.012471744790673256,99.9
L31_N6772,31,6772,candidate,candidate_neurons,-0.013934114016592503,-0.00022069485567044467,0.021961279213428497,16.2
L31_N7853,31,7853,candidate,candidate_neurons_bf16,-0.014411313459277153,-0.0001646597229409963,0.015842678025364876,16.6
L31_N11541,31,11541,candidate,candidate_neurons_bf16,0.2199244350194931,0.0027645460795611143,0.017429908737540245,98.6
L31_N14143,31,14143,candidate,candidate_neurons_bf16,-0.25347843766212463,-0.004146632272750139,0.022682934999465942,99.2
L20_N488,20,488,random,,-0.07564366608858109,-0.0013709801714867353,0.025130631402134895,66.10000000000001
L20_N757,20,757,random,,-0.05748407170176506,-0.0009330058819614351,0.022505134344100952,55.300000000000004
L20_N996,20,996,random,,-0.006945819593966007,-0.00012262248492334038,0.02447887323796749,8.4
L20_N1375,20,1375,random,,-0.10028678178787231,-0.0017481186660006642,0.024169741198420525,77.60000000000001
L20_N1503,20,1503,random,,0.006155861541628838,0.00010888409451581538,0.024525638669729233,8.0
L20_N1512,20,1512,random,,-0.07752252370119095,-0.0014023093972355127,0.02508191578090191,67.10000000000001
L20_N1524,20,1524,random,,-0.04875323176383972,-0.0008361259242519736,0.023780064657330513,48.3
L20_N1528,20,1528,random,,0.013111436739563942,0.00023541798873338848,0.02489626035094261,15.8
L20_N1776,20,1776,random,,-0.005818356294184923,-0.00010231296619167551,0.024382323026657104,7.3999999999999995
