neuron_id,group,weight_norm,null_space_fraction,logit_var
L26_N9749,random,1.855427622795105,0.29451843959540763,0.0006589779513888061
L31_N13504,random,2.174161195755005,0.28342141591067493,0.0008769378764554858
L30_N4728,random,2.021000862121582,0.26905781758817576,0.0007738515269011259
L29_N2037,random,1.9587067365646362,0.28102965382587686,0.0007152350735850632
L29_N11283,random,1.9522212743759155,0.30532880843753885,0.0007092687883414328
L26_N11464,random,1.858870506286621,0.2941257085560953,0.000656457501463592
L29_N4460,random,1.688327431678772,0.28532245964956116,0.0005710761179216206
L30_N8847,random,2.0268898010253906,0.28337371102063574,0.0007701413705945015
L29_N7172,random,1.931201457977295,0.28178756637700697,0.0007106884149834514
L23_N9798,random,1.7970026731491089,0.288051870343099,0.0006103439955040812
L23_N7078,random,1.8576998710632324,0.3031414733199944,0.0006570573896169662
L31_N5280,random,2.116654396057129,0.295752302447017,0.0008430657326243818
L30_N4102,random,2.0184288024902344,0.30654720982796696,0.0007770910742692649
L23_N1496,random,1.7979192733764648,0.2890243958879269,0.000607301015406847
L24_N11047,random,1.8524163961410522,0.266282680652159,0.0006810409831814468
L30_N9619,random,2.0023751258850098,0.3510358906162317,0.0007429927354678512
L23_N12529,random,1.7821996212005615,0.30376669861803496,0.0006004985189065337
L31_N13458,random,2.129607677459717,0.3088645523891427,0.0008610295481048524
L26_N9441,random,1.8710166215896606,0.29099458591743005,0.000656259129755199
L23_N12502,random,1.8277541399002075,0.3258845550391926,0.0006149118999019265
L24_N7708,random,1.8276519775390625,0.2852775691859072,0.0006283993134275079
L30_N10674,random,2.0770349502563477,0.2693289129130283,0.0008366730762645602
L29_N4557,random,1.98670494556427,0.2915472021442037,0.0007767112692818046
L24_N9590,random,1.844442367553711,0.300168869468193,0.0006442989106290042
L29_N10400,random,1.9092415571212769,0.33421453169817533,0.0006776696536689997
L29_N1494,random,1.9919304847717285,0.2654260827404386,0.0007939875940792263
L29_N5700,random,1.965620517730713,0.2766646127356546,0.000722224242053926
L29_N5460,random,1.913511037826538,0.4017535469878123,0.0006369726615957916
L26_N10979,random,1.8731763362884521,0.2751113671279617,0.0006655192701146007
L23_N14053,random,1.8448306322097778,0.27472651878465293,0.0006445396575145423
L24_N5403,random,1.8195362091064453,0.31026576294390773,0.0006183887599036098
L29_N11365,random,1.9836719036102295,0.29973177678674745,0.00074314622906968
L29_N4722,random,1.868610143661499,0.5336063299848063,0.0005628680228255689
L31_N6561,random,1.9091732501983643,0.35014341903340956,0.000661620229948312
L30_N601,random,2.069613456726074,0.27387585954835414,0.0008070557378232479
L29_N1442,random,1.9874991178512573,0.2861199059304825,0.0007420016336254776
L26_N4135,random,1.8746641874313354,0.29108451110989997,0.0006649906863458455
L26_N1899,random,2.0052268505096436,0.30019281777501206,0.000774109794292599
L29_N14170,random,1.9330545663833618,0.28910162454657096,0.0007050241692923009
L30_N13515,random,2.000714063644409,0.30192917251606893,0.0007479928899556398
L23_N10775,random,1.8640434741973877,0.3023845458574997,0.0006735742790624499
L30_N7569,random,2.0107638835906982,0.28939502628172376,0.0007624933496117592
L29_N888,random,1.953615427017212,0.299348814619479,0.0007133737672120333
L24_N8494,random,1.83529531955719,0.3015281405730764,0.0006285166018642485
L26_N10201,random,1.8551061153411865,0.282049206764647,0.0006509876111522317
L29_N10246,random,2.3218958377838135,0.570149804821802,0.0008335242746397853
L29_N12451,random,1.974011778831482,0.25766737918756233,0.0007361490861512721
L23_N3335,random,1.8406561613082886,0.31712880821185974,0.000631674483884126
L26_N8998,random,1.8530821800231934,0.29896215962845485,0.0006479849107563496
L24_N4719,random,1.8362345695495605,0.29752934600311765,0.0006316342623904347
L29_N11440,random,1.9241219758987427,0.34552976463606444,0.0006686209235340357
L29_N1989,random,1.9923195838928223,0.26774443616321825,0.0007746919873170555
L23_N10322,random,1.809036374092102,0.2942646525964634,0.0006215517059899867
L30_N13095,random,2.016112804412842,0.27643096357627445,0.0007543520187027752
L24_N11629,random,1.846947193145752,0.30287228374777436,0.0006470148800872266
L24_N5091,random,1.3996198177337646,0.25882733310236333,0.0003646103432402015
L30_N224,random,1.2567931413650513,0.42861104955497403,0.00028260014369152486
L30_N6684,random,2.04327130317688,0.2851508400986638,0.0008200181182473898
L23_N3681,random,1.7283724546432495,0.2665285169026155,0.000566257513128221
L23_N7560,random,1.8304364681243896,0.2930106479801191,0.0006466340855695307
L23_N10612,random,1.8005837202072144,0.2752544442056022,0.0006479601142928004
L24_N8165,random,1.8378220796585083,0.2791122770125091,0.0006462374003604054
L31_N4781,random,2.2201883792877197,0.27963702239201726,0.0009270100272260606
L30_N11557,random,1.388450264930725,0.28099707094080684,0.00036309397546574473
L26_N6807,random,1.8577284812927246,0.2929154242247045,0.0006497711292468011
