run,neuron_id,category,is_candidate,n_unc,n_ctrl,unc_mean,unc_dz,unc_p,unc_work_mean,unc_work_p,unc_held_mean,unc_held_p,ctrl_mean,ctrl_p,mean_abs_shift,interaction,interaction_t,interaction_p,slope,slope_p,slope_r,unc_p_fdr,ctrl_p_fdr,interaction_p_fdr,slope_p_fdr,unc_held_p_fdr
ablation_bf16_keyset_pooled,L29_N2286,contradictory_context,False,120,120,-0.00011918852105736449,-0.008530654567448266,0.9228038598070096,0.0004959704265708047,0.7117144142792861,-0.001554559398856426,0.6372681365931704,-0.0008459354983642801,0.5582720863956803,0.005869232707967322,0.0007267469773069156,0.3819491474616466,0.7091290870912909,0.004194802710211919,0.7930585535127017,0.024198120671849736,False,False,False,False,False
ablation_bf16_keyset_pooled,L29_N2286,lack_of_knowledge,False,120,120,-0.00022465288639068274,-0.014832000539796731,0.8716064196790161,0.0007932228701455282,0.6262186890655467,-0.0025996963183085083,0.3532323383830808,-4.0692960222561805e-05,0.9809509524523774,0.009126848975817316,-0.00018395992616812093,-0.08539345493400763,0.9287071292870713,0.0031528521029139094,0.8907096893837324,0.012675588647917006,False,False,False,False,False
ablation_bf16_keyset_pooled,L30_N13098,ambiguity,True,120,120,0.0006976635816196656,0.03411428030404464,0.7057647117644118,0.001475194069956034,0.5102744862756862,-0.0011165742244985276,0.7903104844757762,0.0013396371155977292,0.4737763111844408,0.008949106031407862,-0.0006419735339780636,-0.24468683491463897,0.8043195680431957,-0.00013071534223840675,0.994781343832432,-0.0006033937125476487,False,False,False,False,False
ablation_bf16_keyset_pooled,L30_N13098,contradictory_context,True,120,120,-0.0001882679450015263,-0.011353368135315034,0.9112044397780111,8.81863580573154e-05,0.9498525073746312,-0.000833327985472157,0.8716064196790161,-0.0020895848205933942,0.13789310534473276,0.005979581146190519,0.001901316875591868,0.932835391272092,0.36666333366663334,-0.022481304903973633,0.14254849382351725,-0.1346593070244498,False,False,False,False,False
ablation_bf16_keyset_pooled,L30_N13098,lack_of_knowledge,True,120,120,-0.0007035990556081073,-0.05200647983306468,0.5732713364331783,0.0006124306292761028,0.696265186740663,-0.0037743349870045973,0.05234738263086846,-0.0022807172810037873,0.2592870356482176,0.007567975918451896,0.0015771182253956802,0.681116540771935,0.5106489351064893,0.011302250546000713,0.4904928751482971,0.06354621743989607,False,False,False,False,False
ablation_bf16_keyset_pooled,L30_N4012,ambiguity,False,120,120,0.0010351204623778598,0.05629725770575215,0.5487225638718064,0.002894513663791465,0.12419379031048447,-0.003303463674253886,0.3334333283335833,0.002089713017145786,0.1561921903904805,0.00798804846902683,-0.0010545925547679263,-0.4759926504030875,0.6381361863813618,0.004832263958743858,0.8113152664080312,0.022020778358137268,False,False,False,False,False
ablation_bf16_keyset_pooled,L30_N4012,contradictory_context,False,120,120,0.00043120921278993346,0.0339468523605376,0.7102644867756612,0.0007264624748911175,0.5745712714364282,-0.0002577150654461622,0.9248537573121344,-0.00020036752102897023,0.8889055547222638,0.005141464341431808,0.0006315767338189037,0.35285999187147793,0.7415258474152585,-0.006991869334018123,0.5791172483102787,-0.05113673045407249,False,False,False,False,False
ablation_bf16_keyset_pooled,L30_N4012,lack_of_knowledge,False,120,120,-0.0008196691672007207,-0.07867837765333023,0.39988000599970003,-0.00048653000877016986,0.6945152742362882,-0.001596993870205339,0.2857857107144643,9.232924009362198e-05,0.96005199740013,0.005759207407633419,-0.0009119984072943427,-0.44799682748735337,0.6623337666233376,0.010557723679010509,0.568570306697181,0.05256226356031299,False,False,False,False,False
ablation_bf16_keyset_pooled,L31_N11541,ambiguity,True,120,120,-0.0027938817938168736,-0.10456996928503877,0.26028698565071745,-0.0012410503058206436,0.6892655367231638,-0.0064171552658080794,0.10659467026648668,-0.004130999557673925,0.18129093545322733,0.01510588129361466,0.0013371177638570515,0.3390040145593406,0.7352264773522648,0.0009590317807445316,0.3502145002616276,0.08602013306727907,False,False,False,False,False
ablation_bf16_keyset_pooled,L31_N11541,contradictory_context,True,120,120,-0.00041510028143723133,-0.01231064336818816,0.9073546322683865,-0.0025548851560978614,0.29148542572871355,0.004577731092770906,0.7223138843057847,-0.000857419186892605,0.7414129293535323,0.014273429786165515,0.0004423189054553737,0.11104578333402862,0.912008799120088,0.0022571542819154722,0.10668688064585598,0.14800717295712323,False,False,False,False,False
ablation_bf16_keyset_pooled,L31_N11541,lack_of_knowledge,True,120,120,-0.016674062609672538,-0.5656193992903844,4.999750012499375e-05,-0.01658742342676434,4.999750012499375e-05,-0.016876220703124993,0.005799710014499275,-0.0032420391527314863,0.05819709014549272,0.022313520312309217,-0.013432023456941052,-4.222351635876465,0.00019998000199980003,-0.008100449956410998,2.9497270395660096e-11,-0.5599429650833584,True,False,True,True,False
ablation_bf16_keyset_pooled,L31_N2477,ambiguity,True,120,120,0.0019807413841287274,0.08846887937456005,0.34048297585120746,0.0029665473848581214,0.2191890405479726,-0.0003194726175731968,0.9142542872856357,-0.0006311697264512299,0.7726113694315284,0.010989322947959061,0.0026119111105799573,0.889869972453078,0.3805619438056194,-0.00464938994331532,0.006924648864007779,-0.24530507450903047,False,False,False,False,False
ablation_bf16_keyset_pooled,L31_N2477,contradictory_context,True,120,120,-0.00020094271749257578,-0.011529572673655302,0.8996550172491375,0.000753299466201241,0.7222138893055348,-0.0024275078127781492,0.271886405679716,-0.0038288638888237365,0.06674666266686666,0.009054110199212987,0.0036279211713311607,1.3843591841088072,0.17048295170482952,-0.0004105898655333189,0.6712072774636222,-0.03914548480538987,False,False,False,False,False
ablation_bf16_keyset_pooled,L31_N2477,lack_of_knowledge,True,120,120,-0.0027357111374537095,-0.10077874638475477,0.27328633568321586,-0.0016745002496810154,0.5883705814709265,-0.005211869875589994,0.24678766061696916,0.002407590486109254,0.29903504824758764,0.015814692775408378,-0.005143301623562963,-1.5294754706070244,0.1284871512848715,-0.01018738597680992,2.65296033915664e-09,-0.5101447694209515,False,False,False,True,False
ablation_bf16_keyset_pooled,L31_N6772,ambiguity,True,120,120,0.00016190207873781394,0.009845972356102848,0.9154042297885105,0.0022015688231303517,0.1015949202539873,-0.004597320324844774,0.20208989550522474,-0.0006426746025681438,0.7290635468226588,0.006447379322101624,0.0008045766813059577,0.3452934973854718,0.7365263473652635,0.011915616373951474,0.329049205659825,0.08985915607023746,False,False,False,False,False
ablation_bf16_keyset_pooled,L31_N6772,contradictory_context,True,120,120,-0.004489722009748214,-0.2460295274673378,0.005949702514874256,-0.005480773347829061,0.015899205039748013,-0.0021772688875595736,0.19634018299085046,-0.0017782340835159017,0.2752862356882156,0.008923132872829793,-0.0027114879262323125,-1.1727754892560474,0.24337566243375663,0.004869179209094045,0.2380343757628904,0.10852840954386664,False,False,False,False,False
ablation_bf16_keyset_pooled,L31_N6772,lack_of_knowledge,True,120,120,-0.003994187712669367,-0.30999088226354105,0.0005499725013749313,-0.004174011094229556,0.005399730013499325,-0.0035745998223622602,0.0631968401579921,0.00036928793415427834,0.7723613819309034,0.007044787208239188,-0.004363475646823645,-2.635178139924786,0.005499450054994501,0.05626168070595146,0.0010954944970944704,0.29447723825902644,True,False,False,False,False
