cell,pair,set,direction,condition,lp_264,lp_279,lp_304,lp_358,lp_430,lp_539,lp_912,lp_7566,lp_9987,lp_10035,lp_25420
circuit,0,random6,control_to_uncertain,patched,-7.027817726135254,-5.527817726135254,-6.527817726135254,-4.777817726135254,-9.371567726135254,-1.465317964553833,-8.590317726135254,-13.676255226135254,-2.965317964553833,-12.121567726135254,-7.090317726135254
circuit,0,random7,control_to_uncertain,patched,-6.444969177246094,-5.382469177246094,-6.382469177246094,-5.069969177246094,-8.538719177246094,-1.8824690580368042,-8.038719177246094,-13.382469177246094,-4.194969177246094,-11.335594177246094,-8.257469177246094
circuit,0,random8,control_to_uncertain,patched,-6.857016086578369,-6.857016086578369,-8.357015609741211,-4.544516086578369,-9.482015609741211,-1.3570160865783691,-8.825765609741211,-13.341390609741211,-2.919516086578369,-12.669515609741211,-4.607016086578369
circuit,0,random9,control_to_uncertain,patched,-6.280767440795898,-5.030767440795898,-6.843267440795898,-4.468267440795898,-8.468267440795898,-1.718267560005188,-8.437017440795898,-13.452642440795898,-4.593267440795898,-12.140142440795898,-8.312017440795898
circuit,0,random10,control_to_uncertain,patched,-6.621181488037109,-5.089931488037109,-7.214931488037109,-3.7774312496185303,-8.18368148803711,-2.9649312496185303,-8.27743148803711,-13.25399398803711,-7.683681488037109,-12.02743148803711,-11.37118148803711
circuit,0,random11,control_to_uncertain,patched,-6.581869125366211,-5.144369125366211,-6.206869125366211,-4.081869125366211,-9.050619125366211,-1.6443690061569214,-8.519369125366211,-13.191244125366211,-4.394369125366211,-11.613119125366211,-8.519369125366211
circuit,0,random12,control_to_uncertain,patched,-6.639592170715332,-5.483342170715332,-6.264592170715332,-5.045842170715332,-8.795842170715332,-3.108342170715332,-8.514592170715332,-12.436467170715332,-6.295842170715332,-11.030217170715332,-11.233342170715332
circuit,0,random13,control_to_uncertain,patched,-5.890139579772949,-5.515139579772949,-7.483889579772949,-3.827639579772949,-8.45263957977295,-2.077639579772949,-8.10888957977295,-13.45263957977295,-5.140139579772949,-11.82763957977295,-8.48388957977295
circuit,0,random14,control_to_uncertain,patched,-5.890108108520508,-8.827608108520508,-8.140108108520508,-5.890108108520508,-10.265108108520508,-1.2651078701019287,-9.452608108520508,-13.968233108520508,-2.4526078701019287,-13.780733108520508,-4.265108108520508
circuit,0,random15,control_to_uncertain,patched,-6.7168426513671875,-5.7168426513671875,-6.3418426513671875,-4.5293426513671875,-9.279342651367188,-1.4668428897857666,-7.9980926513671875,-13.771530151367188,-3.9668428897857666,-12.388717651367188,-8.341842651367188
