pair,layer,direction,logodds_rec,entropy_rec
6,2,control_to_uncertain,1.0,1.0
6,3,control_to_uncertain,1.0,1.0
6,4,control_to_uncertain,1.0,1.0
6,5,control_to_uncertain,1.0,1.0
6,6,control_to_uncertain,1.0,1.0
6,7,control_to_uncertain,1.0,1.0
6,8,control_to_uncertain,1.0,1.0
6,9,control_to_uncertain,1.0,1.0
6,10,control_to_uncertain,1.0,1.0
6,11,control_to_uncertain,1.0,1.0
6,12,control_to_uncertain,1.0,1.0
6,13,control_to_uncertain,1.0,1.0
6,14,control_to_uncertain,1.0,1.0
6,15,control_to_uncertain,1.0,1.0
6,16,control_to_uncertain,1.0,1.0
6,17,control_to_uncertain,1.0,1.0
6,18,control_to_uncertain,1.0,1.0
6,19,control_to_uncertain,1.0,1.0
6,20,control_to_uncertain,1.0,1.0
6,21,control_to_uncertain,1.0,1.0
6,22,control_to_uncertain,1.0,1.0
6,23,control_to_uncertain,1.0,1.0
6,24,control_to_uncertain,1.0,1.0
6,25,control_to_uncertain,1.0,1.0
6,26,control_to_uncertain,1.0,1.0
6,27,control_to_uncertain,1.0,1.0
6,28,control_to_uncertain,1.0,1.0
6,29,control_to_uncertain,1.0,1.0
6,30,control_to_uncertain,1.0,1.0
6,31,control_to_uncertain,1.0,1.0
6,0,uncertain_to_control,1.0,1.0
6,1,uncertain_to_control,1.0,1.0
6,2,uncertain_to_control,1.0,1.0
6,3,uncertain_to_control,1.0,1.0
6,4,uncertain_to_control,1.0,1.0
6,5,uncertain_to_control,1.0,1.0
6,6,uncertain_to_control,1.0,1.0
6,7,uncertain_to_control,1.0,1.0
6,8,uncertain_to_control,1.0,1.0
6,9,uncertain_to_control,1.0,1.0
6,10,uncertain_to_control,1.0,1.0
6,11,uncertain_to_control,1.0,1.0
6,12,uncertain_to_control,1.0,1.0
6,13,uncertain_to_control,1.0,1.0
6,14,uncertain_to_control,1.0,1.0
6,15,uncertain_to_control,1.0,1.0
6,16,uncertain_to_control,1.0,1.0
6,17,uncertain_to_control,1.0,1.0
6,18,uncertain_to_control,1.0,1.0
6,19,uncertain_to_control,1.0,1.0
6,20,uncertain_to_control,1.0,1.0
6,21,uncertain_to_control,1.0,1.0
6,22,uncertain_to_control,1.0,1.0
6,23,uncertain_to_control,1.0,1.0
6,24,uncertain_to_control,1.0,1.0
6,25,uncertain_to_control,1.0,1.0
6,26,uncertain_to_control,1.0,1.0
6,27,uncertain_to_control,1.0,1.0
6,28,uncertain_to_control,1.0,1.0
6,29,uncertain_to_control,1.0,1.0
6,30,uncertain_to_control,1.0,1.0
6,31,uncertain_to_control,1.0,1.0
7,0,control_to_uncertain,1.0,1.0
7,1,control_to_uncertain,1.0,1.0
7,2,control_to_uncertain,1.0,1.0
7,3,control_to_uncertain,1.0,1.0
7,4,control_to_uncertain,1.0,1.0
7,5,control_to_uncertain,1.0,1.0
7,6,control_to_uncertain,1.0,1.0
7,7,control_to_uncertain,1.0,1.0
7,8,control_to_uncertain,1.0,1.0
7,9,control_to_uncertain,1.0,1.0
7,10,control_to_uncertain,1.0,1.0
7,11,control_to_uncertain,1.0,1.0
7,12,control_to_uncertain,1.0,1.0
7,13,control_to_uncertain,1.0,1.0
7,14,control_to_uncertain,1.0,1.0
7,15,control_to_uncertain,1.0,1.0
7,16,control_to_uncertain,1.0,1.0
7,17,control_to_uncertain,1.0,1.0
7,18,control_to_uncertain,1.0,1.0
7,19,control_to_uncertain,1.0,1.0
7,20,control_to_uncertain,1.0,1.0
7,21,control_to_uncertain,1.0,1.0
7,22,control_to_uncertain,1.0,1.0
7,23,control_to_uncertain,1.0,1.0
7,24,control_to_uncertain,1.0,1.0
7,25,control_to_uncertain,1.0,1.0
7,26,control_to_uncertain,1.0,1.0
7,27,control_to_uncertain,1.0,1.0
7,28,control_to_uncertain,1.0,1.0
7,29,control_to_uncertain,1.0,1.0
7,30,control_to_uncertain,1.0,1.0
7,31,control_to_uncertain,1.0,1.0
7,0,uncertain_to_control,1.0,1.0
7,1,uncertain_to_control,1.0,1.0
7,2,uncertain_to_control,1.0,1.0
7,3,uncertain_to_control,1.0,1.0
7,4,uncertain_to_control,1.0,1.0
7,5,uncertain_to_control,1.0,1.0
7,6,uncertain_to_control,1.0,1.0
7,7,uncertain_to_control,1.0,1.0
7,8,uncertain_to_control,1.0,1.0
7,9,uncertain_to_control,1.0,1.0
7,10,uncertain_to_control,1.0,1.0
7,11,uncertain_to_control,1.0,1.0
7,12,uncertain_to_control,1.0,1.0
7,13,uncertain_to_control,1.0,1.0
7,14,uncertain_to_control,1.0,1.0
7,15,uncertain_to_control,1.0,1.0
7,16,uncertain_to_control,1.0,1.0
7,17,uncertain_to_control,1.0,1.0
7,18,uncertain_to_control,1.0,1.0
7,19,uncertain_to_control,1.0,1.0
7,20,uncertain_to_control,1.0,1.0
7,21,uncertain_to_control,1.0,1.0
7,22,uncertain_to_control,1.0,1.0
7,23,uncertain_to_control,1.0,1.0
7,24,uncertain_to_control,1.0,1.0
7,25,uncertain_to_control,1.0,1.0
7,26,uncertain_to_control,1.0,1.0
7,27,uncertain_to_control,1.0,1.0
7,28,uncertain_to_control,1.0,1.0
7,29,uncertain_to_control,1.0,1.0
7,30,uncertain_to_control,1.0,1.0
7,31,uncertain_to_control,1.0,1.0
8,0,control_to_uncertain,1.0,1.0
8,1,control_to_uncertain,1.0,1.0
8,2,control_to_uncertain,1.0,1.0
8,3,control_to_uncertain,1.0,1.0
8,4,control_to_uncertain,1.0,1.0
8,5,control_to_uncertain,1.0,1.0
8,6,control_to_uncertain,1.0,1.0
8,7,control_to_uncertain,1.0,1.0
8,8,control_to_uncertain,1.0,1.0
8,9,control_to_uncertain,1.0,1.0
8,10,control_to_uncertain,1.0,1.0
8,11,control_to_uncertain,1.0,1.0
8,12,control_to_uncertain,1.0,1.0
8,13,control_to_uncertain,1.0,1.0
8,14,control_to_uncertain,1.0,1.0
8,15,control_to_uncertain,1.0,1.0
8,16,control_to_uncertain,1.0,1.0
8,17,control_to_uncertain,1.0,1.0
8,18,control_to_uncertain,1.0,1.0
8,19,control_to_uncertain,1.0,1.0
8,20,control_to_uncertain,1.0,1.0
8,21,control_to_uncertain,1.0,1.0
8,22,control_to_uncertain,1.0,1.0
8,23,control_to_uncertain,1.0,1.0
8,24,control_to_uncertain,1.0,1.0
8,25,control_to_uncertain,1.0,1.0
8,26,control_to_uncertain,1.0,1.0
8,27,control_to_uncertain,1.0,1.0
8,28,control_to_uncertain,1.0,1.0
8,29,control_to_uncertain,1.0,1.0
8,30,control_to_uncertain,1.0,1.0
8,31,control_to_uncertain,1.0,1.0
8,0,uncertain_to_control,1.0,1.0
8,1,uncertain_to_control,1.0,1.0
8,2,uncertain_to_control,1.0,1.0
8,3,uncertain_to_control,1.0,1.0
8,4,uncertain_to_control,1.0,1.0
8,5,uncertain_to_control,1.0,1.0
8,6,uncertain_to_control,1.0,1.0
8,7,uncertain_to_control,1.0,1.0
8,8,uncertain_to_control,1.0,1.0
8,9,uncertain_to_control,1.0,1.0
8,10,uncertain_to_control,1.0,1.0
8,11,uncertain_to_control,1.0,1.0
8,12,uncertain_to_control,1.0,1.0
8,13,uncertain_to_control,1.0,1.0
8,14,uncertain_to_control,1.0,1.0
8,15,uncertain_to_control,1.0,1.0
8,16,uncertain_to_control,1.0,1.0
8,17,uncertain_to_control,1.0,1.0
8,18,uncertain_to_control,1.0,1.0
8,19,uncertain_to_control,1.0,1.0
8,20,uncertain_to_control,1.0,1.0
8,21,uncertain_to_control,1.0,1.0
8,22,uncertain_to_control,1.0,1.0
8,23,uncertain_to_control,1.0,1.0
8,24,uncertain_to_control,1.0,1.0
8,25,uncertain_to_control,1.0,1.0
8,26,uncertain_to_control,1.0,1.0
8,27,uncertain_to_control,1.0,1.0
8,28,uncertain_to_control,1.0,1.0
8,29,uncertain_to_control,1.0,1.0
8,30,uncertain_to_control,1.0,1.0
8,31,uncertain_to_control,1.0,1.0
9,0,control_to_uncertain,1.0,1.0
9,1,control_to_uncertain,1.0,1.0
9,2,control_to_uncertain,1.0,1.0
9,3,control_to_uncertain,1.0,1.0
9,4,control_to_uncertain,1.0,1.0
9,5,control_to_uncertain,1.0,1.0
9,6,control_to_uncertain,1.0,1.0
9,7,control_to_uncertain,1.0,1.0
9,8,control_to_uncertain,1.0,1.0
9,9,control_to_uncertain,1.0,1.0
9,10,control_to_uncertain,1.0,1.0
9,11,control_to_uncertain,1.0,1.0
9,12,control_to_uncertain,1.0,1.0
9,13,control_to_uncertain,1.0,1.0
9,14,control_to_uncertain,1.0,1.0
9,15,control_to_uncertain,1.0,1.0
9,16,control_to_uncertain,1.0,1.0
9,17,control_to_uncertain,1.0,1.0
9,18,control_to_uncertain,1.0,1.0
9,19,control_to_uncertain,1.0,1.0
9,20,control_to_uncertain,1.0,1.0
9,21,control_to_uncertain,1.0,1.0
9,22,control_to_uncertain,1.0,1.0
9,23,control_to_uncertain,1.0,1.0
9,24,control_to_uncertain,1.0,1.0
9,25,control_to_uncertain,1.0,1.0
9,26,control_to_uncertain,1.0,1.0
9,27,control_to_uncertain,1.0,1.0
9,28,control_to_uncertain,1.0,1.0
9,29,control_to_uncertain,1.0,1.0
9,30,control_to_uncertain,1.0,1.0
9,31,control_to_uncertain,1.0,1.0
9,0,uncertain_to_control,1.0,1.0
9,1,uncertain_to_control,1.0,1.0
9,2,uncertain_to_control,1.0,1.0
9,3,uncertain_to_control,1.0,1.0
9,4,uncertain_to_control,1.0,1.0
9,5,uncertain_to_control,1.0,1.0
9,6,uncertain_to_control,1.0,1.0
9,7,uncertain_to_control,1.0,1.0
9,8,uncertain_to_control,1.0,1.0
9,9,uncertain_to_control,1.0,1.0
9,10,uncertain_to_control,1.0,1.0
9,11,uncertain_to_control,1.0,1.0
9,12,uncertain_to_control,1.0,1.0
9,13,uncertain_to_control,1.0,1.0
9,14,uncertain_to_control,1.0,1.0
9,15,uncertain_to_control,1.0,1.0
9,16,uncertain_to_control,1.0,1.0
9,17,uncertain_to_control,1.0,1.0
9,18,uncertain_to_control,1.0,1.0
9,19,uncertain_to_control,1.0,1.0
9,20,uncertain_to_control,1.0,1.0
9,21,uncertain_to_control,1.0,1.0
9,22,uncertain_to_control,1.0,1.0
9,23,uncertain_to_control,1.0,1.0
9,24,uncertain_to_control,1.0,1.0
9,25,uncertain_to_control,1.0,1.0
9,26,uncertain_to_control,1.0,1.0
9,27,uncertain_to_control,1.0,1.0
9,28,uncertain_to_control,1.0,1.0
9,29,uncertain_to_control,1.0,1.0
9,30,uncertain_to_control,1.0,1.0
9,31,uncertain_to_control,1.0,1.0
10,0,control_to_uncertain,1.0,1.0
10,1,control_to_uncertain,1.0,1.0
10,2,control_to_uncertain,1.0,1.0
10,3,control_to_uncertain,1.0,1.0
10,4,control_to_uncertain,1.0,1.0
10,5,control_to_uncertain,1.0,1.0
10,6,control_to_uncertain,1.0,1.0
10,7,control_to_uncertain,1.0,1.0
10,8,control_to_uncertain,1.0,1.0
10,9,control_to_uncertain,1.0,1.0
