neuron_id,layer,neuron,score_last,score_all,abs_all
L20_N7654,20,7654,-0.003801052924245596,-0.03264222294092178,0.03264222294092178
L19_N5781,19,5781,-4.727561099571176e-05,-0.032317474484443665,0.032317474484443665
L19_N11933,19,11933,0.004457502160221338,0.03223581984639168,0.03223581984639168
L19_N8664,19,8664,-0.012507322244346142,-0.032211851328611374,0.032211851328611374
L13_N1358,13,1358,0.002812683582305908,-0.03199631720781326,0.03199631720781326
L14_N1441,14,1441,0.0021438910625874996,0.031960804015398026,0.031960804015398026
L16_N2874,16,2874,0.0282647255808115,0.031928859651088715,0.031928859651088715
L18_N7317,18,7317,-0.017129939049482346,-0.03182889148592949,0.03182889148592949
L24_N10851,24,10851,-0.02483845129609108,-0.03180979937314987,0.03180979937314987
L19_N7006,19,7006,-0.0059274425730109215,-0.031716976314783096,0.031716976314783096
L16_N4864,16,4864,0.001789003610610962,0.03158344700932503,0.03158344700932503
L17_N10046,17,10046,0.004195322282612324,0.03151654452085495,0.03151654452085495
L17_N2856,17,2856,0.008828836493194103,0.03147776052355766,0.03147776052355766
L18_N12559,18,12559,-0.004738315008580685,-0.031358011066913605,0.031358011066913605
L13_N6025,13,6025,-0.0023281252942979336,-0.03117556869983673,0.03117556869983673
L15_N11411,15,11411,0.02996821701526642,0.03113231062889099,0.03113231062889099
L17_N5027,17,5027,-0.009630421176552773,-0.03102298453450203,0.03102298453450203
L12_N6801,12,6801,-0.00024343281984329224,-0.03099946118891239,0.03099946118891239
L20_N2771,20,2771,-0.002033683005720377,-0.030950237065553665,0.030950237065553665
L15_N5685,15,5685,0.001722646295093,0.030946463346481323,0.030946463346481323
L15_N1681,15,1681,0.0005781229119747877,0.03094550035893917,0.03094550035893917
L14_N13493,14,13493,0.0024927076883614063,-0.030881572514772415,0.030881572514772415
L15_N12980,15,12980,0.027402479201555252,0.030599486082792282,0.030599486082792282
L22_N13052,22,13052,0.012834841385483742,0.030570978298783302,0.030570978298783302
L22_N11622,22,11622,0.0035685524344444275,0.03054063394665718,0.03054063394665718
L17_N7829,17,7829,0.006091889925301075,0.030384596437215805,0.030384596437215805
L17_N13707,17,13707,-0.0008217550930567086,0.030368128791451454,0.030368128791451454
L17_N5545,17,5545,0.0013734860112890601,0.030195320025086403,0.030195320025086403
L12_N3735,12,3735,0.0059193214401602745,0.030118759721517563,0.030118759721517563
L15_N6763,15,6763,0.0008274585707113147,0.030107464641332626,0.030107464641332626
L17_N11751,17,11751,-0.010374965146183968,-0.030084138736128807,0.030084138736128807
L17_N5585,17,5585,-0.004188050050288439,-0.030014827847480774,0.030014827847480774
L14_N7055,14,7055,0.00553766917437315,0.029927268624305725,0.029927268624305725
L26_N7711,26,7711,0.0009032880770973861,0.02991642989218235,0.02991642989218235
L18_N3419,18,3419,0.0038427698891609907,0.029876504093408585,0.029876504093408585
L15_N4806,15,4806,0.020353948697447777,0.029874514788389206,0.029874514788389206
L13_N8812,13,8812,0.002808138495311141,0.029855718836188316,0.029855718836188316
L14_N8124,14,8124,0.006330339703708887,0.02983025088906288,0.02983025088906288
L22_N1627,22,1627,0.021911146119236946,0.029688391834497452,0.029688391834497452
L15_N1015,15,1015,0.001877731061540544,0.02960294857621193,0.02960294857621193
L12_N11628,12,11628,0.0027629914693534374,-0.02941952645778656,0.02941952645778656
L20_N5240,20,5240,-0.013151573948562145,-0.029082249850034714,0.029082249850034714
L16_N12533,16,12533,0.00031404136097989976,-0.028943484649062157,0.028943484649062157
L14_N5063,14,5063,-0.005126151256263256,-0.02893299236893654,0.02893299236893654
L12_N2091,12,2091,0.00455215061083436,0.0289329644292593,0.0289329644292593
L14_N14019,14,14019,0.0030441239941865206,-0.02888999879360199,0.02888999879360199
