pair,uncertain_id,split,layer,group,n_pos,direction,logodds_rec,entropy_rec
0,fam_0000_u,working,18,suffix-1,1,uncertain_to_control,-1.0,0.2000471180824246
0,fam_0000_u,working,19,suffix-1,1,control_to_uncertain,1.2908563325039686,-0.07918923666332765
0,fam_0000_u,working,19,suffix-1,1,uncertain_to_control,-1.0,0.19174003399148315
0,fam_0000_u,working,20,suffix-1,1,control_to_uncertain,2.0,-0.042233141933431764
0,fam_0000_u,working,20,suffix-1,1,uncertain_to_control,-1.0,0.1405106911759819
0,fam_0000_u,working,21,suffix-1,1,control_to_uncertain,2.0,-0.03619695358453483
0,fam_0000_u,working,21,suffix-1,1,uncertain_to_control,-1.0,0.20482969246253105
0,fam_0000_u,working,22,suffix-1,1,control_to_uncertain,1.8724444330881438,-0.0597111910786599
0,fam_0000_u,working,22,suffix-1,1,uncertain_to_control,-1.0,0.19841920020318932
0,fam_0000_u,working,23,suffix-1,1,control_to_uncertain,1.9423857600505923,0.015187125251019506
0,fam_0000_u,working,23,suffix-1,1,uncertain_to_control,-1.0,0.10006272520544433
0,fam_0000_u,working,24,suffix-1,1,control_to_uncertain,1.9961321149442175,0.015120513100488508
0,fam_0000_u,working,24,suffix-1,1,uncertain_to_control,-1.0,0.17035834963278754
0,fam_0000_u,working,25,suffix-1,1,control_to_uncertain,-1.0,-0.09477380946729269
0,fam_0000_u,working,25,suffix-1,1,uncertain_to_control,-1.0,0.05102045660626374
0,fam_0000_u,working,26,suffix-1,1,control_to_uncertain,-0.45364127362332357,-0.05778403777042456
0,fam_0000_u,working,26,suffix-1,1,uncertain_to_control,-1.0,0.07009645558082235
0,fam_0000_u,working,27,suffix-1,1,control_to_uncertain,0.17441893890274712,-0.023110113890458174
0,fam_0000_u,working,27,suffix-1,1,uncertain_to_control,-1.0,0.07244412590616262
0,fam_0000_u,working,28,suffix-1,1,control_to_uncertain,0.032457017288903225,0.011205083530746627
0,fam_0000_u,working,28,suffix-1,1,uncertain_to_control,-1.0,0.0954280624379869
0,fam_0000_u,working,29,suffix-1,1,control_to_uncertain,0.18036130070810083,0.03304289051039446
0,fam_0000_u,working,29,suffix-1,1,uncertain_to_control,-1.0,0.03252609000621911
0,fam_0000_u,working,30,suffix-1,1,control_to_uncertain,0.29244053645745166,0.05190406900840767
0,fam_0000_u,working,30,suffix-1,1,uncertain_to_control,-1.0,0.05543762847688721
0,fam_0000_u,working,31,suffix-1,1,control_to_uncertain,0.0,-0.0
0,fam_0000_u,working,31,suffix-1,1,uncertain_to_control,-0.0,0.0
0,fam_0000_u,working,0,suffix-2,1,control_to_uncertain,-0.0011290647128151241,0.007382970314421219
0,fam_0000_u,working,0,suffix-2,1,uncertain_to_control,0.36479489988533687,0.011479395037053565
0,fam_0000_u,working,1,suffix-2,1,control_to_uncertain,0.31857670773034036,0.0393195650419434
0,fam_0000_u,working,1,suffix-2,1,uncertain_to_control,0.368683545678413,-0.04197782008251005
0,fam_0000_u,working,2,suffix-2,1,control_to_uncertain,0.2608730369125909,0.027230869109052844
0,fam_0000_u,working,2,suffix-2,1,uncertain_to_control,0.6147350131431437,-0.035561690269225836
0,fam_0000_u,working,3,suffix-2,1,control_to_uncertain,-0.6020246509800665,0.022529445834381722
0,fam_0000_u,working,3,suffix-2,1,uncertain_to_control,0.02122066747367379,-0.044983378117270614
0,fam_0000_u,working,4,suffix-2,1,control_to_uncertain,0.1256280123031323,0.047567603173171415
0,fam_0000_u,working,4,suffix-2,1,uncertain_to_control,0.346474347713604,0.02393868596332148
0,fam_0000_u,working,5,suffix-2,1,control_to_uncertain,-0.18691370879392893,0.029266471152339765
0,fam_0000_u,working,5,suffix-2,1,uncertain_to_control,0.6042220951736077,-0.026650349409659088
0,fam_0000_u,working,6,suffix-2,1,control_to_uncertain,-0.6424298366928465,0.029857672532887708
0,fam_0000_u,working,6,suffix-2,1,uncertain_to_control,0.47167277245273737,-0.03170278459559155
0,fam_0000_u,working,7,suffix-2,1,control_to_uncertain,-0.23124267385520503,0.03911127225943667
0,fam_0000_u,working,7,suffix-2,1,uncertain_to_control,0.5148407332053621,-0.03317470542297084
0,fam_0000_u,working,8,suffix-2,1,control_to_uncertain,-0.4975677997770616,0.027479811622618578
0,fam_0000_u,working,8,suffix-2,1,uncertain_to_control,-0.41432682510835506,-0.027644190827046965
0,fam_0000_u,working,9,suffix-2,1,control_to_uncertain,-0.04347937181202909,0.024585966169928933
0,fam_0000_u,working,9,suffix-2,1,uncertain_to_control,0.4759271266181398,0.014110574983027995
0,fam_0000_u,working,10,suffix-2,1,control_to_uncertain,0.37153096064722396,0.040604630627465686
0,fam_0000_u,working,10,suffix-2,1,uncertain_to_control,0.49823533733004144,-0.04178762681529237
0,fam_0000_u,working,11,suffix-2,1,control_to_uncertain,1.2806723923715468,0.0024554514553197146
0,fam_0000_u,working,11,suffix-2,1,uncertain_to_control,0.0937219530424062,-0.0006058886921349594
0,fam_0000_u,working,12,suffix-2,1,control_to_uncertain,0.5069947714881616,-0.043800530286126634
0,fam_0000_u,working,12,suffix-2,1,uncertain_to_control,0.38626948714590964,-0.00485200530760868
0,fam_0000_u,working,13,suffix-2,1,control_to_uncertain,0.46465883720707396,0.018319973319534184
0,fam_0000_u,working,13,suffix-2,1,uncertain_to_control,-0.043286137257219144,-0.06050853406981547
0,fam_0000_u,working,14,suffix-2,1,control_to_uncertain,-0.6737034919560128,-0.01884159541589719
0,fam_0000_u,working,14,suffix-2,1,uncertain_to_control,-0.8826986403314052,-0.043549659135685835
0,fam_0000_u,working,15,suffix-2,1,control_to_uncertain,-0.27938362967955005,-0.06063485978513205
0,fam_0000_u,working,15,suffix-2,1,uncertain_to_control,-1.0,0.01964895248313481
0,fam_0000_u,working,16,suffix-2,1,control_to_uncertain,-0.6910019770609823,-0.05525069905668887
0,fam_0000_u,working,16,suffix-2,1,uncertain_to_control,-1.0,-0.013212052734273005
0,fam_0000_u,working,17,suffix-2,1,control_to_uncertain,-0.6866885346432826,-0.042995546925812166
0,fam_0000_u,working,17,suffix-2,1,uncertain_to_control,-1.0,-0.062341703419562196
0,fam_0000_u,working,18,suffix-2,1,control_to_uncertain,-1.0,-0.07139427984105659
0,fam_0000_u,working,18,suffix-2,1,uncertain_to_control,-1.0,-0.06490204304954876
0,fam_0000_u,working,19,suffix-2,1,control_to_uncertain,-0.9906065648645282,-0.07132929961403525
0,fam_0000_u,working,19,suffix-2,1,uncertain_to_control,-1.0,-0.007952659975978086
0,fam_0000_u,working,20,suffix-2,1,control_to_uncertain,-1.0,-0.0742848614467269
0,fam_0000_u,working,20,suffix-2,1,uncertain_to_control,-1.0,-0.059628556406397616
0,fam_0000_u,working,21,suffix-2,1,control_to_uncertain,-0.98738385964464,-0.038178405438637306
0,fam_0000_u,working,21,suffix-2,1,uncertain_to_control,-1.0,-0.05642449713018833
0,fam_0000_u,working,22,suffix-2,1,control_to_uncertain,-0.46853470716181556,-0.03497983535968781
0,fam_0000_u,working,22,suffix-2,1,uncertain_to_control,-1.0,-0.052263092180534654
0,fam_0000_u,working,23,suffix-2,1,control_to_uncertain,-0.20091922156817027,-0.005258205904833342
