layer,direction,logodds_rec_mean,ci_lo,ci_hi,entropy_rec_mean,entropy_ci_lo,entropy_ci_hi,n_pairs
9,uncertain_to_control,0.9905248557138704,0.9381199413470798,1.0279598998754838,0.9974238917266685,0.9465506652260622,1.0483880923379905,60
10,uncertain_to_control,0.9979646940375801,0.967482403941087,1.024729689961553,0.9916573601773467,0.9429513590235976,1.0423123730654211,60
11,uncertain_to_control,1.0096755129480732,0.9901327644150314,1.0308020542484664,0.9869498864530141,0.9408608908525924,1.0353342142425614,60
12,uncertain_to_control,1.0072589317406035,0.9874620216345162,1.0260920526200237,0.9807397985452604,0.9371589421556691,1.029390156376701,60
13,uncertain_to_control,0.9994582499825994,0.975958238396551,1.0192966350474417,0.9912717938851962,0.949961864985032,1.037982649241281,60
14,uncertain_to_control,0.9996126153345574,0.9782251001931759,1.0185856710004946,0.9858726946326473,0.9414367638096685,1.034983378752893,60
15,uncertain_to_control,0.9937994768969377,0.9717005879631894,1.0139122516427241,0.9940531941981988,0.9539767361922378,1.0405226236545895,60
16,uncertain_to_control,1.0004388832458213,0.9811756007679162,1.020434715573546,1.012180669510518,0.978195101707947,1.0552059313216047,60
17,uncertain_to_control,1.0009755922403367,0.9833102411184577,1.0198762379431794,1.0173456669445913,0.9828443208506463,1.0597571918390087,60
18,uncertain_to_control,0.9984481180118875,0.983367779762148,1.0123105066811173,1.0053840004800294,0.973371713164949,1.0424948131078067,60
19,uncertain_to_control,0.9973440249393334,0.9863612191203616,1.0062916432023015,1.0031602122074998,0.9747447822326948,1.037750465611221,60
20,uncertain_to_control,0.9987790822309115,0.9894504912677701,1.005687426370135,1.01440976765399,0.9818906956702088,1.0568660756621586,60
21,uncertain_to_control,0.9990445123766278,0.9919459190033473,1.0048441420197718,1.007287805530671,0.9774835288390976,1.0462316538040473,60
22,uncertain_to_control,0.9986108806993033,0.9922657961016198,1.0043066165113215,0.9884587975849268,0.9616274181918908,1.0125250683074454,60
23,uncertain_to_control,0.9998678648586996,0.9942014538453037,1.0053904132438416,0.9913626408144719,0.9691773261479621,1.0122515185657646,60
24,uncertain_to_control,0.9987036720884671,0.9950547509112248,1.0018008900631448,0.9878641975151815,0.9751442484526311,0.997854372851057,60
25,uncertain_to_control,0.9978375402088467,0.9932145286710633,1.0011904502838183,0.9903488065359418,0.9763750961880008,1.000254437290224,60
26,uncertain_to_control,0.9993802041695231,0.9951182656641303,1.0031935890420298,0.9914490259433858,0.97781835223349,1.0015374661843666,60
27,uncertain_to_control,1.0024195754653495,1.0000506236303621,1.0050945905503341,0.9896322614343567,0.977064977997641,0.9993749976916332,60
28,uncertain_to_control,0.9999770971170943,0.9982184631010032,1.0017703915903404,0.9904903878460009,0.9785323862072555,0.9994681334119054,60
29,uncertain_to_control,1.001426614252315,0.999262132201254,1.0036458262775978,0.988797603945311,0.9765566252583223,0.9979010139546911,60
30,uncertain_to_control,0.9994498007684572,0.9976540981283002,1.0011737631127464,1.0020457342854985,0.9982256855974461,1.0072405822090513,60
