pair,layer,positions,rec
6,9,all,0.03859869159311883
6,10,last,0.07031287998216268
6,10,all,-0.056297547072680615
6,11,last,0.01587093153779386
6,11,all,0.19302806221931984
6,12,last,-0.05810646918242787
6,12,all,-0.07184435791153479
6,13,last,0.01034623604215199
6,13,all,-0.09162679042147284
6,14,last,-0.13029229350194874
6,14,all,-0.165172683942528
6,15,last,0.02772328067850138
6,15,all,0.1524097286590686
6,16,last,-0.011788806317115473
6,16,all,-0.0653168799549674
6,17,last,-0.1291261214349556
6,17,all,0.0074828865839918456
6,18,last,0.010935379999159736
6,18,all,0.13664389555686612
6,19,last,-0.06568005029035322
6,19,all,0.24299765057165007
6,20,last,-0.29227432578797896
6,20,all,-0.2583781953803234
6,21,last,0.0650085360064669
6,21,all,0.36642993405666974
6,22,last,0.014515656376448258
6,22,all,0.022386947380091903
6,23,last,0.06664051445106758
6,23,all,0.19132360660350273
6,24,last,0.14415465294722773
6,24,all,0.2699687899267279
6,25,last,0.0920525883545965
6,25,all,0.11103851287827374
6,26,last,0.029638194658602453
6,26,all,-0.09883179700325419
6,27,last,0.09726532258050458
6,27,all,-0.03248973334502498
6,28,last,-0.06896327050467646
6,28,all,0.10828228842723929
6,29,last,0.111587517644247
6,29,all,0.10502430229718203
6,30,last,-0.17707833409369717
6,30,all,-0.08041732207007005
6,31,last,0.5222138825292798
6,31,all,0.5222138825292798
7,0,last,0.002724786092359892
7,0,all,0.6992042921743333
7,1,last,-7.481389755238085e-05
7,1,all,-0.14626477612842761
7,2,last,-0.0038119023616483855
7,2,all,0.8264050548719654
7,3,last,0.00027884482431318156
7,3,all,0.5480685046689243
7,4,last,-0.025551388655921395
7,4,all,0.3064408959722602
7,5,last,-0.005585643957362063
7,5,all,0.23249673235915153
7,6,last,-0.0012019076444047619
7,6,all,-0.10425369057596061
7,7,last,-0.016636871552390166
7,7,all,0.12939438290607053
7,8,last,-0.046809815194582376
7,8,all,-0.06363202059369547
7,9,last,-0.02540651825737894
7,9,all,-0.06530677764803215
7,10,last,-0.053140682303768776
7,10,all,-0.11164489441572188
7,11,last,0.09361773766150018
7,11,all,0.10302265027196195
7,12,last,0.08743910724230756
7,12,all,0.09865339076789854
7,13,last,0.03706546489714023
7,13,all,-0.1577877533051501
7,14,last,0.09059474465236654
7,14,all,-0.10420181960699096
7,15,last,0.037687635173366436
7,15,all,-0.01836365304010173
7,16,last,-0.06137138759497081
7,16,all,-0.16493044711803312
7,17,last,-0.1176556347755867
7,17,all,-0.07711371512924235
7,18,last,-0.04965852379417006
7,18,all,-0.011850879455909343
7,19,last,-0.02574879503585619
7,19,all,-0.11058471114955223
7,20,last,0.0343637751977683
7,20,all,-0.009471516162334034
7,21,last,0.05293486095894689
7,21,all,0.17296698157051074
7,22,last,-0.024071863902445336
7,22,all,-0.10505150086397902
7,23,last,-0.025037820023800283
7,23,all,-0.022206708676012956
7,24,last,0.0129969516342092
7,24,all,0.052251918778247364
7,25,last,-0.0449726672221055
7,25,all,0.0007576537686484191
7,26,last,-0.06362475661184765
7,26,all,-0.08425139577155431
7,27,last,0.017892517316028277
7,27,all,-0.0731447163714344
7,28,last,-0.06738228141924087
7,28,all,-0.08990113669550313
7,29,last,0.035969959240365515
7,29,all,0.05868703937339051
7,30,last,-0.12014625976295785
7,30,all,-0.11233052222351303
7,31,last,0.21916539457463427
7,31,all,0.21916539457463427
8,0,last,-0.004078911258907539
8,0,all,0.9666392895532817
8,1,last,0.003354761343780368
8,1,all,0.0808436193497867
8,2,last,-0.003767727412925124
8,2,all,-0.04251924036798581
8,3,last,0.0034088260658833042
8,3,all,0.3196574710829535
8,4,last,0.00319302055040324
8,4,all,0.6387467242034698
8,5,last,0.012644599400385962
8,5,all,0.14549499610878514
8,6,last,0.005239120926886956
8,6,all,-0.06454837609608219
8,7,last,-0.003677506199520643
8,7,all,-0.044599797087277265
8,8,last,0.008812067994038712
8,8,all,0.17115618740000116
8,9,last,0.006361417283454566
8,9,all,0.18821462731257385
8,10,last,0.02453521127957851
8,10,all,0.0022673180313357204
8,11,last,0.05082735601265307
8,11,all,-0.04587213154842299
8,12,last,-0.040776361475371864
8,12,all,-0.0680969543681561
8,13,last,0.01511871216018459
8,13,all,0.07739274294449001
8,14,last,-0.05578991945121473
8,14,all,-0.010854598058685442
8,15,last,-0.08443365290930119
8,15,all,0.0964741612140307
8,16,last,0.019274271780354416
8,16,all,0.027310136979547355
8,17,last,-0.01019151181029403
8,17,all,0.12809581810224607
8,18,last,0.05809364899612607
8,18,all,0.06277540457512794
8,19,last,0.020810950996478284
8,19,all,0.0351215825775583
8,20,last,-0.030726868735926845
8,20,all,0.031562208362548735
8,21,last,0.061339090791754904
8,21,all,0.09650082520957518
8,22,last,-0.1282453744980843
8,22,all,-0.11318245554430467
