neuron_id,layer,neuron,score_last,score_all,abs_all
L12_N7131,12,7131,-0.00014303976786322892,0.010467861779034138,0.010467861779034138
L15_N3505,15,3505,0.0002932360512204468,-0.010467694140970707,0.010467694140970707
L12_N12515,12,12515,0.00036972929956391454,0.010466283187270164,0.010466283187270164
L17_N6528,17,6528,0.0011122777359560132,0.010465806350111961,0.010465806350111961
L16_N11498,16,11498,0.000245770497713238,0.010462887585163116,0.010462887585163116
L24_N1111,24,1111,-0.006595397833734751,-0.010458778589963913,0.010458778589963913
L24_N8540,24,8540,-0.010862619616091251,-0.010457850992679596,0.010457850992679596
L20_N7526,20,7526,0.0012493812246248126,-0.010452093556523323,0.010452093556523323
L12_N1395,12,1395,0.0009183030342683196,0.010437763296067715,0.010437763296067715
L21_N8730,21,8730,-0.0008881231769919395,-0.01043444313108921,0.01043444313108921
L21_N4397,21,4397,-0.012681524269282818,-0.010430103167891502,0.010430103167891502
L18_N14196,18,14196,0.0012371196644380689,-0.010421897284686565,0.010421897284686565
L16_N8004,16,8004,-0.0015856109093874693,-0.010415217839181423,0.010415217839181423
L12_N4240,12,4240,-0.0031633377075195312,-0.010414103046059608,0.010414103046059608
L13_N425,13,425,0.0034835394471883774,0.010413105599582195,0.010413105599582195
L18_N1519,18,1519,-8.364264067495242e-05,-0.010412592440843582,0.010412592440843582
L14_N3617,14,3617,-0.0025338337291032076,-0.010411127470433712,0.010411127470433712
L23_N10942,23,10942,0.006799505557864904,0.0104082515463233,0.0104082515463233
L18_N1724,18,1724,-0.0004374108393676579,0.010405702516436577,0.010405702516436577
L13_N7932,13,7932,0.0035515702329576015,0.010402828454971313,0.010402828454971313
L16_N5619,16,5619,-0.008101173676550388,-0.010395837016403675,0.010395837016403675
L18_N12326,18,12326,-0.000849261530674994,-0.010392317548394203,0.010392317548394203
L14_N8378,14,8378,-0.005567849613726139,-0.010389703325927258,0.010389703325927258
L14_N990,14,990,0.006747364066541195,0.01038644090294838,0.01038644090294838
L20_N3338,20,3338,0.00036806915886700153,0.010383037850260735,0.010383037850260735
L19_N13471,19,13471,-0.0044813938438892365,-0.010378481820225716,0.010378481820225716
L15_N5917,15,5917,0.008198121562600136,0.010377802886068821,0.010377802886068821
L16_N2410,16,2410,-0.00046029576333239675,-0.010371817275881767,0.010371817275881767
L20_N4174,20,4174,0.002467500511556864,0.01036510057747364,0.01036510057747364
L13_N10017,13,10017,-0.0007047258550301194,0.01036195270717144,0.01036195270717144
L13_N468,13,468,0.0014102250570431352,0.010361816734075546,0.010361816734075546
L24_N13507,24,13507,0.002853187033906579,0.010359110310673714,0.010359110310673714
L17_N11302,17,11302,-0.0014432035386562347,-0.010358018800616264,0.010358018800616264
L12_N2971,12,2971,-1.0082335393235553e-05,-0.010356852784752846,0.010356852784752846
L19_N4154,19,4154,-0.006448839791119099,-0.01035608071833849,0.01035608071833849
L19_N6544,19,6544,0.009820418432354927,0.01035463996231556,0.01035463996231556
L18_N12708,18,12708,-0.00955057330429554,-0.010351910255849361,0.010351910255849361
L19_N10127,19,10127,0.007492810487747192,0.01035182736814022,0.01035182736814022
L25_N3313,25,3313,-0.008067596703767776,-0.010350758209824562,0.010350758209824562
L12_N13833,12,13833,-0.010627364739775658,-0.01034226082265377,0.01034226082265377
