pair,arm,layer,group,pos,rank_unknown
1,control,13,readout,47,1318
1,control,14,entity,35,4650
1,control,14,entity,36,73561
1,control,14,entity,37,8150
1,control,14,readout,47,272
1,control,15,entity,35,5722
1,control,15,entity,36,105248
1,control,15,entity,37,6804
1,control,15,readout,47,241
1,control,16,entity,35,14699
1,control,16,entity,36,73934
1,control,16,entity,37,4886
1,control,16,readout,47,81
1,control,17,entity,35,10348
1,control,17,entity,36,95101
1,control,17,entity,37,4160
1,control,17,readout,47,17
1,control,18,entity,35,12163
1,control,18,entity,36,54656
1,control,18,entity,37,10942
1,control,18,readout,47,29
1,control,19,entity,35,15380
1,control,19,entity,36,40983
1,control,19,entity,37,13773
1,control,19,readout,47,1
1,control,20,entity,35,21443
1,control,20,entity,36,54683
1,control,20,entity,37,18795
1,control,20,readout,47,2
1,control,21,entity,35,20813
1,control,21,entity,36,58950
1,control,21,entity,37,18873
1,control,21,readout,47,2
1,control,22,entity,35,20507
1,control,22,entity,36,53542
1,control,22,entity,37,9263
1,control,22,readout,47,1
1,control,23,entity,35,13600
1,control,23,entity,36,34530
1,control,23,entity,37,7408
1,control,23,readout,47,2
1,control,24,entity,35,20386
1,control,24,entity,36,31466
1,control,24,entity,37,30236
1,control,24,readout,47,9
1,control,25,entity,35,13402
1,control,25,entity,36,19231
1,control,25,entity,37,19667
1,control,25,readout,47,4
1,control,26,entity,35,13634
1,control,26,entity,36,17371
1,control,26,entity,37,14206
1,control,26,readout,47,4
1,control,27,entity,35,6263
1,control,27,entity,36,17283
1,control,27,entity,37,5799
1,control,27,readout,47,3
1,control,28,entity,35,6135
1,control,28,entity,36,10709
1,control,28,entity,37,2941
1,control,28,readout,47,2
1,control,29,entity,35,7650
1,control,29,entity,36,9874
1,control,29,entity,37,2414
1,control,29,readout,47,7
1,control,30,entity,35,5627
1,control,30,entity,36,7771
1,control,30,entity,37,7269
1,control,30,readout,47,12
2,uncertain,0,entity,35,57701
2,uncertain,0,readout,45,16659
2,uncertain,1,entity,35,58508
2,uncertain,1,readout,45,14563
2,uncertain,2,entity,35,19367
2,uncertain,2,readout,45,348
2,uncertain,3,entity,35,42882
2,uncertain,3,readout,45,1117
2,uncertain,4,entity,35,16305
2,uncertain,4,readout,45,586
2,uncertain,5,entity,35,13383
2,uncertain,5,readout,45,463
2,uncertain,6,entity,35,38833
2,uncertain,6,readout,45,329
2,uncertain,7,entity,35,6489
2,uncertain,7,readout,45,699
2,uncertain,8,entity,35,519
2,uncertain,8,readout,45,702
2,uncertain,9,entity,35,468
2,uncertain,9,readout,45,157
2,uncertain,10,entity,35,305
2,uncertain,10,readout,45,179
2,uncertain,11,entity,35,635
2,uncertain,11,readout,45,400
2,uncertain,12,entity,35,450
2,uncertain,12,readout,45,497
2,uncertain,13,entity,35,2549
2,uncertain,13,readout,45,1087
