pair,alpha,layer,rankunknown,rankI,ranknot
5,3.0,20,8030,55402,73995
5,3.0,21,4470,45530,84262
5,3.0,22,10403,36495,96524
5,3.0,23,2250,45358,76845
5,3.0,24,5947,43773,73393
5,3.0,25,1830,46281,51260
5,3.0,26,792,32660,47658
5,3.0,27,803,21052,30683
5,3.0,28,509,28840,15754
5,3.0,29,1319,16357,9205
5,3.0,30,655,1535,584
6,-3.0,16,117516,119603,36224
6,-3.0,17,110255,122650,23116
6,-3.0,18,94294,124450,23237
6,-3.0,19,51223,105495,5236
6,-3.0,20,32824,107399,2015
6,-3.0,21,8954,91273,2319
6,-3.0,22,19762,104362,4541
6,-3.0,23,4929,109462,3043
6,-3.0,24,3315,112989,3682
6,-3.0,25,2037,116260,2269
6,-3.0,26,2217,121556,3556
6,-3.0,27,444,82612,673
6,-3.0,28,365,58783,381
6,-3.0,29,381,13330,181
6,-3.0,30,331,737,32
6,0.0,16,5967,24509,7437
6,0.0,17,2949,51863,4707
6,0.0,18,2433,64824,4121
6,0.0,19,2071,24787,3010
6,0.0,20,1643,60370,1827
6,0.0,21,1310,65295,3613
6,0.0,22,1828,67021,6323
6,0.0,23,842,61671,3983
6,0.0,24,1230,71782,4807
6,0.0,25,1046,82677,3472
6,0.0,26,919,88431,4206
6,0.0,27,528,40110,1202
6,0.0,28,371,25149,1097
6,0.0,29,436,5936,371
6,0.0,30,213,505,37
6,3.0,16,773,3164,5828
6,3.0,17,253,4890,5514
6,3.0,18,508,6668,5898
6,3.0,19,100,4902,5419
6,3.0,20,107,10845,3643
6,3.0,21,97,12394,5121
6,3.0,22,144,11629,6469
6,3.0,23,145,11416,5165
6,3.0,24,280,15936,5100
6,3.0,25,320,24111,5298
6,3.0,26,294,31510,7589
6,3.0,27,220,14882,3509
6,3.0,28,151,9232,2560
6,3.0,29,214,5852,1052
6,3.0,30,79,861,85
7,-3.0,16,118432,115809,51358
7,-3.0,17,112328,121314,37629
7,-3.0,18,105822,124184,42526
7,-3.0,19,65844,108156,16652
7,-3.0,20,53644,115169,7639
7,-3.0,21,27929,98367,6975
7,-3.0,22,58218,102284,11575
7,-3.0,23,44621,108271,6005
7,-3.0,24,34792,121188,5013
7,-3.0,25,25814,117464,3392
7,-3.0,26,28368,117537,3351
7,-3.0,27,7507,73292,741
7,-3.0,28,8815,35455,443
7,-3.0,29,8378,16572,263
7,-3.0,30,3096,1006,49
7,0.0,16,6470,15548,7601
7,0.0,17,4220,41476,8930
7,0.0,18,4384,70211,13578
7,0.0,19,3582,34105,15723
7,0.0,20,3385,74940,15643
7,0.0,21,3220,62579,23749
7,0.0,22,7880,74895,35404
7,0.0,23,13044,62377,19127
7,0.0,24,12073,92779,17086
7,0.0,25,12080,76521,13059
7,0.0,26,16084,71625,12573
7,0.0,27,3370,22111,4890
7,0.0,28,3979,8530,2458
7,0.0,29,4866,6038,763
7,0.0,30,1455,569,91
7,3.0,16,912,2231,5002
7,3.0,17,372,3890,5707
7,3.0,18,813,6676,7079
7,3.0,19,345,6048,9828
7,3.0,20,314,15971,11556
7,3.0,21,176,12913,13615
7,3.0,22,393,19680,19273
7,3.0,23,865,17076,14879
7,3.0,24,866,46548,20516
7,3.0,25,1365,38478,27896
7,3.0,26,2303,44177,38284
7,3.0,27,956,15729,26658
7,3.0,28,1205,5754,6852
7,3.0,29,1957,3515,2706
7,3.0,30,643,691,344
8,-3.0,16,117776,114660,65928
8,-3.0,17,104307,122108,37573
8,-3.0,18,91298,124617,37042
8,-3.0,19,54672,99301,10148
8,-3.0,20,29370,108936,4645
8,-3.0,21,6422,100778,4064
8,-3.0,22,15770,102478,7258
8,-3.0,23,5293,114329,2550
8,-3.0,24,3084,120813,2198
8,-3.0,25,678,116594,1294
8,-3.0,26,552,113411,1336
8,-3.0,27,127,77063,379
8,-3.0,28,116,48708,209
8,-3.0,29,147,14327,56
8,-3.0,30,199,1941,23
8,0.0,16,4511,7351,10605
8,0.0,17,1076,21548,6644
8,0.0,18,2424,51538,10397
8,0.0,19,1153,14116,5723
8,0.0,20,1179,52145,7480
8,0.0,21,628,71540,11226
8,0.0,22,950,80528,16498
8,0.0,23,1092,87679,7736
8,0.0,24,2636,93382,6194
8,0.0,25,1431,80562,7276
8,0.0,26,1129,75472,8010
8,0.0,27,381,34624,3078
8,0.0,28,346,18695,1999
8,0.0,29,412,11058,554
8,0.0,30,196,1192,99
8,3.0,16,631,1340,6768
8,3.0,17,86,3473,5960
8,3.0,18,426,6939,8113
8,3.0,19,19,3728,5107
8,3.0,20,52,10765,5460
8,3.0,21,15,15595,7694
