pair,layer,positions,rec
2,4,last,0.006433642025021565
2,4,all,0.3942434139040627
2,5,last,0.0017636383996711108
2,5,all,0.7538703044936449
2,6,last,-0.004383989552445629
2,6,all,0.2196778551424497
2,7,last,-0.0034270555455845637
2,7,all,-0.028096108091690174
2,8,last,-0.020620088327649867
2,8,all,0.08140057156794618
2,9,last,-0.010246038064645777
2,9,all,-0.08484005250366498
2,10,last,-0.00396947751490152
2,10,all,-0.14405373495466778
2,11,last,0.01927627982796715
2,11,all,-0.04097203366820527
2,12,last,-0.025078170021266336
2,12,all,-0.12848022138670423
2,13,last,0.024474669333779217
2,13,all,-0.14136187389200547
2,14,last,0.05186135412208483
2,14,all,0.04606260862628875
2,15,last,0.049076813966343044
2,15,all,0.10656300925563732
2,16,last,-0.014983997836039051
2,16,all,-0.10595186414088655
2,17,last,-0.013264078401655083
2,17,all,-0.02797850151840313
2,18,last,0.0028123566669888064
2,18,all,0.02175905685664219
2,19,last,0.0790703762847879
2,19,all,0.0586988213264692
2,20,last,0.04193589623623172
2,20,all,-0.03400586396601068
2,21,last,0.05674811177533259
2,21,all,0.1147805895975452
2,22,last,0.06503518226206528
2,22,all,0.008293922347958988
2,23,last,0.12065102396975363
2,23,all,0.11290192685587008
2,24,last,-0.040746535847250534
2,24,all,0.04018900398993083
2,25,last,0.12303383541113469
2,25,all,0.10591417890414195
2,26,last,-0.09261461399732981
2,26,all,-0.15053712967351904
2,27,last,0.08311289770835922
2,27,all,0.012935598129135086
2,28,last,-0.03866778853110924
2,28,all,-0.05903916452290337
2,29,last,0.03556054616492634
2,29,all,0.04997543045284156
2,30,last,-0.06547249974816853
2,30,all,-0.05662311644124555
2,31,last,0.1036558514639206
2,31,all,0.1036558514639206
3,0,last,0.012659073467636638
3,0,all,-0.018278079079989233
3,1,last,0.008654615125781695
3,1,all,-0.12023948666097738
3,2,last,0.013609332182334245
3,2,all,0.32105903962760635
3,3,last,0.00853724278770665
3,3,all,0.12403507316537617
3,4,last,0.007751283443381878
3,4,all,-0.15745503259566995
3,5,last,0.012664603958024125
3,5,all,0.8573702408692836
3,6,last,0.008737901025577423
3,6,all,-0.035089537818013466
3,7,last,0.008440732992578465
3,7,all,0.12816971706065935
3,8,last,0.015649371290019736
3,8,all,0.04829982595382479
3,9,last,0.005507026871338617
3,9,all,0.05104795948176567
3,10,last,0.008560651546524977
3,10,all,0.004302064433498454
3,11,last,0.038145270650426735
3,11,all,0.007895842796084523
3,12,last,-0.047167636008311066
3,12,all,-0.08965844841270819
3,13,last,0.022192598506384293
3,13,all,-0.12686758773972417
3,14,last,0.017719198385534866
3,14,all,-0.025695424942894948
3,15,last,-0.004663353300593925
3,15,all,0.012957747327226248
3,16,last,-0.0206337394410755
3,16,all,-0.2403774532310795
3,17,last,-0.06680930951279938
3,17,all,-0.10910655475363445
3,18,last,0.02700144203430054
3,18,all,0.019785740041215843
3,19,last,0.03800698101207427
3,19,all,0.052889859188786574
3,20,last,-0.02882913221403874
3,20,all,-0.10772721759659672
3,21,last,0.04245062052375934
3,21,all,0.1360493516868954
3,22,last,0.06999385896537666
3,22,all,-0.021245187172876285
3,23,last,0.019277318226880977
3,23,all,0.03009430033683972
3,24,last,0.08237243800717266
3,24,all,0.18198738445861018
3,25,last,-0.007279083603218527
3,25,all,-0.007398564098520484
3,26,last,-0.09522694038761072
3,26,all,-0.17775078241380718
3,27,last,0.1031930368388155
3,27,all,0.04379502250389393
3,28,last,0.054066074028077914
3,28,all,0.08375818177188699
3,29,last,0.1417751067151926
3,29,all,0.17997918673865065
3,30,last,0.07673517082507525
3,30,all,0.10364390869872216
3,31,last,0.27229276335332797
3,31,all,0.27229276335332797
4,0,last,0.0008634958212558158
4,0,all,0.5715502567529746
4,1,last,-0.002338501785868854
4,1,all,0.5748558112466898
4,2,last,0.0057526660611980284
4,2,all,0.3323149003722885
4,3,last,0.004542113243725733
4,3,all,0.20371251575734328
4,4,last,0.0025810956697568414
4,4,all,0.17614243759564802
4,5,last,-0.0071205176976549735
4,5,all,0.5807494366022049
4,6,last,-0.0025015125731406556
4,6,all,0.10607531537754133
4,7,last,0.006234228926022541
4,7,all,0.043264425026681486
4,8,last,-0.010572633608430514
4,8,all,0.1511560364739932
4,9,last,-0.007483392452205105
4,9,all,0.10249006666745755
4,10,last,-0.0026255281922982457
4,10,all,-0.04368139871164358
4,11,last,-0.0013435757712365489
4,11,all,0.06062512879390032
4,12,last,-0.037420092859029065
4,12,all,-0.011957621149748915
4,13,last,0.030531404181951674
4,13,all,-0.10594751008711631
4,14,last,0.01820827198459702
4,14,all,0.07598411721310432
4,15,last,0.017757960177035865
4,15,all,0.14748637146335794
4,16,last,0.12989977033493663
4,16,all,0.09912412458593722
4,17,last,-0.002679022972218304
4,17,all,0.02748895722746332
4,18,last,0.04874467413879995
4,18,all,0.17269504504326377
4,19,last,-0.026444765486354327
4,19,all,0.0669770022975294
4,20,last,0.10245326841022302
4,20,all,0.1349806210491304
4,21,last,-0.0010605038043905704
4,21,all,0.11571684323239406
4,22,last,0.0377674244691055
4,22,all,-0.025799038456046183
4,23,last,0.047950875315201785
4,23,all,0.013350023265286216
4,24,last,0.054295828549559895
4,24,all,0.15721583067616962
4,25,last,0.06189027484673251
4,25,all,0.0402376310622108
4,26,last,0.021020592524439535
4,26,all,-0.03604328881073745
4,27,last,0.08380566917246321
4,27,all,0.024519063254776194
4,28,last,0.2030973807110346
4,28,all,0.2454375104078653
4,29,last,0.07858800583323777
4,29,all,0.07912273394135039
4,30,last,0.10037630886457934
4,30,all,0.1387746312155552
4,31,last,0.5369187440655945
4,31,all,0.5369187440655945
5,0,last,0.017573368675224355
5,0,all,0.40064742459639124
5,1,last,-0.007170265150384878
5,1,all,-0.10412121603485794
5,2,last,0.0030190160572297065
5,2,all,-0.04900004656960297
5,3,last,-0.008807597302798773
5,3,all,0.5320766885574405
5,4,last,-0.018084945710197413
5,4,all,-0.12261546927954274
5,5,last,-0.0013496003557856458
5,5,all,-0.17203301004439517
5,6,last,0.03096042078518187
5,6,all,0.03548358911164937
5,7,last,0.022778121141462285
5,7,all,-0.045073713866668016
5,8,last,0.06968847792021887
5,8,all,0.1543263594715304
5,9,last,0.01030037495926435
5,9,all,0.08881063019282315
5,10,last,0.04717332456416998
5,10,all,-0.19709260816963456
5,11,last,-0.14159883087343306
5,11,all,-0.18565846995747987
5,12,last,-0.18920668604839475
5,12,all,-0.1829789070302911
5,13,last,-0.05581838732168318
5,13,all,-0.0266721917700545
5,14,last,-0.13942472411335785
5,14,all,-0.15426867029195468
5,15,last,-0.09520737066746483
5,15,all,-0.11015404541163679
5,16,last,-0.04107724621950973
5,16,all,-0.15444694056836236
5,17,last,-0.08051718579022164
5,17,all,-0.08972332810152153
5,18,last,-0.004128780407387622
5,18,all,-0.02081773468414766
5,19,last,0.22345064639680065
5,19,all,0.31239659877655074
5,20,last,0.04828530772892696
5,20,all,0.06880232927586104
5,21,last,0.1292949938492929
5,21,all,0.16746786276585798
5,22,last,0.04992827618049481
5,22,all,0.02990796306035844
5,23,last,0.013692355898065719
5,23,all,0.1028511614576296
5,24,last,-0.05749751990085418
5,24,all,-0.014750883483516478
5,25,last,-0.028395700641206816
5,25,all,-0.026408688408703404
5,26,last,-0.010105960893877261
5,26,all,-0.002551483767228904
5,27,last,0.06944902446883236
5,27,all,-0.0026051943826959395
5,28,last,0.01069891996776547
5,28,all,0.096694052959687
5,29,last,-0.032154270557559546
5,29,all,-0.02015326347076773
5,30,last,0.14766351426669733
5,30,all,0.18123537782051505
5,31,last,0.3929559420441546
5,31,all,0.3929559420441546
6,0,last,-0.008964244656310304
6,0,all,-0.8685307684056209
6,1,last,-0.045108574933010875
6,1,all,-1.0
6,2,last,-0.09476406717440794
6,2,all,-1.0
6,3,last,-0.0679664669724383
6,3,all,0.4872363640697749
6,4,last,-0.09935259196173846
6,4,all,-0.5393182007799235
6,5,last,0.015569648644343822
6,5,all,0.730598075003982
6,6,last,-0.035663352154216385
6,6,all,0.18366375522666867
6,7,last,-0.019042139491240218
6,7,all,-0.3472586197368977
6,8,last,-0.016391829764733544
6,8,all,-0.13980622183504152
6,9,last,-0.04688144360615487
6,9,all,-0.24190068164752615
6,10,last,0.13485525689909428
6,10,all,0.0019141607370591531
6,11,last,0.02003898534094837
6,11,all,-0.7493927366777512
6,12,last,-0.14457721275399252
6,12,all,-0.3994369988005344
6,13,last,-0.14358524278072315
6,13,all,-0.4910072585547252
6,14,last,0.01736223752886248
6,14,all,-0.19374099994474006
6,15,last,0.11892230128365573
6,15,all,0.7314304412884882
6,16,last,0.1092384856177898
6,16,all,-0.1635800201752932
6,17,last,0.5069767290670498
6,17,all,1.2149578886804904
6,18,last,-0.05775952394109508
6,18,all,-0.29480112383534274
6,19,last,-0.1360590566154266
6,19,all,-0.13461666401202282
6,20,last,-0.2216447739814565
6,20,all,0.04369197029832779
6,21,last,-0.10516983761164403
6,21,all,-0.03213831019459081
6,22,last,1.0822455252998393
6,22,all,0.17823928851211004
6,23,last,-0.5962091685980555
6,23,all,-1.0
6,24,last,0.07788226600398088
6,24,all,0.356618677207228
6,25,last,-0.018954915479390756
6,25,all,0.010002264573723793
6,26,last,-0.9432336379130816
6,26,all,-1.0
6,27,last,-0.12985650837404691
6,27,all,-0.05183490065672638
6,28,last,-0.08022322845864878
6,28,all,0.28699560412650843
6,29,last,0.285633934366369
6,29,all,0.2058471510253968
6,30,last,-0.6800157328279758
6,30,all,-0.43896984649657445
6,31,last,1.1414991261345893
6,31,all,1.1414991261345893
7,0,last,-0.0017875920968373306
7,0,all,0.2606052655515747
7,1,last,-0.0011844400651042598
7,1,all,-0.04043564297043721
7,2,last,0.003047645156276432
7,2,all,-0.16429435276748464
7,3,last,-0.011816930499254592
7,3,all,0.45340634787555517
7,4,last,0.017573749298705244
7,4,all,-0.015074666255175005
7,5,last,-0.013729329586740998
7,5,all,-0.07252680687376077
7,6,last,0.015918812807313564
7,6,all,-0.36925069694998625
7,7,last,0.01656786522022302
7,7,all,-0.12370902550056993
7,8,last,-0.013795482197169256
7,8,all,-0.19562195857417017
7,9,last,0.00518555176532866
7,9,all,0.001469512966822644
7,10,last,0.010753863655825908
7,10,all,0.002290253828407136
7,11,last,-0.013457781530163138
7,11,all,0.043904730710522484
7,12,last,-0.08200919493254186
7,12,all,-0.16685173980664658
7,13,last,0.08288256355941409
7,13,all,-0.25575201853057955
7,14,last,-0.09948441608478298
7,14,all,-0.43492328049113266
7,15,last,-0.09738757454957711
7,15,all,-0.18961636671643528
7,16,last,-0.03903655730603024
7,16,all,-0.3536374195043964
7,17,last,-0.030012191982163462
7,17,all,-0.07000642044721127
7,18,last,-0.22008482951056738
7,18,all,-0.2110482708029988
7,19,last,0.2240553175977016
7,19,all,0.23666474796065656
7,20,last,-0.20757525875551522
7,20,all,-0.3582086770080576
7,21,last,-0.06192038505304192
7,21,all,-0.015386999077927916
7,22,last,-0.001688573411948423
7,22,all,-0.18322773442586052
7,23,last,-0.07232190196603595
7,23,all,-0.0910318784103808
7,24,last,-0.19027074497509958
7,24,all,-0.03549578087900842
7,25,last,-0.10369225469259569
7,25,all,-0.05991632535703839
7,26,last,-0.08739712883655358
7,26,all,-0.15089088084863708
7,27,last,-0.015198562245892337
7,27,all,-0.21210432995464482
7,28,last,-0.004849953405857337
7,28,all,-0.03921097875450052
7,29,last,0.16047123643853967
7,29,all,0.12129950075802202
7,30,last,-0.06599437674780592
7,30,all,-0.032210294663628694
7,31,last,-0.2921621630333887
7,31,all,-0.2921621630333887
8,0,last,-0.010427116817220387
8,0,all,-0.31250532175067847
8,1,last,0.023640210889273115
8,1,all,-0.27615221400191065
8,2,last,-0.007363682475112516
8,2,all,0.16198922926066148
8,3,last,-0.03726351381639067
8,3,all,0.3498266671868987
8,4,last,-0.020035162803375566
8,4,all,-0.474510040120581
8,5,last,-0.041091596657366045
8,5,all,-0.19357800485878204
8,6,last,-0.05115673972601702
8,6,all,0.22412964148730974
8,7,last,-0.02076197241852634
8,7,all,-0.1990786589579727
8,8,last,-0.04166991285566183
8,8,all,-0.23719272690355997
8,9,last,-0.020583426762545938
8,9,all,0.11456464933224893
8,10,last,0.0729682676555116
8,10,all,-0.13914178297072613
8,11,last,-0.1396379816360616
8,11,all,-0.14035759386621172
8,12,last,-0.16734256846217851
8,12,all,-0.33683610279027465
8,13,last,0.07076005942935512
8,13,all,-0.042168889459067695
8,14,last,-0.2711196845575559
8,14,all,-0.1646655200516831
8,15,last,-0.054775214512588245
8,15,all,-0.2174091779454109
8,16,last,-0.0048070955609433525
8,16,all,-0.04245409110096378
8,17,last,-0.29889081562745057
8,17,all,-0.2058236188628561
