layer,head,group,mean_score,mean_abs,n
0,4,last,-5.9331693955755326e-05,0.0006711396688842796,80
0,5,last,0.00024243025873147417,0.0007916790436865995,80
0,6,last,0.00011117157782791764,0.0007153193376325361,80
0,7,last,-0.0005922954995185136,0.0028268127323826777,80
0,8,last,6.623569061048329e-05,0.0028952232853043823,80
0,9,last,-0.0005683168004907202,0.002215099770546658,80
0,10,last,-0.00025170529461320256,0.0013127486554367351,80
0,11,last,0.0014430663461098448,0.009081654224428349,80
0,12,last,0.00019497732664603974,0.0010703879752327339,80
0,13,last,-0.00019797134282271145,0.0006852185100797214,80
0,14,last,-0.00017172363068311823,0.000526672140131268,80
0,15,last,0.00035411170265433614,0.0015586205439831247,80
0,16,last,-2.4151739262379122e-05,0.00029719114959334545,80
0,17,last,-0.0007519406084611546,0.003062715146370465,80
0,18,last,-5.655480467794405e-05,0.00020222174721311602,80
0,19,last,0.00010796492879308061,0.0004959718897225684,80
0,20,last,-9.207779003190808e-05,0.0010314996034139767,80
0,21,last,0.0001527452308437205,0.0005471476286402321,80
0,22,last,7.934220884635579e-05,0.0002817870692524593,80
0,23,last,-0.001316505711292848,0.003952906263293698,80
0,24,last,0.0004399170957185561,0.0011434287738666172,80
0,25,last,-0.00023238820540427696,0.001984169039860717,80
0,26,last,-0.000590327081590658,0.0011015410607797093,80
0,27,last,0.0006680075381154893,0.001182394598799874,80
0,28,last,-3.215237775293645e-05,0.0002747475817159284,80
0,29,last,-1.894692836685863e-05,7.335669429267e-05,80
0,30,last,1.5722908119641944e-05,0.00029733801811744344,80
0,31,last,-3.194429154973477e-07,6.851929356344044e-07,80
0,0,suffix,0.00297330670273368,0.03053055443615449,80
0,1,suffix,-0.004692076546871249,0.014999161026480579,80
0,2,suffix,-0.0011895811488841445,0.03649758496772506,80
0,3,suffix,-0.000512976966729184,0.004439023760187411,80
0,4,suffix,-0.00019142037801884727,0.004487014087567331,80
0,5,suffix,0.0013788853471851325,0.005386662593991787,80
0,6,suffix,-0.004916508523911034,0.009104118768391345,80
0,7,suffix,0.005628473016190583,0.012984637643171482,80
0,8,suffix,-0.0005634653181914473,0.0073540071709430775,80
0,9,suffix,0.0003715987391842646,0.006250935582829698,80
0,10,suffix,-0.0006094441819186613,0.007420518377421104,80
0,11,suffix,0.0008640008318252512,0.021639714569937497,80
0,12,suffix,-0.00022043227886570094,0.0040967657830606186,80
0,13,suffix,0.0007030089722320554,0.0049390904147003315,80
0,14,suffix,0.0002423081264623761,0.0036915756264988887,80
0,15,suffix,-1.2464461451600074e-05,0.003731667510783154,80
0,16,suffix,6.577272895356146e-05,0.0035335972379243684,80
0,17,suffix,0.0006129707951913587,0.007034924681647681,80
0,18,suffix,0.00038337128496550575,0.005299007924963917,80
0,19,suffix,0.0006851652248087703,0.005609407896577068,80
0,20,suffix,-0.001708161103351813,0.007417173746989647,80
0,21,suffix,-0.000512904652623547,0.003296659369152621,80
0,22,suffix,0.0007618481562985835,0.0038979684588412054,80
0,23,suffix,0.0018055225939633602,0.004570894983521612,80
0,24,suffix,0.0018485553364371299,0.005106367498410691,80
0,25,suffix,-0.00023040735504764598,0.004244075566020911,80
0,26,suffix,-0.0007173406895617518,0.0051651348230279835,80
0,27,suffix,-0.000227399218147184,0.0036301995186477144,80
0,28,suffix,0.0008497850148557973,0.004322662036310021,80
0,29,suffix,-0.0007788807484018889,0.006470566904243924,80
0,30,suffix,0.00016262318703184065,0.005679113607345698,80
0,31,suffix,0.0006858575100295638,0.00545793443900493,80
1,0,prefix,-1.1086528778037063e-05,3.205391435869842e-05,80
1,1,prefix,-2.4946926390612135e-05,5.127843203922566e-05,80
1,2,prefix,2.4179640575994197e-06,1.0211296475404196e-05,80
1,3,prefix,-7.633909393689465e-06,3.59685727573833e-05,80
1,4,prefix,1.8127151440694435e-05,3.645249795454219e-05,80
1,5,prefix,-1.4031837540073867e-05,2.4997835757289978e-05,80
1,6,prefix,1.349552343299365e-05,8.958160116208091e-05,80
1,7,prefix,-5.405474345820948e-06,2.6298677309455342e-05,80
1,8,prefix,2.4256213265516635e-05,5.216628522362043e-05,80
1,9,prefix,-1.4092219032590947e-05,3.161392845640876e-05,80
1,10,prefix,-8.031436243527423e-06,2.9858290361062245e-05,80
1,11,prefix,3.3503142731206026e-06,3.935780509891629e-05,80
1,12,prefix,3.021098644921949e-05,6.23167426283544e-05,80
1,13,prefix,-1.8767409602560293e-05,3.451680564126036e-05,80
1,14,prefix,5.541130235542369e-07,1.388952276784039e-05,80
1,15,prefix,1.7032080296530695e-05,3.0610888671844805e-05,80
