kind,layer,index,drop_recovery,marginal
neuron,18,8841,0.7639982946376561,-0.0024918962546810475
neuron,12,4302,0.7640036338509664,-0.002497235467991299
neuron,20,8899,0.7641082013040666,-0.0026018029210915783
neuron,14,2672,0.7641305934341313,-0.0026241950511561862
neuron,18,6394,0.7643725681027338,-0.0028661697197587266
neuron,16,830,0.7644178179731039,-0.002911419590128861
neuron,21,6349,0.7644768268538242,-0.0029704284708491624
neuron,14,1049,0.7649207353321087,-0.003414336949133623
neuron,12,11760,0.7651446078346099,-0.003638209451634844
neuron,14,1518,0.7659327187505919,-0.0044263203676168095
head,31,26,0.7662611086997955,-0.004754710316820399
neuron,13,5922,0.7669709786845015,-0.005464580301526412
neuron,15,11966,0.7675844037433593,-0.006078005360384275
head,0,2,0.7697418991501757,-0.008235500767200588
head,31,24,0.7726149848214857,-0.011108586438510648
head,10,24,0.7788423714632061,-0.01733597308023105
neuron,21,8761,0.7791521057693334,-0.01764570738635829
head,8,16,0.7793704073361137,-0.017864008953138666
head,29,0,0.7866234109578297,-0.025117012574854658
head,13,28,0.8052874337760515,-0.04378103539307643
