neuron_id,layer,neuron,score_last,score_all,abs_all
L18_N14886,18,14886,0.011586603708565235,-0.03249355033040047,0.03249355033040047
L17_N13081,17,13081,0.012699486687779427,0.032466910779476166,0.032466910779476166
L13_N6069,13,6069,0.02869727648794651,0.03246554359793663,0.03246554359793663
L15_N3792,15,3792,3.399669731152244e-05,-0.03244922310113907,0.03244922310113907
L19_N6222,19,6222,0.024354539811611176,0.032387688755989075,0.032387688755989075
L22_N13069,22,13069,0.019461674615740776,0.03237156197428703,0.03237156197428703
L15_N10394,15,10394,0.001303036347962916,-0.032328907400369644,0.032328907400369644
L20_N2547,20,2547,-0.02336950972676277,-0.03232696279883385,0.03232696279883385
L17_N14612,17,14612,0.030297398567199707,0.03232191875576973,0.03232191875576973
L18_N18546,18,18546,0.0033203414641320705,0.0323217436671257,0.0323217436671257
L14_N9632,14,9632,0.002482914598658681,-0.0323200598359108,0.0323200598359108
L15_N10107,15,10107,-0.03429979085922241,-0.032306212931871414,0.032306212931871414
L21_N12991,21,12991,-0.028717398643493652,-0.03230549022555351,0.03230549022555351
L18_N844,18,844,-0.027608495205640793,-0.032290033996105194,0.032290033996105194
L21_N16916,21,16916,-0.036163706332445145,-0.03225373849272728,0.03225373849272728
L21_N15110,21,15110,-0.01955326460301876,-0.03224179893732071,0.03224179893732071
L20_N10168,20,10168,0.029805248603224754,0.032234322279691696,0.032234322279691696
L20_N14686,20,14686,-0.02332921326160431,-0.03222637623548508,0.03222637623548508
L12_N18552,12,18552,-0.000621030863840133,-0.0322255864739418,0.0322255864739418
L17_N11575,17,11575,-0.012890050187706947,-0.0322008915245533,0.0322008915245533
L16_N6190,16,6190,0.009228956885635853,0.03220063075423241,0.03220063075423241
L20_N16641,20,16641,0.042881399393081665,0.03218621388077736,0.03218621388077736
L19_N3197,19,3197,0.0307344701141119,0.032178863883018494,0.032178863883018494
L22_N16380,22,16380,0.00883872713893652,0.03217748552560806,0.03217748552560806
L20_N11013,20,11013,0.0024889991618692875,-0.03216985613107681,0.03216985613107681
L21_N5969,21,5969,-0.023291287943720818,-0.03215618059039116,0.03215618059039116
L22_N9633,22,9633,-0.026620950549840927,-0.032136376947164536,0.032136376947164536
L15_N4847,15,4847,0.01488952524960041,0.03210163488984108,0.03210163488984108
L18_N747,18,747,-0.013730332255363464,-0.032092493027448654,0.032092493027448654
L22_N4285,22,4285,-0.025492792949080467,-0.03208316117525101,0.03208316117525101
L20_N14825,20,14825,0.006184421945363283,0.032078471034765244,0.032078471034765244
L16_N7023,16,7023,-0.006680267862975597,-0.032076120376586914,0.032076120376586914
L18_N14988,18,14988,-0.02061786688864231,0.03207508102059364,0.03207508102059364
L20_N16160,20,16160,0.010672848671674728,0.03206276148557663,0.03206276148557663
L18_N8275,18,8275,-0.030116181820631027,-0.032048024237155914,0.032048024237155914
L22_N16455,22,16455,0.015296158380806446,0.03204071894288063,0.03204071894288063
L21_N10686,21,10686,-0.047942280769348145,-0.03203298896551132,0.03203298896551132
L18_N7791,18,7791,0.007613072637468576,0.03202766925096512,0.03202766925096512
L19_N16848,19,16848,0.021304231137037277,0.032001152634620667,0.032001152634620667
L16_N9167,16,9167,0.0007590992609038949,-0.03199915215373039,0.03199915215373039
L18_N11653,18,11653,-0.03376585245132446,-0.03196663409471512,0.03196663409471512
L21_N10720,21,10720,0.02484671212732792,0.031964074820280075,0.031964074820280075
L15_N15754,15,15754,0.0018834773218259215,0.031958531588315964,0.031958531588315964
L18_N2269,18,2269,0.018175696954131126,0.03195357695221901,0.03195357695221901
L18_N8649,18,8649,-0.022082297131419182,-0.031939223408699036,0.031939223408699036
L22_N15001,22,15001,0.024743836373090744,0.031918175518512726,0.031918175518512726
L20_N5239,20,5239,-0.029006611555814743,-0.03191752731800079,0.03191752731800079
L11_N4870,11,4870,-0.0002903413842432201,0.03190997987985611,0.03190997987985611
L22_N7926,22,7926,-0.0314629003405571,-0.03189272806048393,0.03189272806048393
L17_N5128,17,5128,-0.0007180502288974822,-0.03188348934054375,0.03188348934054375
L19_N4004,19,4004,-0.003752443939447403,-0.03187093883752823,0.03187093883752823
L20_N10411,20,10411,0.009388131089508533,-0.03186193108558655,0.03186193108558655
L13_N1491,13,1491,0.0008585053728893399,0.031859904527664185,0.031859904527664185
L16_N6911,16,6911,-0.0011139719281345606,-0.03185030072927475,0.03185030072927475
L20_N10539,20,10539,0.008441707119345665,0.031810589134693146,0.031810589134693146
L17_N17921,17,17921,-0.00043807821930386126,-0.03179898113012314,0.03179898113012314
L15_N1957,15,1957,-0.01088385097682476,-0.03178985416889191,0.03178985416889191
L21_N2972,21,2972,0.03247012943029404,0.031763650476932526,0.031763650476932526
L20_N4074,20,4074,0.009587527252733707,0.03174790367484093,0.03174790367484093
L16_N9987,16,9987,0.0010473737493157387,-0.03173552453517914,0.03173552453517914
L21_N3808,21,3808,-0.03152213245630264,-0.03172891587018967,0.03172891587018967
L17_N3111,17,3111,0.0013541898224502802,0.031727634370326996,0.031727634370326996
L19_N2386,19,2386,-0.022732796147465706,-0.031721118837594986,0.031721118837594986
L20_N12280,20,12280,-0.02413341775536537,-0.03171810880303383,0.03171810880303383
