kind,layer,index,drop_recovery,marginal
neuron,20,16199,0.9646767429330737,0.0012769388665007098
neuron,18,18089,0.9647400751754529,0.0012136066241215104
neuron,20,1815,0.9650448333339348,0.0009088484656396556
neuron,18,14909,0.9651448733558283,0.0008088084437460896
neuron,20,6298,0.9653821202455295,0.0005715615540449193
neuron,20,9064,0.9656878818460202,0.00026579995355424657
neuron,20,886,0.965759461147046,0.00019422065252838738
neuron,19,2041,0.9657646679472556,0.00018901385231884227
neuron,21,9831,0.9657693035600634,0.00018437823951100718
neuron,22,16042,0.9658820659409986,7.16158585758464e-05
neuron,22,13739,0.9659308133810063,2.286841856813382e-05
neuron,18,13898,0.9659613845389657,-7.702739391324265e-06
neuron,21,8621,0.9661092852858659,-0.00015560348629151122
neuron,21,1197,0.9661893757120739,-0.00023569391249944616
neuron,21,6841,0.9663039536398902,-0.0003502718403157745
neuron,20,1240,0.966588057261839,-0.0006343754622646358
head,15,1,0.9666070172991796,-0.0006533354996052232
neuron,21,4900,0.9667785070238079,-0.0008248252242334386
neuron,21,16735,0.9669084973878451,-0.0009548155882707077
neuron,17,16972,0.9670598695940897,-0.0011061877945153231
neuron,19,4795,0.9671166731821518,-0.0011629913825773608
neuron,20,10974,0.9671279679735452,-0.001174286173970751
neuron,18,11075,0.9672008927237303,-0.001247210924155917
neuron,21,7707,0.9676519351415175,-0.0016982533419430679
neuron,19,16973,0.9676636536344596,-0.0017099718348851933
neuron,19,6990,0.967771169040174,-0.0018174872405996023
neuron,20,8401,0.9678472946886394,-0.0018936128890649773
neuron,18,8190,0.9679825587788096,-0.00202887697923515
neuron,19,9581,0.9680984835911063,-0.0021448017915318696
neuron,22,17616,0.968193575990584,-0.0022398941910095616
neuron,22,6835,0.9682506766626069,-0.0022969948630324755
neuron,21,10273,0.9684615350828422,-0.002507853283267747
neuron,20,18509,0.9687937476816901,-0.0028400658821157165
neuron,17,17155,0.969167717178196,-0.003214035378621638
neuron,21,2118,0.969178989194446,-0.0032253073948715905
neuron,22,12740,0.9699780508161989,-0.004024369016624507
head,15,23,0.970939444124692,-0.004985762325117604
neuron,21,6285,0.9710212196428004,-0.005067537843226
head,15,4,0.9715491042823503,-0.005595422482775891
neuron,19,8673,0.9719757799016762,-0.006022098102101747
head,18,15,0.9723215960477667,-0.006367914248192275
neuron,21,18491,0.9733927587791175,-0.007439076979543047
neuron,19,7275,0.9738496634620292,-0.007895981662454754
head,15,24,0.9746325960379246,-0.00867891423835021
neuron,18,2536,0.978495595957724,-0.012541914158149536
neuron,22,1182,0.9796778342187606,-0.01372415241918623
head,14,13,0.9821932722811872,-0.01623959048161283
neuron,17,17385,0.9824384014496057,-0.016484719650031288
neuron,22,9610,0.9832851735482069,-0.017331491748632466
head,14,12,1.0029152838635518,-0.03696160206397736
head,17,21,1.0081095020822735,-0.04215582028269904
head,16,2,1.0096609539430816,-0.043707272143507225
