pair,layer,positions,rec
2,20,all,-0.2890244331397799
2,21,last,-0.03471552762560212
2,21,all,0.1927690325424398
2,22,last,-0.1312594369873016
2,22,all,-0.10497596513819978
2,23,last,0.10540727416646994
2,23,all,0.16671684071111298
2,24,last,0.07854342527402797
2,24,all,0.10476629214792096
2,25,last,0.1486236189772897
2,25,all,0.14862059792123097
2,26,last,0.15675621413890506
2,26,all,0.15688570169935365
2,27,last,0.17538552498637747
2,27,all,0.17538552498637747
3,0,last,-5.401040449645572e-06
3,0,all,9.36698769081202e-05
3,1,last,-0.009877513262947628
3,1,all,0.009747228479186718
3,2,last,-0.00012445015193136212
3,2,all,0.02963879858615277
3,3,last,-1.04721744145833e-05
3,3,all,0.009762295779638304
3,4,last,0.009747332164081912
3,4,all,0.029739344656792156
3,5,last,0.0097475395338723
3,5,all,0.0887975728685661
3,6,last,-0.009880718068799076
3,6,all,-0.02896987077185958
3,7,last,4.7129497815406386e-08
3,7,all,0.02987839552714673
3,8,last,-5.598984340470279e-06
3,8,all,0.11793152027412024
3,9,last,-0.019767412157921143
3,9,all,0.02050247208354891
3,10,last,-2.4036043885857257e-07
3,10,all,-0.10657068618757898
3,11,last,-3.770359825232511e-08
3,11,all,-0.02990977905974201
3,12,last,-0.019905511012419847
3,12,all,-0.1176475697627322
3,13,last,-0.0002636612625785095
3,13,all,-0.11801424196868585
3,14,last,0.06830335787303446
3,14,all,0.116075032799774
3,15,last,-0.01988639528810592
3,15,all,-0.1677440249929612
3,16,last,-0.019720669121987826
3,16,all,0.13910857571170018
3,17,last,0.009426663060945887
3,17,all,0.3763137512469287
3,18,last,-0.020056429090324342
3,18,all,0.3761324346429333
3,19,last,0.0513510754527236
3,19,all,0.2363219687461678
3,20,last,0.04894809317350904
3,20,all,0.0008442401202669377
3,21,last,0.03973449314628704
3,21,all,0.10922328985197284
3,22,last,0.028762906295153004
3,22,all,0.04959769789369791
3,23,last,0.14797521780190473
3,23,all,0.1579990398778705
3,24,last,0.16462661608226248
3,24,all,0.20146853630012893
3,25,last,0.18610228401800083
3,25,all,0.19613781306122396
3,26,last,0.2826709078187554
3,26,all,0.2919242380126358
3,27,last,0.22811632728872389
3,27,all,0.22811632728872389
4,0,last,4.1043794444995994e-05
4,0,all,7.650941259334567e-06
4,1,last,-2.46521862290312e-05
4,1,all,0.02385210657389296
4,2,last,-0.007900991394337102
4,2,all,0.00819118610957288
4,3,last,0.007924957739218185
4,3,all,0.03976252468990751
4,4,last,0.007916918154528347
4,4,all,-0.00807258127913435
4,5,last,4.3070836651154355e-05
4,5,all,0.0008026934727198679
4,6,last,0.008006222318490639
4,6,all,-0.0318975818788645
4,7,last,0.00020856435391108344
4,7,all,0.023915306854106397
4,8,last,-0.015906489769182686
4,8,all,0.01754704894508304
4,9,last,-0.02403970704393509
4,9,all,0.04826445789377634
4,10,last,0.015918873015742862
4,10,all,0.009268170398715544
4,11,last,0.015906531681709503
4,11,all,0.032783601265130385
4,12,last,0.040255328370016344
4,12,all,0.06392681862492712
4,13,last,0.00047736081909087246
4,13,all,0.01646112204680907
4,14,last,0.007913595634220508
4,14,all,0.05791270251637629
4,15,last,-0.007972837085764399
4,15,all,0.07966596310521042
4,16,last,-0.013193895792534029
4,16,all,0.2472778118649395
4,17,last,0.024111171712391303
4,17,all,0.40663079340474234
4,18,last,-0.015115676592701167
4,18,all,0.3806643827438537
4,19,last,0.006500450018610686
4,19,all,0.17661609597706499
4,20,last,0.08041049342139454
4,20,all,0.3988192128607994
4,21,last,0.09764650950495331
4,21,all,0.16852052377185553
4,22,last,0.03964548205365041
4,22,all,0.159437240959628
4,23,last,0.111797592154292
4,23,all,0.1355669214877173
4,24,last,0.2389337136166118
4,24,all,0.2866928397949901
4,25,last,0.11160389531671254
4,25,all,0.10350794208853199
4,26,last,0.1673230219169595
4,26,all,0.16731036433386012
4,27,last,0.0636123260748254
4,27,all,0.0636123260748254
5,0,last,0.0068530702108801755
5,0,all,0.01566571607702915
5,1,last,0.006852854726082261
5,1,all,0.030125191352296254
5,2,last,0.006853328792637671
5,2,all,0.014383322947684357
5,3,last,0.007531965840947596
5,3,all,0.023196557805614297
5,4,last,0.006854553464572482
5,4,all,0.044523806537805896
5,5,last,6.536372203386217e-07
5,5,all,0.0006045282348940595
5,6,last,0.0060922903576054975
5,6,all,0.032554520275603904
5,7,last,0.007532249562598183
5,7,all,0.010862146919000514
5,8,last,-0.007529397980439123
5,8,all,-0.013809587490412183
5,9,last,-0.0006833022941847591
5,9,all,-0.0018216151048177675
5,10,last,-0.01445503628843008
5,10,all,-0.015371809178327879
5,11,last,-0.014457658020138032
5,11,all,-0.056692197161866964
5,12,last,-0.03909116901781411
5,12,all,-0.056450566875139586
5,13,last,0.0011445690525991065
5,13,all,-0.13797254577144916
5,14,last,-0.05066041852692897
5,14,all,-0.1683665615919695
5,15,last,-0.015060965174510579
5,15,all,-0.06422672368049644
5,16,last,0.0075342571626320805
5,16,all,-0.22136579465284242
5,17,last,-0.11015920462205123
5,17,all,-0.3669202879641153
5,18,last,-0.07928260341377626
5,18,all,-0.057955369047237845
5,19,last,-0.05596696152600818
5,19,all,-0.11117083391999069
5,20,last,-0.22235067510453418
5,20,all,-0.1540323548125563
5,21,last,0.17209703441345375
5,21,all,0.17741759829005055
5,22,last,-0.16091676369587976
5,22,all,-0.23305581620836138
5,23,last,-0.03348621548775724
5,23,all,-0.010447040595712609
5,24,last,-0.21245136095098555
5,24,all,-0.20847425859546234
5,25,last,0.054720698014446935
5,25,all,0.052600374291347715
5,26,last,-0.27751955276733553
5,26,all,-0.28113722647993844
5,27,last,-0.11252982471216726
5,27,all,-0.11252982471216726
6,0,last,-0.0038486154040852563
6,0,all,0.020961944328234675
6,1,last,0.005840012422479946
6,1,all,0.010327867440155954
6,2,last,0.00571264778298026
6,2,all,-0.051063839942121284
6,3,last,0.005713533301920925
6,3,all,0.01220594805173676
6,4,last,0.021306426204948888
6,4,all,-0.008438335117528926
6,5,last,0.00540816434655201
6,5,all,0.041454113354048874
6,6,last,0.02130644121374449
6,6,all,-0.15333594946646584
6,7,last,-0.009896934900759892
6,7,all,-0.10492267783689276
6,8,last,0.026335588444896363
6,8,all,0.06383470405161537
6,9,last,-0.0037223313978690933
6,9,all,-0.221341462737408
6,10,last,0.04792629624738986
6,10,all,0.04388631869934738
6,11,last,0.03147754178381157
6,11,all,-0.10767180891017564
6,12,last,-0.05386856359432318
6,12,all,0.09809691023230344
6,13,last,-0.0003075902571183791
6,13,all,-0.32872144062584996
6,14,last,-0.02552774002148479
6,14,all,-0.03715916638627735
6,15,last,0.05665506656866123
6,15,all,-0.28483980467073117
6,16,last,0.031327543880540314
6,16,all,-0.1946057848280828
6,17,last,-0.11788787583187375
6,17,all,0.010054152034716905
6,18,last,-0.20875070417516778
6,18,all,-0.20912520364309095
6,19,last,-0.2312771653572143
6,19,all,-0.13158106044885484
6,20,last,-0.405326303373566
6,20,all,-0.1571972923292237
6,21,last,0.07221738655504285
6,21,all,0.20024582756232634
6,22,last,-0.3214061836658137
6,22,all,-0.19137346058910903
6,23,last,-0.059006959848680124
6,23,all,-0.016245865564596822
6,24,last,0.09816302397694121
6,24,all,0.17101904228935283
6,25,last,0.0772176793766451
6,25,all,0.07511237310401014
6,26,last,0.10120613232972919
6,26,all,0.10076756781776824
6,27,last,0.04476446832137037
6,27,all,0.04476446832137037
7,0,last,-0.015545561321347202
7,0,all,-0.0008366404525254322
7,1,last,6.194943929252749e-08
7,1,all,0.001844858727091418
7,2,last,0.008304437386121997
7,2,all,-0.008343235434958917
7,3,last,-0.007295989013638638
7,3,all,-0.025624190824167642
7,4,last,0.0009365870229040263
7,4,all,0.05193892319820919
7,5,last,3.539967959573e-08
7,5,all,-0.07053264473050591
7,6,last,7.522431914092624e-08
7,6,all,-0.030792433421145484
7,7,last,-0.007295997863558537
7,7,all,-0.009993528673072304
7,8,last,-2.6549759696797495e-08
7,8,all,0.033838093529723556
7,9,last,0.007697244381856237
7,9,all,-8.361404320511425e-05
7,10,last,-0.006422802816890564
7,10,all,-0.06756575775894824
7,11,last,0.008443328029015843
7,11,all,-0.11670042453862248
7,12,last,-0.0023860623036307867
7,12,all,-0.1601671778188652
7,13,last,0.018420798522431534
7,13,all,-0.3103486104692092
7,14,last,0.006440847803564488
7,14,all,-0.052942663413306314
7,15,last,-0.01657548402446532
7,15,all,-0.0830457101991247
7,16,last,0.012328973859841146
7,16,all,0.11437209026249243
7,17,last,-0.041611482622390214
7,17,all,-0.17344369490244527
7,18,last,-0.022945789116515417
7,18,all,0.12344984249930305
7,19,last,-0.008160586363124799
