neuron_id,layer,neuron_idx,kind,matched_to,w_norm,logit_var,nullfrac_k16,nullfrac_k64,nullfrac_k256,nullfrac_bottom10pct,w_norm_pctile_random,w_norm_pctile_matched,logit_var_pctile_random,logit_var_pctile_matched,nullfrac_bottom10pct_pctile_random,nullfrac_bottom10pct_pctile_matched,nullfrac_k16_pctile_random,nullfrac_k16_pctile_matched,nullfrac_k64_pctile_random,nullfrac_k64_pctile_matched,nullfrac_k256_pctile_random,nullfrac_k256_pctile_matched
L20_N4297,20,4297,matched,L20_N3833,1.7003315687179565,0.00019841727043967694,0.00243351305834949,0.01165426429361105,0.05646360665559769,0.31411728262901306,9.4,,84.89999999999999,,77.60000000000001,,25.4,,31.900000000000002,,54.900000000000006,
L20_N9172,20,9172,matched,L20_N3833,1.7442494630813599,0.00017864475375972688,0.0025076677557080984,0.01920343190431595,0.08757288753986359,0.3998398780822754,12.5,,3.9,,94.19999999999999,,28.4,,89.5,,92.30000000000001,
L20_N8466,20,8466,matched,L20_N3833,1.7249102592468262,0.0001948098506545648,0.003378015710040927,0.012621334753930569,0.04837699979543686,0.2725841701030731,10.6,,65.5,,8.200000000000001,,56.599999999999994,,44.6,,18.7,
L20_N2648,20,2648,matched,L20_N3833,1.6257835626602173,0.0001904492819448933,0.003891994711011648,0.014609701000154018,0.06402228027582169,0.32421770691871643,6.4,,19.900000000000002,,84.3,,69.6,,66.60000000000001,,80.4,
L20_N4954,20,4954,matched,L20_N3833,1.7298250198364258,0.00019443273777142167,0.0032247810158878565,0.009392540901899338,0.04506968334317207,0.2746575176715851,10.9,,61.8,,10.100000000000001,,52.0,,8.0,,9.700000000000001,
L20_N10698,20,10698,matched,L20_N3833,1.6621679067611694,0.0001901579089462757,0.0031572417356073856,0.012427477166056633,0.05105975270271301,0.29306477308273315,7.6,,18.4,,39.4,,50.1,,41.8,,30.0,
L20_N4458,20,4458,matched,L20_N3833,1.484723448753357,0.00020533203496597707,0.00805685669183731,0.024615032598376274,0.09209897369146347,0.37422335147857666,3.5999999999999996,,95.1,,92.5,,95.7,,93.89999999999999,,92.80000000000001,
L20_N4432,20,4432,matched,L20_N3833,1.6878520250320435,0.0001787706569302827,0.004352283198386431,0.015616756863892078,0.05995619297027588,0.32578906416893005,8.6,,4.0,,84.89999999999999,,77.9,,75.3,,68.5,
L20_N8870,20,8870,matched,L20_N3833,1.6784719228744507,0.00019344169413670897,0.0031697426456958055,0.020345594733953476,0.06751397997140884,0.32799071073532104,8.1,,49.6,,85.9,,50.5,,91.10000000000001,,85.0,
L29_N5572,29,5572,matched,L29_N987,1.4535671472549438,0.0001573060144437477,0.0022576351184397936,0.01362937968224287,0.0754995346069336,0.46027299761772156,3.0,,0.8,,96.89999999999999,,19.400000000000002,,56.99999999999999,,88.7,
L29_N10045,29,10045,matched,L29_N987,1.4832932949066162,0.00020162573491688818,0.00499328225851059,0.013999564573168755,0.047020912170410156,0.26977354288101196,3.5000000000000004,,91.0,,6.1,,86.2,,61.6,,13.700000000000001,
L29_N12880,29,12880,matched,L29_N987,1.4878336191177368,0.00020649957878049463,0.002478664740920067,0.009531578980386257,0.038018133491277695,0.24819062650203705,3.6999999999999997,,95.5,,1.4000000000000001,,27.3,,9.2,,1.7999999999999998,
L29_N2223,29,2223,matched,L29_N987,1.5502426624298096,0.00020619394490495324,0.007596845738589764,0.02920868992805481,0.10079136490821838,0.39182186126708984,4.7,,95.39999999999999,,93.7,,95.3,,95.7,,94.1,
L29_N3165,29,3165,matched,L29_N987,1.3826347589492798,0.00019383386825211346,0.0043673450127244,0.01684270054101944,0.05572750046849251,0.3004421591758728,2.0,,54.900000000000006,,55.50000000000001,,77.9,,82.8,,51.300000000000004,
L29_N14269,29,14269,matched,L29_N987,1.3923146724700928,0.00015948562941048294,0.008806157857179642,0.044852834194898605,0.21448145806789398,0.5760596394538879,2.0,,1.0,,98.6,,96.89999999999999,,97.6,,98.0,
L29_N8099,29,8099,matched,L29_N987,1.5690845251083374,0.00019851390970870852,0.01135802362114191,0.038712747395038605,0.16036970913410187,0.45992937684059143,4.9,,85.2,,96.89999999999999,,97.89999999999999,,97.0,,97.39999999999999,
L29_N1297,29,1297,matched,L29_N987,1.346746563911438,0.0001899643539218232,0.002010746393352747,0.008660134859383106,0.03714822977781296,0.25962334871292114,1.5,,17.0,,2.8000000000000003,,12.1,,4.3,,1.2,
L29_N5885,29,5885,matched,L29_N987,1.402159571647644,0.0002064610889647156,0.0044633145444095135,0.013548792339861393,0.046945225447416306,0.28189817070961,2.1999999999999997,,95.5,,18.7,,79.2,,56.2,,13.5,
