neuron_id,layer,neuron_idx,category,prompt_id,split,is_control,orig_entropy,ablated_entropy,entropy_shift,frozen_norm_ablated_entropy,shift_under_frozen_norm,norm_pathway_share,orig_top1_prob,ablated_top1_prob,frozen_norm_top1_prob,orig_activation,mean_val,mean_source,precision
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0007,working,True,1.129183292388916,1.1295706033706665,0.0003873109817504883,1.0493606328964233,-0.07982265949249268,207.09449061249614,0.7769090533256531,0.7769906520843506,0.7974465489387512,-0.671875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0008,working,True,0.2779642343521118,0.27530598640441895,-0.002658247947692871,0.2752726972103119,-0.0026915371417999268,-0.01252298309341226,0.9497182965278625,0.9501035809516907,0.9501067996025085,-0.5625,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0009,working,True,0.2685665786266327,0.2635042667388916,-0.005062311887741089,0.26341938972473145,-0.005147188901901245,-0.01676645296503653,0.9580708742141724,0.9590880274772644,0.9590962529182434,0.5,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0010,working,True,2.2222113609313965,2.2217159271240234,-0.0004954338073730469,2.222093105316162,-0.000118255615234375,0.7613089509143407,0.3543391525745392,0.3543705940246582,0.35434406995773315,1.78125,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0011,working,True,0.3714238703250885,0.36647674441337585,-0.0049471259117126465,0.3663681149482727,-0.005055755376815796,-0.02195809588067326,0.9363130927085876,0.9372628927230835,0.9372746348381042,0.279296875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0012,working,True,0.6350165009498596,0.6339131593704224,-0.0011033415794372559,0.6257326006889343,-0.009283900260925293,-7.414348225379504,0.8644450902938843,0.8645076155662537,0.8661683797836304,-0.69140625,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0013,working,True,0.8849576711654663,0.8417084813117981,-0.04324918985366821,0.8549811840057373,-0.029976487159729004,0.3068890478375857,0.8365039229393005,0.8483811616897583,0.8452447652816772,-2.4375,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0014,working,True,0.20832671225070953,0.20219744741916656,-0.006129264831542969,0.2016192078590393,-0.006707504391670227,-0.0943407694103003,0.96833735704422,0.9696564078330994,0.969730794429779,0.81640625,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0015,working,True,1.6949599981307983,1.6952823400497437,0.0003223419189453125,1.695381999015808,0.0004220008850097656,-0.3091715976331361,0.43981850147247314,0.4397256672382355,0.43971914052963257,2.9375,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0016,working,True,1.4860031604766846,1.5579029321670532,0.07189977169036865,1.5579102039337158,0.07190704345703125,-0.00010113754872425759,0.616849422454834,0.5877466797828674,0.5877463221549988,-0.52734375,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0017,working,True,0.9245269298553467,0.9170076251029968,-0.0075193047523498535,0.9088221788406372,-0.015704751014709473,-1.08859083810928,0.8460911512374878,0.8479271531105042,0.8502233624458313,-1.8359375,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0018,working,True,1.500815749168396,1.4968280792236328,-0.003987669944763184,1.4966742992401123,-0.004141449928283691,-0.038563869540521954,0.5903807878494263,0.5910953879356384,0.5911052823066711,0.96484375,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0019,working,True,1.786738395690918,1.7806785106658936,-0.006059885025024414,1.7804677486419678,-0.006270647048950195,-0.03477987173938703,0.34690847992897034,0.34765857458114624,0.34766924381256104,3.171875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0020,working,True,2.7288315296173096,2.7268974781036377,-0.001934051513671875,2.7269368171691895,-0.0018947124481201172,0.020340236686390532,0.23794524371623993,0.2381405085325241,0.2381373643875122,1.671875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0021,working,True,0.5461134910583496,0.5428624153137207,-0.0032510757446289062,0.5428624153137207,-0.0032510757446289062,-0.0,0.8973000645637512,0.8978678584098816,0.8978678584098816,1.296875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0022,working,True,1.8165887594223022,1.820529818534851,0.003941059112548828,1.8097596168518066,-0.0068291425704956055,2.732819116757411,0.6204974055290222,0.6180717349052429,0.6211849451065063,3.796875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0023,working,True,3.024054527282715,3.027087450027466,0.0030329227447509766,3.028803825378418,0.004749298095703125,-0.5659146293530383,0.2230897694826126,0.22202110290527344,0.22069810330867767,1.1171875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0024,working,True,0.18000616133213043,0.18234433233737946,0.0023381710052490234,0.18302880227565765,0.0030226409435272217,-0.29273733047822986,0.9677887558937073,0.9668444991111755,0.9667648673057556,-1.4296875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0025,working,True,0.21880903840065002,0.2199474275112152,0.0011383891105651855,0.20345786213874817,-0.015351176261901855,14.484999214618567,0.9521471858024597,0.9520098567008972,0.9568995237350464,-2.203125,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0026,working,True,0.8707329034805298,0.8729822635650635,0.0022493600845336914,0.8728502988815308,0.0021173954010009766,0.058667655943611216,0.8489955067634583,0.8486642241477966,0.8486957550048828,1.265625,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0027,working,True,1.7545483112335205,1.745793342590332,-0.008754968643188477,1.7433167695999146,-0.011231541633605957,-0.2828762833256175,0.3439275622367859,0.344926655292511,0.34508416056632996,-2.203125,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0028,working,True,0.7507471442222595,0.7572885751724243,0.006541430950164795,0.7585480809211731,0.007800936698913574,-0.19254284855166884,0.81087327003479,0.801262617111206,0.8011130690574646,-2.484375,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0029,working,True,0.44895121455192566,0.4487590193748474,-0.00019219517707824707,0.4487590193748474,-0.00019219517707824707,-0.0,0.9249086380004883,0.9249362945556641,0.9249362945556641,-0.01025390625,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0030,working,True,2.433002471923828,2.4084291458129883,-0.024573326110839844,2.4145443439483643,-0.018458127975463867,0.2488551247719952,0.20897157490253448,0.2295512557029724,0.2285267412662506,-0.91015625,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0031,working,True,1.3652442693710327,1.3651213645935059,-0.00012290477752685547,1.3647511005401611,-0.000493168830871582,-3.0126091173617846,0.7348982691764832,0.7349081635475159,0.7349424362182617,1.7109375,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0032,working,True,1.9126193523406982,1.9133813381195068,0.0007619857788085938,1.9133813381195068,0.0007619857788085938,0.0,0.5751568675041199,0.5750449895858765,0.5750448703765869,2.0,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0033,working,True,0.05830056220293045,0.05413595214486122,-0.004164610058069229,0.055236607789993286,-0.0030639544129371643,0.26428780360827925,0.9919543862342834,0.9926591515541077,0.9925063252449036,-1.171875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0034,working,True,0.9390382766723633,0.9409083724021912,0.0018700957298278809,0.9422183036804199,0.0031800270080566406,-0.7004621513944224,0.7535936832427979,0.7532853484153748,0.7531083822250366,0.97265625,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0035,working,True,2.7605104446411133,2.763521671295166,0.0030112266540527344,2.76426100730896,0.0037505626678466797,-0.24552652414885193,0.31984275579452515,0.32319530844688416,0.32314202189445496,0.80859375,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0036,working,True,2.1295974254608154,2.12951397895813,-8.344650268554688e-05,2.130819797515869,0.001222372055053711,15.648571428571428,0.3496008515357971,0.3496180474758148,0.34948548674583435,0.97265625,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0037,working,True,0.7497819066047668,0.7544534802436829,0.004671573638916016,0.7543776631355286,0.004595756530761719,0.016229457997346125,0.8793334364891052,0.8783279657363892,0.8783347606658936,2.046875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0038,working,True,1.4698041677474976,1.4699677228927612,0.00016355514526367188,1.4674811363220215,-0.0023230314254760742,15.2033527696793,0.5344769954681396,0.5344808101654053,0.5347245931625366,-1.1171875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0039,working,True,0.9815338850021362,0.9071657657623291,-0.07436811923980713,0.9072425365447998,-0.07429134845733643,0.0010323077046381713,0.7844183444976807,0.8053072094917297,0.8053010702133179,-1.15625,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_ctrl_0040,working,True,1.8859105110168457,1.8856408596038818,-0.0002696514129638672,1.8840765953063965,-0.0018339157104492188,-5.80106100795756,0.3807716369628906,0.3807607889175415,0.38091176748275757,0.640625,1.5949835096086775,pooled_controls,bf16
