neuron_id,layer,neuron_idx,kind,sets,freq_corr,freq_slope,direct_logit_std,abs_freq_corr_pctile
L25_N9459,25,9459,random,,0.1764102429151535,0.003557525807991624,0.027962051331996918,95.3
L25_N9543,25,9543,random,,-0.07728898525238037,-0.0014325405936688185,0.025700058788061142,66.3
L25_N9891,25,9891,random,,0.00039289126289077103,7.233495580294402e-06,0.02552822232246399,0.3
L25_N10201,25,10201,random,,-0.04303468391299248,-0.000799439032562077,0.025757959112524986,40.0
L25_N10269,25,10269,random,,-0.0009294815245084465,-1.7275433492613956e-05,0.02577109821140766,0.8
L25_N10977,25,10977,random,,0.11440078914165497,0.002119211247190833,0.025685613974928856,82.3
L25_N10979,25,10979,random,,0.14001095294952393,0.002657777862623334,0.026320941746234894,90.2
L25_N10985,25,10985,random,,-0.0298277847468853,-0.0005495949299074709,0.02554856613278389,30.099999999999998
L25_N11023,25,11023,random,,-0.05075368285179138,-0.000951286987401545,0.025988953188061714,46.7
L25_N11936,25,11936,random,,-0.010197408497333527,-0.00018540567543823272,0.025210296735167503,10.7
L25_N12201,25,12201,random,,0.06438106298446655,0.001186902867630124,0.025562411174178123,57.199999999999996
L25_N12246,25,12246,random,,0.043214038014411926,0.0007911132997833192,0.02538391575217247,40.2
L25_N12765,25,12765,random,,0.06463421881198883,0.0011869537411257625,0.02546338178217411,57.3
L25_N13043,25,13043,random,,-0.01316423062235117,-0.00024463326553814113,0.02576705627143383,14.2
L25_N13071,25,13071,random,,-0.008459990844130516,-0.00015599360631313175,0.025567112490534782,8.799999999999999
L25_N13176,25,13176,random,,-0.08015985041856766,-0.0014927837764844298,0.02582170069217682,68.2
L25_N13300,25,13300,random,,-0.004738100338727236,-8.881739631760865e-05,0.025991935282945633,4.6
L25_N13809,25,13809,random,,-0.05268653482198715,-0.0009956096764653921,0.026201989501714706,48.699999999999996
L25_N13964,25,13964,random,,-0.06721007078886032,-0.0011967273894697428,0.024689123034477234,59.599999999999994
L25_N14313,25,14313,random,,-0.033906616270542145,-0.0006260200752876699,0.025600507855415344,32.7
L26_N228,26,228,random,,0.13206595182418823,0.0025021533947438,0.026270469650626183,87.8
L26_N307,26,307,random,,0.08817587792873383,0.0015778691740706563,0.0248122401535511,72.3
L26_N341,26,341,random,,-0.03630697354674339,-0.0006817512912675738,0.02603638358414173,35.0
L26_N715,26,715,random,,-0.07311907410621643,-0.0013107405975461006,0.024855976924300194,63.4
L26_N888,26,888,random,,0.029473401606082916,0.0005530727794393897,0.026019368320703506,29.799999999999997
L26_N960,26,960,random,,-0.07864511013031006,-0.001479155384004116,0.026078753173351288,66.8
L26_N1146,26,1146,random,,-0.04142452031373978,-0.00078112434130162,0.02614613249897957,39.5
L26_N1582,26,1582,random,,0.007406655233353376,0.0001389438402839005,0.02601129189133644,7.5
L26_N1624,26,1624,random,,0.06099487841129303,0.0011462216498330235,0.026056736707687378,55.400000000000006
L26_N1911,26,1911,random,,-0.03204809129238129,-0.0005999330314807594,0.02595645561814308,31.3
L26_N2088,26,2088,random,,-0.045017093420028687,-0.0008386021945625544,0.02582993544638157,41.699999999999996
