neuron_id,layer,neuron_idx,kind,matched_to,w_norm,logit_var,nullfrac_k16,nullfrac_k64,nullfrac_k256,nullfrac_bottom10pct,w_norm_pctile_random,w_norm_pctile_matched,logit_var_pctile_random,logit_var_pctile_matched,nullfrac_bottom10pct_pctile_random,nullfrac_bottom10pct_pctile_matched,nullfrac_k16_pctile_random,nullfrac_k16_pctile_matched,nullfrac_k64_pctile_random,nullfrac_k64_pctile_matched,nullfrac_k256_pctile_random,nullfrac_k256_pctile_matched
L20_N4246,20,4246,matched,L20_N2742,1.8131263256072998,0.00018823031859938055,0.005951615050435066,0.01323410402983427,0.04900585114955902,0.29708465933799744,25.8,,16.5,,52.5,,89.9,,55.400000000000006,,27.900000000000002,
L20_N13937,20,13937,matched,L20_N2742,1.8112350702285767,0.00019853512640111148,0.001152973622083664,0.010803883895277977,0.05296493321657181,0.28784626722335815,24.8,,85.6,,34.8,,1.0,,26.6,,45.0,
L20_N13980,20,13980,matched,L20_N2742,1.810498833656311,0.00019272979989182204,0.004248298238962889,0.01538016926497221,0.057076603174209595,0.3009975254535675,24.7,,44.7,,59.8,,76.4,,74.1,,59.8,
L20_N11868,20,11868,matched,L20_N2742,1.8360601663589478,0.00018930014630313963,0.0020128574687987566,0.015612272545695305,0.06908848881721497,0.3343633711338043,38.1,,19.5,,82.69999999999999,,15.8,,75.6,,81.6,
L20_N7044,20,7044,matched,L20_N2742,1.8171899318695068,0.0001920485810842365,0.004623763728886843,0.01590687967836857,0.057615093886852264,0.29580023884773254,27.200000000000003,,38.2,,49.2,,81.3,,76.8,,61.8,
L20_N5166,20,5166,matched,L20_N2742,1.8137531280517578,0.00019056171004194766,0.003651205450296402,0.018053922802209854,0.058513205498456955,0.2992575168609619,26.0,,25.1,,56.39999999999999,,65.0,,84.2,,65.2,
L20_N7859,20,7859,matched,L20_N2742,1.7577818632125854,0.0001875243178801611,0.0034666555002331734,0.03191752731800079,0.09234114736318588,0.3710589110851288,16.8,,15.2,,87.2,,61.1,,93.10000000000001,,88.3,
L20_N1267,20,1267,matched,L20_N2742,1.8765649795532227,0.00019161251839250326,0.006594907026737928,0.01814676821231842,0.05710922181606293,0.3214106261730194,49.7,,33.0,,77.9,,91.4,,84.2,,59.8,
L20_N11930,20,11930,matched,L20_N2742,1.8338712453842163,0.0001975144405150786,0.002847902709618211,0.014370341785252094,0.06132951378822327,0.3138468265533447,36.1,,81.8,,73.4,,42.9,,66.4,,72.2,
L20_N1033,20,1033,matched,L20_N2742,1.8329261541366577,0.0001891190913738683,0.0027037577237933874,0.013921174220740795,0.0540081188082695,0.3057485818862915,35.3,,19.0,,65.2,,37.9,,62.8,,48.8,
L20_N2728,20,2728,matched,L20_N2742,1.8172227144241333,0.00019588337454479188,0.005687459371984005,0.014097243547439575,0.05670083314180374,0.29091185331344604,27.200000000000003,,74.0,,40.5,,89.2,,64.1,,59.099999999999994,
L20_N7624,20,7624,matched,L20_N2742,1.8003686666488647,0.00019132507441099733,0.005082161631435156,0.014216836541891098,0.0597551129758358,0.30691760778427124,22.8,,30.8,,66.4,,85.8,,65.10000000000001,,68.5,
