neuron_id,category,n_candidate,n_control,candidate_mean_shift,control_mean_shift,diff_signed,welch_t,welch_p_two_sided,perm_p_two_sided,mean_source,significant_fdr
L20_N5595,lack_of_knowledge,120,120,0.0014237384001413906,-0.0029952506224314316,0.004418989022572822,1.2982286295444763,0.19549043493007193,0.20007999200079993,uncertain_prompt_mean (assumed; schema v3 has no column),False
L23_N12855,ambiguity,120,120,-0.00022356398403643984,-7.373054201404207e-05,-0.00014983344202239778,-0.045607995638991046,0.9636645241897118,0.9646035396460354,uncertain_prompt_mean (assumed; schema v3 has no column),False
L23_N12855,contradictory_context,120,120,-0.0017966433583448314,0.0008431512641739897,-0.002639794622518821,-1.1518758475920996,0.2505278601486706,0.25997400259974,uncertain_prompt_mean (assumed; schema v3 has no column),False
L23_N12855,lack_of_knowledge,120,120,0.001410378019014992,-0.0008934055144588197,0.002303783533473812,0.794505022861034,0.42780759280232195,0.43125687431256876,uncertain_prompt_mean (assumed; schema v3 has no column),False
L28_N11622,ambiguity,120,120,0.002636704097191488,-0.00011086917171876585,0.002747573268910254,0.8730536691315572,0.38352383994265726,0.3855614438556144,uncertain_prompt_mean (assumed; schema v3 has no column),False
L28_N11622,contradictory_context,120,120,-0.0014537286013364791,-0.0014026179344606734,-5.1110666875805707e-05,-0.02007974749178121,0.9839968205186227,0.9856014398560144,uncertain_prompt_mean (assumed; schema v3 has no column),False
L28_N11622,lack_of_knowledge,120,120,-0.00135819017887115,-0.001207164706041405,-0.00015102547282974514,-0.06246468190168666,0.9502520313288048,0.9554044595540446,uncertain_prompt_mean (assumed; schema v3 has no column),False
L29_N11909,ambiguity,120,120,0.0016317203020056105,0.0013387391033271884,0.0002929811986784221,0.08906985429793537,0.9291016680826388,0.9266073392660734,uncertain_prompt_mean (assumed; schema v3 has no column),False
L29_N11909,contradictory_context,120,120,0.0017523548100143648,0.008398609158515072,-0.006646254348500707,-2.166065346429582,0.03147493660233019,0.031996800319968,uncertain_prompt_mean (assumed; schema v3 has no column),False
L29_N11909,lack_of_knowledge,120,120,-0.00013119429349899107,-0.004657879440734785,0.004526685147235794,1.4549940003256354,0.14700536938832684,0.146985301469853,uncertain_prompt_mean (assumed; schema v3 has no column),False
L29_N13925,ambiguity,120,120,0.0036061019947131413,-0.0008988612021009122,0.004504963196814054,1.867065373009992,0.06316913102603053,0.06459354064593541,uncertain_prompt_mean (assumed; schema v3 has no column),False
L29_N13925,contradictory_context,120,120,-0.0011104930502673033,0.0016351704459035875,-0.0027456634961708906,-1.0607013166087678,0.2899189092000552,0.29227077292270776,uncertain_prompt_mean (assumed; schema v3 has no column),False
L29_N13925,lack_of_knowledge,120,120,-0.0015253653128941937,0.0002599128211538004,-0.001785278134047994,-0.6937147838431091,0.48861896020140416,0.49545045495450457,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N10312,ambiguity,120,120,0.0008318283284703897,0.002078428709258624,-0.0012466003807882341,-0.4727537830363236,0.6368261801943342,0.6455354464553544,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N10312,contradictory_context,120,120,-0.0011849941375354882,-0.00045379834021635714,-0.0007311957973191311,-0.3985690429603136,0.6905807742538357,0.7021297870212979,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N10312,lack_of_knowledge,120,120,0.000893116494019829,0.0006647064040104496,0.00022841009000937936,0.11748482347470157,0.9065775979718567,0.9089091090890911,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N13098,ambiguity,120,120,-0.00023858485122522298,0.0013311602175235687,-0.0015697450687487916,-0.5457625048475679,0.585740424162155,0.5928407159284071,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N13098,contradictory_context,120,120,-0.0032726149074733227,-5.6229030208977626e-05,-0.003216385877264345,-1.5838136418963793,0.11456442237654131,0.11598840115988401,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N13098,lack_of_knowledge,120,120,0.0010548104842503828,-0.0007443180928627678,0.0017991285771131508,0.9848441621156624,0.3257351571943007,0.33166683331666835,uncertain_prompt_mean (assumed; schema v3 has no column),False
