twin,layer,d_hedge_lp,d_answer_lp,d_hedge_mlogit,d_answer_mlogit,gap
ale_05_0,25,-0.36147117614746094,-2.7800722122192383,-2.5091796815395355,-2.9059245586395264,2.4186010360717773
ale_05_0,26,0.5506343841552734,-3.2007884979248047,-0.966992199420929,-1.4622395485639572,3.751422882080078
ale_05_0,27,1.5574121475219727,-2.0747504234313965,-0.16562461853027344,-1.2161455154418945,3.632162570953369
ale_05_1,24,0.9366893768310547,1.9874496459960938,-0.3623046875,-0.5325520038604736,-1.050760269165039
ale_05_1,25,3.2241077423095703,2.9387388229370117,-0.5494140684604645,-1.2092284858226776,0.2853689193725586
ale_05_1,26,2.5525007247924805,1.7995309829711914,1.476757787168026,0.5078328549861908,0.7529697418212891
ale_05_1,27,6.305573463439941,2.818622589111328,2.981250286102295,1.1197915077209473,3.4869508743286133
ale_05_2,24,-0.31807804107666016,1.2387800216674805,-1.0109131336212158,-0.7702637910842896,-1.5568580627441406
ale_05_2,25,2.6692066192626953,2.817605972290039,-1.213281273841858,-1.3072916269302368,-0.14839935302734375
ale_05_2,26,3.4253101348876953,0.5376758575439453,0.785937488079071,0.5390625223517418,2.88763427734375
ale_05_2,27,8.356088638305664,4.094724655151367,1.8343753814697266,1.328125,4.261363983154297
ale_05_3,24,-0.3243703842163086,0.028215408325195312,-1.8851562142372131,-1.9055990278720856,-0.3525857925415039
ale_05_3,25,-0.0623931884765625,-1.1299629211425781,-2.710156202316284,-2.7825520783662796,1.0675697326660156
ale_05_3,26,0.9678192138671875,-2.6026830673217773,-0.967968761920929,-1.2045288532972336,3.570502281188965
ale_05_3,27,5.51169490814209,-1.5037899017333984,1.059375286102295,0.47005176544189453,7.015484809875488
ale_05_4,24,-2.077542304992676,-0.6981782913208008,-2.275390625,-1.3206380307674408,-1.379364013671875
ale_05_4,25,0.9045276641845703,0.9599208831787109,-2.0796875953674316,-1.0673829317092896,-0.055393218994140625
ale_05_4,26,1.5039052963256836,0.48873329162597656,-1.3675781190395355,-0.6470540761947632,1.015172004699707
ale_05_4,27,4.490203857421875,2.710874557495117,0.4992189407348633,1.1328125,1.7793292999267578
ale_05_5,24,-0.000682830810546875,-1.5005769729614258,-2.106249988079071,-2.2250975966453552,1.499894142150879
ale_05_5,25,-0.282958984375,-3.1325788497924805,-2.672265574336052,-2.656249910593033,2.8496198654174805
ale_05_5,26,0.4821805953979492,-3.2137632369995117,-1.1093750596046448,-1.0737303495407104,3.695943832397461
ale_05_5,27,3.8673620223999023,-2.067262649536133,0.5968751907348633,0.16145801544189453,5.934624671936035
ale_06_1,24,1.5735797882080078,0.9545202255249023,0.8002929836511612,0.46614575386047363,0.6190595626831055
ale_06_1,25,4.242555618286133,3.7137393951416016,-0.24296873807907104,-0.9855143427848816,0.5288162231445312
ale_06_1,26,4.138319969177246,2.767584800720215,1.3990234360098839,0.767049103975296,1.3707351684570312
ale_06_1,27,4.34361457824707,6.390403747558594,1.391406536102295,0.9427080154418945,-2.0467891693115234
ale_06_2,24,0.7195491790771484,1.6503868103027344,-0.7148437649011612,-0.6783853769302368,-0.9308376312255859
