n,cell,direction,metric,recovery,subsample_mean,subsample_lo,subsample_hi,subsample_sd,ci_width,n_total,n_draws
20,circuit,uncertain_to_control,logodds_rec,1.026871117057662,1.0332966331940028,0.9349685388926645,1.133054313474343,0.050206503167487496,0.19808577458167842,141,2000
30,circuit,uncertain_to_control,logodds_rec,0.9881931062873005,1.0346649643632309,0.9620372023149234,1.1130468016605737,0.038048361272845325,0.15100959934565028,141,2000
40,circuit,uncertain_to_control,logodds_rec,0.9956518371984663,1.0347173506721281,0.9735547682467509,1.0996244736329304,0.032624991820256695,0.12606970538617945,141,2000
50,circuit,uncertain_to_control,logodds_rec,1.0027509958697605,1.0345703663414672,0.9818392394738686,1.0879691094051769,0.02748817538026457,0.10612986993130824,141,2000
60,circuit,uncertain_to_control,logodds_rec,1.009251686485844,1.0341904348544604,0.9906098488332652,1.0818999939756775,0.023708266005858715,0.0912901451424123,141,2000
80,circuit,uncertain_to_control,logodds_rec,1.0308076616634247,1.0344100650433312,1.0007345259281177,1.0699659145015683,0.01777620055128057,0.06923138857345057,141,2000
100,circuit,uncertain_to_control,logodds_rec,1.0367256231690707,1.0343596033661944,1.0098058599881603,1.059265397380314,0.012831399438337618,0.04945953739215381,141,2000
120,circuit,uncertain_to_control,logodds_rec,1.030269220296042,1.0339993369545908,1.0161648216337054,1.0507833312865653,0.008666821799980374,0.03461850965285995,141,2000
141,circuit,uncertain_to_control,logodds_rec,1.0338997982610956,1.0338997982610956,1.0338997982610956,1.0338997982610956,0.0,0.0,141,1
10,circuit,uncertain_to_control,entropy_rec,0.4089853021757395,0.46301207232999786,0.26276817725522944,0.6680246560121889,0.10539137905296694,0.4052564787569594,141,2000
20,circuit,uncertain_to_control,entropy_rec,0.4176936868589629,0.4619906318278774,0.32415200859539683,0.6007793101928887,0.07035055598249243,0.2766273015974918,141,2000
30,circuit,uncertain_to_control,entropy_rec,0.41069015098762746,0.45930781627427153,0.34931046353887185,0.5684877924487981,0.05598674006655916,0.21917732890992625,141,2000
40,circuit,uncertain_to_control,entropy_rec,0.40003587658733436,0.4612647255749931,0.37344452878505263,0.5537485985201935,0.04669343572900051,0.1803040697351409,141,2000
50,circuit,uncertain_to_control,entropy_rec,0.39922144986713903,0.460595137512389,0.3812399688193007,0.5399354206245852,0.04018956271413008,0.1586954518052845,141,2000
60,circuit,uncertain_to_control,entropy_rec,0.41316464654330437,0.4591673614958052,0.3934518299585781,0.5283969300295889,0.0336377989764206,0.1349451000710108,141,2000
80,circuit,uncertain_to_control,entropy_rec,0.42422987785260025,0.45898629326273116,0.4082789163943057,0.5108937781569098,0.026045878123424373,0.10261486176260415,141,2000
100,circuit,uncertain_to_control,entropy_rec,0.44955399859667067,0.4599878004736656,0.42204323275266337,0.4965576549209943,0.018928164027060025,0.07451442216833093,141,2000
120,circuit,uncertain_to_control,entropy_rec,0.46911577711400076,0.4600134629860323,0.4368402390925355,0.4842236276923024,0.01219106305058533,0.04738338859976693,141,2000
141,circuit,uncertain_to_control,entropy_rec,0.4600029755914424,0.4600029755914424,0.4600029755914424,0.4600029755914424,0.0,0.0,141,1
10,direction,control_to_uncertain,logodds_rec,0.40816556892442124,0.5186677665308359,0.3240106339748716,0.7226711477945449,0.09817961293263008,0.39866051381967327,141,2000
20,direction,control_to_uncertain,logodds_rec,0.43415742072282243,0.515426569686816,0.38196218821431427,0.6503669363528375,0.06760826623731815,0.2684047481385232,141,2000
30,direction,control_to_uncertain,logodds_rec,0.4286704668117295,0.5146749355116483,0.4103081231757291,0.616515901945267,0.05329102711694772,0.20620777876953783,141,2000
40,direction,control_to_uncertain,logodds_rec,0.4582400400317326,0.5172905206316938,0.42898267938787005,0.6006370067204324,0.04411827023451059,0.17165432733256236,141,2000
50,direction,control_to_uncertain,logodds_rec,0.4696845035660438,0.5156967960526494,0.44519954335354156,0.5896752829932854,0.03722474179017794,0.14447573963974386,141,2000
60,direction,control_to_uncertain,logodds_rec,0.4909847370780114,0.5152003475913706,0.44963660431520436,0.5749576933934418,0.032448638713744704,0.12532108907823747,141,2000
80,direction,control_to_uncertain,logodds_rec,0.5128925410773612,0.516315524008779,0.46937825249254617,0.5644536162589305,0.024398546239191018,0.09507536376638437,141,2000
100,direction,control_to_uncertain,logodds_rec,0.5032703730802953,0.516316760636058,0.4804477379120936,0.5506650047527261,0.017880603436857,0.07021726684063245,141,2000
120,direction,control_to_uncertain,logodds_rec,0.5160558862413891,0.5156377835341102,0.4925975057963906,0.5386632298144488,0.011750107315861333,0.046065724018058196,141,2000
141,direction,control_to_uncertain,logodds_rec,0.5160782275078752,0.5160782275078752,0.5160782275078752,0.5160782275078752,0.0,0.0,141,1
10,direction,control_to_uncertain,entropy_rec,0.2979898376958801,0.2800125945081027,0.07556027139898965,0.5274529919577179,0.11472295938943818,0.45189272055872826,141,2000
