kind,layer,index,drop_recovery,marginal
neuron,21,4332,0.8444412121963538,-0.002052672286779411
neuron,18,8429,0.8444801824593443,-0.002091642549769901
neuron,16,4434,0.8445354787190795,-0.0021469388095051167
neuron,19,9441,0.844594215013029,-0.0022056751034545963
neuron,17,8198,0.8447687322697375,-0.0023801923601630692
neuron,21,6737,0.8448673972543174,-0.0024788573447429574
neuron,16,6901,0.8448845171114879,-0.002495977201913524
neuron,14,4589,0.844893046484974,-0.0025045065753995788
neuron,15,10424,0.8449998138049325,-0.0026112738953580905
neuron,24,10925,0.845042537064646,-0.0026539971550716412
neuron,26,6522,0.8450767797762834,-0.0026882398667089635
neuron,23,5876,0.8451853607418051,-0.002796820832230651
neuron,15,6388,0.8460837641873575,-0.003695224277783127
neuron,17,9031,0.8461137904870241,-0.003725250577449657
neuron,15,11966,0.8461255357256187,-0.003736995816044253
neuron,20,9082,0.8465143540742794,-0.004125814164705033
neuron,13,5922,0.8465703178906007,-0.004181777981026258
neuron,16,458,0.8466526853248949,-0.004264145415320497
neuron,14,3405,0.8483171816682925,-0.005928641758718101
head,7,1,0.8490386083479109,-0.006650068438336487
head,13,28,0.8611712583435385,-0.018782718433964063
head,8,16,0.8933695088091372,-0.05098096889956283
